COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	u t e									
56-1	u m e									
96-1	a t									
99-1	a r u r a									
114-1	t i k									
115-1	u r									
133-1	t u p a n									
144-1	a t a r									
150-1	k a w									
234-1	k o m									
236-1	p u k a n									
241-1	a w i n									
249-1	i k e									
1-1	r a k a									
2-1	m a m w a									
65-1	i w									
74-1	p a n a									
106-1	t i n e ʔ									
128-1	p i k									
147-1	t i k o									
231-1	p a n a w o ʔ									
232-1	p i p i									
239-1	n a m a k a n									
266-1	i n i m									
51-1	i w e k									
97-1	m a p m									
109-1	j p r i k									
121-1	k a p a j a ʔ									
149-1	t u k									
160-1	t i k i k									
163-1	j p e n									
167-1	p a									
207-1	m o									
259-1	t u w a									
66-1	p a r a k a w									
134-1	n i k a t									
139-1	m a k a i									
142-1	p a t a m									
145-1	t a t a t									
148-1	t a r a n									
162-1	i r n									
166-1	i m i									
179-1	t a									
201-1	p w e									
21-1	t a n									
24-1	p n k r r a n									
50-1	i n a k									
57-1	t i k a w a n									
84-1	p i a n									
91-1	m i k a n									
131-1	t r k n m									
151-1	k i w									
154-1	w a									
192-1	t o t									
197-1	t i k p p									
205-1	i p a n									
227-1	m a p j t o									
246-1	i w i									
251-1	r a n a									
271-1	tʃ u j									
285-1	i r a w i n									
75-1	j p a a									
79-1	t a n									
104-1	t i p n									
153-1	k a k									
157-1	t a m a m									
174-1	p u k a									
240-1	t i m a k									
270-1	t a r a n i									
52-2		j a								
56-2		o m e								
96-2		w w o s								
99-2		u j u u n p								
114-2		a o w o								
115-2		w a w o t o								
133-2		u w w n o s o								
144-2		u j o w u w o								
150-2		a w								
234-2		a m								
236-2		e a m								
241-2		w w e a m								
249-2		o s e								
74-2		a m o								
93-2		u u w o w o								
95-2		o t a s a								
106-2		w w e t p								
119-2		a w o w w w o								
128-2		o w o								
147-2		m o t o								
231-2		o m e t o p								
232-2		j u k u a e w p i								
239-2		m u m e a p								
266-2		w r p								
51-2		o s e								
55-2		u w a m								
97-2		w r m w p o								
121-2		j u j u a u w e w i i								
163-2		u e m t								
167-2		w t a								
259-2		o a u								
66-2		a k u a i								
112-2		m a r o s o								
116-2		u a a s o								
125-2		j u k u m e s i i								
135-2		w w w p								
139-2		w m e r e t p								
142-2		o r u m o w p								
148-2		w w o r r r r t p								
162-2		w r o t w								
166-2		k m a								
179-2		w								
45-2		w w w w s w e a m a								
84-2		o r e								
131-2		w w k w w i i i p p i								
146-2		u m u w w p								
154-2		k r e								
192-2		t a								
197-2		r m p								
235-2		k o a a								
237-2		w m e r w k p								
246-2		k a u ʔ								
250-2		m w w u a a a m								
267-2		o r o								
39-2		u u m a n a m o								
42-2		u n o m o								
44-2		r a m								
75-2		o r w p								
94-2		w w w r e t p								
122-2		u e r e t p								
