COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	t u u															
1089-1	k a m															
1319-1	k ɔ															
1398-1	s u n u r u															
1557-1	k i r															
1626-1	k w															
1840-1	t i r u															
2247-1	k u															
4677-1	k u r ɔ j															
5162-1	m i															
5406-1	t ɛ n d u															
359-1	k a r u															
1577-1	k i r															
2196-1	k a a															
2230-1	s i															
2533-1	k a r u															
3605-1	k a d a															
3866-1	k ɔ s u															
4553-1	t a n d d															
4822-1	k u m b															
5254-1	k u r ɔ															
503-1	k i r ɛ															
1356-1	m a j a															
1881-1	k u m u j															
3218-1	t u n s															
3372-1	k a															
3718-1	k a r a															
4135-1	b a r u															
4694-1	k u s u															
807-1	k ɔ m u															
2320-1	k a r ɛ															
2476-1	k u r u															
3719-1	m															
4081-1	t a m b u															
4313-1	k ɛ u															
4460-1	s u j ɔ															
5810-1	k i n d u															
93-1	m ɔ															
260-1	k i n d															
385-1	k ɛ m b ɛ															
890-1	k a m b e r u															
1336-1	t ɛ															
1703-1	k a u															
1769-1	t ɛ m u															
2162-1	k ɛ r u															
2635-1	s u															
3031-1	t ɛ u															
4591-1	k ɛ r u															
5301-1	k ɛ r u															
5605-1	t i ɛ															
463-1	k u m d u															
1432-1	t a r u															
1474-1	t u d															
1788-1	s i r u															
2044-1	k i m b															
2713-1	t ɛ m b ɛ n d ɛ r ɛ															
3219-1	dʒ s															
3425-1	j u															
4184-1	k ɛ j u															
4629-1	k u d u															
4759-1	k i j															
4904-1	k b u															
4960-1	k i n u															
4980-1	t ɔ															
5059-1	k u r u															
5339-1	k a															
5549-1	t a w a															
5905-1	t i r u															
5922-1	b i															
5938-1	t a t u n															
1-1	m ɛ															
483-1	k u s u															
629-1	t ɔ															
667-1	ɛ w ɛ															
1254-1	s u t u r u															
1415-1	m ɛ															
1542-1	k															
1683-1	s i r e															
1898-1	k u r u j															
2901-1	t u u															
2957-1	m a n d u															
3048-1	k i j															
3251-1	k a r															
3885-1	k ɔ r u															
4402-1	j u															
5622-1	k e r i j ɛ j															
6006-1	k i r a															
135-1	t u n d															
158-1	m b ɔ s u															
194-1	k ɛ j															
221-1	ɛ s u															
650-1	k ɛ s u															
1152-1	t i w ɛ															
1374-1	k ɔ r d ɔ															
1452-1	k a r a															
1862-1	i s u															
2083-1	k a r r u															
2108-1	k a n d j															
2636-1	m															
2924-1	k e u															
2941-1	k i u															
3405-1	k ɛ m ɛ															
3751-1	dʒ															
4066-1	k ɔ ɔ															
4535-1	s u w ɔ															
4888-1	s a m d a															
5583-1	k e u															
5751-1	t i j															
5981-1	a a															
114-1	t ɔ															
851-1	t u n															
1941-1	k i u															
2179-1	u															
2351-1	k a															
2496-1	k u															
3482-1	dʒ b z u e															
3497-1	b u															
3588-1	k e															
4202-1	k e r e j̃ e															
4293-1	dʒ															
4921-1	s a m b j a															
408-1	k e m b i															
545-1	ɛ r u															
978-1	t a m u															
1052-1	k a m b u															
1070-1	k u u															
1942-1																
2456-1	k ɔ d u															
2514-1	t u z u															
2666-1	s i j u															
2817-1	a															
3132-1	t u															
3300-1	ɛ w u															
3976-1	dʒ															
4152-1	k i															
4361-1	t ɛ n u															
4570-1	t u w a j															
4648-1	j															
5318-1	dʒ uː															
5673-1	t ɛ r d a															
5887-1	j a m u															
446-1	k o n d ɔ r e															
521-1	k a t u w̃															
1108-1	k u j a															
1124-1	i r j															
1745-1	t a j a															
1823-1	k ɔ															
2143-1	m a															
2265-1	u r ɔ															
2392-1	n̩ dʒ ɔ s u															
2579-1	t															
2774-1	k a z u															
3339-1	k a r a															
3550-1	t i n i r															
4024-1	z uː															
4219-1	t a m b ɛ															
4240-1	k ɛ r u															
4259-1	k															
4738-1	k e n d e															
5197-1	ɛ r u															
5447-1	k i															
5531-1	t i r u															
5733-1	m u															
5828-1	k a z u															
562-1	s u m z u															
998-1																
1022-1	t i n i															
1023-1	m a															
1205-1	j ɛ															
1275-1	m m															
1578-1	dʒ u															
2063-1	i r ɛ															
2334-1	e s u															
2798-1	t a r̃ ɛ j															
3252-1	k m b e r															
3463-1	a z a															
3683-1	t i r i															
3772-1	t u w ɔ															
3790-1	k															
4052-1	b e s u															
4220-1	ɔ u															
4440-1	t u															
4479-1	k e															
4711-1	j a r u															
4778-1	s a s i r															
4821-1	m u															
4941-1	ɔ j ɔ															
5272-1	t ɛ n u															
5423-1	ɔ s ɔ															
5424-1	k ɔ r ɔ															
563-1	s u m u															
613-1	m a m															
684-1	k a r u															
742-1	k a r a															
1204-1	k e r u															
1373-1	t a u z u															
1787-1	m m															
1988-1	k a a n d i															
2283-1	k ɛ r u															
2372-1	k e r u															
2441-1	m m															
2598-1	j ɛ j															
2773-1	k a r m i d ɛ															
3011-1	t a n d a j															
3176-1	k ɔ r ɔ															
3283-1	o u															
3318-1	n e n r e															
3658-1	dʒ															
3807-1	dʒ e															
4037-1	s a n d a															
4498-1	e r i j̃															
4843-1	ɔ r u j															
5078-1	o ɛ															
5357-1	k ɔ n d															
5390-1	k e r e															
5790-1	ɔ r u															
21-1	k n															
42-1	k a n															
61-1	k ɛ n d ɛ															
239-1	t u m d i															
309-1	t i j a															
327-1	a a e e															
482-1	t a z u															
594-1	u s u r u															
701-1	m m															
909-1	j u															
928-1	ɔ m b a															
1184-1	t ɔ r ɔ															
715-2		t u j u														
1089-2		tʃ u w u														
1319-2		tʃ ɔ w u														
1398-2		s u w u u u														
1557-2		tʃ i j ɔ														
1626-2		w a w u														
1840-2		t i j u														
2247-2		g ɔ u														
4677-2		tʃ u r ɔ j u														
5162-2		m i j dʒ ɛ														
5406-2		t i ŋ dʒ i														
359-2		tʃ a r u u														
1577-2		tʃ i j ɔ														
2196-2		tʃ a w u														
2230-2		s i j u														
2533-2		tʃ a r ɔ i														
3605-2		tʃ a l a														
3866-2		t ɔ s u														
4553-2		t a u u u														
4822-2		tʃ u m dʒ ɔ														
5254-2		t u r ɔ														
503-2		tʃ i j ɛ j														
1356-2		m u w														
1881-2		s u j u j u														
2084-2		d u u dʒ u														
2420-2		g u m ɔ														
3218-2		d u s u														
3372-2		tʃ a m u														
3718-2		tʃ a r i														
4135-2		tʃ a w a j														
4694-2		g u s u s u														
807-2		tʃ ɔ m dʒ i														
2320-2		tʃ a w ɔ														
2476-2		tʃ u w ɔ														
2842-2		d i j u u														
4081-2		t a m s i														
4313-2		tʃ ɛ m dʒ u														
4460-2		s i j ɔ														
5514-2		k i ŋ dʒ ɛ														
5810-2		t i l ɛ														
93-2		m ɔ														
260-2		t i r u														
385-2		s ɛ m ɛ u														
890-2		t a m g i r i														
1336-2		t ɔ w u														
1703-2		ɔ ɔ w														
1769-2		t ɛ m i														
2162-2		tʃ ɛ r ɛ														
2635-2		s u														
2735-2		k i ŋ dʒ u j u														
3031-2		t u w														
4591-2		tʃ ɛ r ɔ														
5301-2		tʃ ɛ r u														
5605-2		t i m ɛ j̃														
296-2		dʒ u ŋ dʒ u														
463-2		t u m u														
762-2		g a m a ŋ s u w														
1432-2		t a r i														
1474-2		t ɔ w														
1788-2		s i j i														
2044-2		t i m u														
2713-2		t ɛ m ɛ l ɛ r ɛ														
3219-2		d a s u														
3425-2		j u														
4184-2		tʃ ɛ j u														
4629-2		s u m m u														
4759-2		t i j j ɛ														
4904-2		g g u m a														
4960-2		t i j a r u														
4980-2		t ɔ w i														
5059-2		tʃ u r ɔ														
5125-2		g ɔ ŋ dʒ ɔ														
5339-2		t u w u														
5549-2		t a w u														
5771-2		dʒ u j u														
5905-2		t i j u														
5938-2		t l u ɔ u														
1-2		m ɛ														
483-2		tʃ u s u														
629-2		t ɔ w u														
667-2		ɛ w ɛ														
1254-2		t u g u r u														
1415-2		ɔ l ɛ														
1542-2		l u u														
1683-2		s i j ɔ														
1898-2		tʃ u r ɔ j̃														
2551-2		g i														
2901-2		t u l u														
2957-2		m i ŋ dʒ i														
3048-2		t i j ɛ														
3251-2		tʃ a w u														
3885-2		t ɔ w u														
4402-2		j i														
5081-2		k i j dʒ u u i														
5622-2		tʃ ɛ r i j ɛ j														
6006-2		t i j a														
43-2		s u w														
135-2		t u l u														
158-2		m ɔ s u														
194-2		tʃ ɛ j̃														
221-2		ɛ s u														
650-2		tʃ ɛ s u														
1152-2		t i w ɛ														
1374-2		tʃ ɔ r g ɔ														
1452-2		tʃ u r a														
1862-2		i s u														
2108-2		t i w ɛ j														
2636-2		m														
2880-2		k i ŋ dʒ u j u														
2924-2		tʃ ɔ j u														
2941-2		t i j u														
3405-2		t ɛ m ɛ j̃														
3959-2		t u w u														
4066-2		tʃ ɔ w ɔ														
4535-2		s u w ɔ														
4888-2		g a t i ɔ														
5180-2		s i m dʒ u														
5751-2		t i j ɛ														
5981-2		a w a u														
114-2		t ɔ j														
702-2		ɔ g ɔ w ɔ w u														
851-2		d u w ɔ														
872-2		d u dʒ a														
952-2		g u u s u														
2179-2		dʒ i														
2351-2		k u j														
2496-2		ɔ u j														
4609-2		g ɔ w ɔ u w u a														
4740-2		g u m u u														
4921-2		s a m j j														
5982-2		d u ŋ dʒ u														
978-2		t ɔ m i														
999-2		j ɔ														
1052-2		d a m u														
1989-2		d u l														
2456-2		tʃ ɔ w i														
2666-2		s i j i														
2817-2		a l u														
3132-2		t u l u														
3300-2		ɛ w ɔ														
3977-2		k i ŋ dʒ i														
3978-2		k i ŋ dʒ i														
4260-2		ɔ u j														
4278-2		k u m dʒ u														
4334-2		g m u														
4361-2		t u w a														
4570-2		g ɔ m														
4648-2		j u														
5673-2		t u m a														
5887-2		j a m														
446-2		t ɔ ŋ dʒ ɔ r ɔ														
1108-2		tʃ ɔ j ɔ														
1124-2		ɔ r ɔ														
1237-2		k u ŋ g u														
1745-2		d a j a														
1823-2		k ɔ s ɔ														
2143-2		m u														
2265-2		u r ɔ														
2392-2		l ɔ s u														
2579-2		t ɔ u														
2902-2		j ɔ														
3197-2		k a														
3339-2		tʃ a r a														
3550-2		t i j i														
3943-2		g ɔ ŋ ɔ														
4240-2		tʃ ɔ r u														
5197-2		ɛ w u														
5531-2		t i r̃ ɛ														
5733-2		m i														
409-2		g u g u														
562-2		s u m ɔ														
1022-2		t i r i														
1205-2		j ɛ														
1275-2		m														
1524-2		k ɔ m ɔ														
1578-2		s u m u														
2063-2		i j ɛ														
2798-2		t i r̃ ɛ j̃														
3088-2		g i w														
3683-2		t i r̃ ɛ														
3772-2		t u m ɔ														
4711-2		j a w i														
4778-2		t a s i j i														
4821-2		m u														
4941-2		ɔ j ɔ														
5272-2		t ɛ w a														
5319-2		t u s i														
5375-2		g ɔ̃ː l m a														
5423-2		ɔ s ɔ														
5424-2		tʃ ɔ r ɔ														
5465-2		g ɔ̃ː g														
5497-2		g u														
178-2		k u u u j o														
563-2		s u w ɔ														
684-2		t a j u														
742-2		t a r u														
787-2		g u w a														
1126-2		g i														
1204-2		tʃ ɛ r i														
1373-2		t g s ɔ														
1787-2		m														
1969-2		d ɔ̃ː g ɔ u														
2283-2		tʃ ɛ r u														
2441-2		m														
2598-2		j ɛ j u														
2773-2		tʃ a r m i j a														
2863-2		dʒ i j ɔ														
3011-2		t a l a j														
3176-2		t ɔ r ɔ														
3319-2		g u j a a														
4025-2		t ɔ̃ː w														
4037-2		s a a														
4441-2		g ɔ̃ː j i														
4843-2		ɔ r u j														
5036-2		g ɔ̃ː w														
5357-2		tʃ ɔ l u														
5790-2		ɔ r u														
61-2		tʃ ɛ l ɛ														
136-2		g e l														
239-2		t u m i														
309-2		t i j a u														
594-2		u s i j i														
701-2		m														
786-2		g a														
909-2		j i														
928-2		ɔ m ɔ														
951-2		j i w														
1184-2		t ɔ r ɔ														
715-3			d u l a													
1089-3			n a l a													
1319-3			n e l a													
1398-3			s u g u l b e													
1557-3			k i l e													
1626-3			w a g e													
1840-3			d e n a													
2247-3			g u e													
4677-3			k u l e n i													
5162-3			m i n l e													
5406-3			d a n dʒ i													
359-3			k a l a a													
1577-3			k i l e													
2196-3			n a l e													
2533-3			b a ŋ g e													
3866-3			d n g i													
4553-3			d a n g l e													
5254-3			d u l a													
503-3			k u n aː i													
1881-3			n u m a l a													
2084-3			k a l b i													
2420-3			k u l e													
3218-3			p u g n b a													
3372-3			n a m a													
3718-3			k a l a													
2320-3			k a n a													
2476-3			k a g e													
3719-3			m i													
4460-3			k aː aː i													
5514-3			n e n dʒ e													
890-3			k a m g i l i													
1336-3			k e g e													
1703-3			b aː l													
2162-3			ŋ aː aː i													
2635-3			aː aː													
2735-3			d a n a a m a													
762-3			k a l a n g u l i													
1788-3			s e													
2713-3			t e m a a n b e b e													
3219-3			p a l u													
4629-3			t u aː b i													
4904-3			k u u aː aː a													
5125-3			k aː n aː i													
5771-3			k u g u e													
5938-3			k a l u n a l a													
1898-3			p u l a a													
2901-3			t u aː b u													
2957-3			m a n d e													
3048-3			b i l e													
5081-3			p i n g i l i													
6006-3			p a l i													
716-3			j e													
1152-3			k i g e													
1789-3			k u aː i													
2083-3			k a m n i													
2108-3			ŋ aː aː b a													
2618-3			k e l e													
2880-3			k u n dʒ u g a													
2941-3			b i l a													
3405-3			k e m e a													
3811-3			l e													
5583-3			ŋ a ŋ g i													
5751-3			d i l e													
2442-3			k u aː aː													
2496-3			d u n													
4921-3			s a b l e													
196-3			k u l e													
3639-3			d a w a													
3905-3			k u i													
3977-3			m a n dʒ i													
3978-3			m a n d e													
4361-3			ŋ aː aː aː													
5532-3			k i n i													
1237-3			d i n e													
1579-3			k m b u l e													
2143-3			t u													
2774-3			k a n a													
3198-3			s e m e													
3534-3			g u n i													
3550-3			d i n a g i													
3684-3			k i n d a													
3943-3			k aː l ɛ													
4259-3			k u g e													
4611-3			k a m a													
4983-3			s a n dʒ i													
5656-3			m a n dʒ i													
5830-3			j a													
1026-3			l e a a													
1170-3			g a n d e													
1187-3			d u l a													
1275-3			n i													
1454-3			s e l e e													
1668-3			b u n i													
1841-3			g e													
1970-3			p u l a													
2977-3			k a n b e													
3301-3			k e b a													
3498-3			n i													
4442-3			k i n e													
4479-3			g e													
5038-3			g a l e a													
5391-3			d a m													
5888-3			j a													
6007-3			p u n a													
178-3			k a n a a l i													
684-3			s a m a													
1257-3			k a n a g a													
1433-3			p a l e													
1501-3			n i g e													
1684-3			s i w i													
1864-3			k a g a l e													
1988-3			k p u n d e													
2046-3			g e n d a													
2127-3			n a l a													
2599-3			d i g e													
2756-3			w a l a													
2775-3			b a l i m i													
3254-3			d a l a m a													
3427-3			n g e													
3465-3			k u l ɛ													
4008-3			k e n a a													
4053-3			k i n b e													
4985-3			s e													
5569-3			b a n g e													
5606-3			d i n dʒ i n g a													
5640-3			n e n g a													
5906-3			k e ŋ g e													
2-3			k a m n ɔ													
3-3			g a n i													
42-3			k i b e													
241-3			d a g e													
242-3			l e													
361-3			k a l a													
651-3			d i n g e													
701-3			k a													
743-3			d a g e													
873-3			s i a													
1001-3			g e													
1053-3			k a n d e													
1109-3			k a b a													
1206-3			t u m b u													
1207-3			g e													
1434-3			ŋ g e													
715-4				d a a												
1089-4				n a n a												
1319-4				n a a												
1398-4				s u n u r u												
1557-4				s a r a												
1626-4				w a n a												
1840-4				s i n u												
2247-4				g a a												
4677-4				k u r a n a												
5162-4				m i r a												
5406-4				k a n a u												
359-4				k a r a a												
1577-4				s a r a												
2196-4				n a n a												
2230-4				s a r a												
2533-4				s a r a a												
3605-4				k a n a a												
3866-4				s a r u												
4553-4				m a a a												
4822-4				k u m a a												
5254-4				s u r ɔ												
503-4				k i r a a												
1356-4				m a a a												
1881-4				n u m a a												
2084-4				j a a a a												
2420-4				k u r ɔ												
3218-4				m a a s a												
3718-4				s a r a												
4135-4				s a r u a												
4694-4				k u s a r̃ u												
807-4				k a m a a												
2320-4				k a n a												
2842-4				n a r u a												
4313-4				n a m a a												
4460-4				s u a												
5514-4				n ɛ n a a												
5810-4				n i r u												
93-4				d a												
260-4				ɲ ɛ ɲ a												
385-4				dʒ ɛ m a ɛ												
890-4				k a m s a r u												
1769-4				k ɛ m a ɛ												
2162-4				s ɛ r ɛ												
2635-4				s a												
2735-4				d a n a a a												
3031-4				ɲ ɛ r ɛ												
5301-4				s ɛ r u												
5605-4				n i w̃ ɛ a												
63-4				k a r a												
296-4				k a m a a												
463-4				k u m a a												
762-4				d a n a u u r u												
1432-4				s a r u												
1474-4				k ɔ ɔ a												
2044-4				k i m a												
3219-4				dʒ a s a												
4120-4				k ɔ r a												
4184-4				ɲ a n a												
4423-4				s ɔ r ɔ												
4629-4				n u n ɔ												
4759-4				n i n a a												
4904-4				n r u n ɔ												
4960-4				k a n a n a												
4980-4				d a a												
5059-4				g u j o												
5125-4				k ɔ n ɔ ɔ												
5549-4				dʒ a w a a												
5771-4				s u ɣ u a												
5922-4				s a r ɛ												
1-4				ɲ ɛ												
629-4				dʒ ɛ r a												
667-4				ɛ w ɛ												
1254-4				k a m s u r u												
1415-4				ɲ m ɛː												
1542-4				n m a												
1683-4				s a j a												
1898-4				s u r̃ o												
2551-4				m a												
3251-4				s a n a												
3885-4				s ɛ r ɛ												
5622-4				s ɛ l ɔ a												
6006-4				m a r a												
43-4				s a n a												
135-4				m ɛ n a a												
158-4				m s ɔ ɲ u												
221-4				ɛ s u												
650-4				dʒ a a a												
1374-4				k ɔ n a												
1452-4				s a r a												
1789-4				n u w̃ ɔ												
1862-4				a s u												
2108-4				n a a												
2636-4				m a												
3113-4				d ɛ n a												
3136-4				s a r a												
3751-4				ɲ ɛ a												
4888-4				s a m a n a												
5180-4				s ɛ m ɲ ɛ												
5583-4				k a n a a												
5981-4				a n a a												
25-4				s a r u s ɛ ɛ												
114-4				d ɔ n ɔ												
702-4				ɔ n ɔ n u n ɔ												
851-4				g ɔ w a												
872-4				ɛ n ɲ a												
952-4				k u r u r̃ ɔ												
1941-4				k a r a												
2442-4				n u w̃ o												
3448-4				m a a a a												
3482-4				m a s a d ɛ												
3497-4				k n a												
3588-4				k ɔ r ɔ												
4101-4				a r a a												
4293-4				dʒ ɔ w ɔ												
4520-4				s ɛ r u												
4609-4				k ɔ r ɔ w a a												
4740-4				k u n ɔ n												
4781-4				m a a a a												
5982-4				g u a s u												
196-4				m a a a												
545-4				a r u												
931-4				k ɛ m a												
978-4				n o m												
999-4				ɲ ɛ												
1052-4				n a m u												
1070-4				l u r a												
1298-4				m a k a m a a												
1989-4				m ɛ n a												
2145-4				dʒ a a												
2306-4				a m a a												
2456-4				g ɔ l ɔ												
2514-4				s u s u												
3132-4				tʃ u n u a												
3300-4				ɛ w ɛ												
3774-4				s u r u												
3976-4				dʒ a s a												
4039-4				s ɔ r u												
4278-4				k u n a a												
4361-4				s a r a												
4570-4				d ɔ ɛ												
5318-4				d a r̃ a												
5673-4				k a m ɲ a												
5752-4				ɲ a												
521-4				m ɔ r o												
685-4				s ɔ r a												
744-4				l a w a												
1646-4				ɔ a a												
1745-4				dʒ a n a												
2066-4				n a ŋ a												
2216-4				j a a												
2265-4				u l a												
2579-4				k a a												
2958-4				m ɔ a												
3197-4				g ɔ												
3339-4				m a a												
3812-4				k a n a a												
4219-4				n ɛ e												
4337-4				s ɔ m a ɔ												
5197-4				e r u												
5531-4				s i r												
5733-4				n i												
409-4				s a r u												
1002-4				r ɛ												
1022-4				n i l												
1238-4				a r u												
1612-4				n u m a												
2334-4				a s u												
2396-4				n a												
2553-4				k a n a												
2671-4				n n n												
2798-4				a a												
2978-4				s u r ɔ												
3407-4				a a												
3551-4				b a a a a												
3683-4				tʃ												
4220-4				r u												
4383-4				g ɛ n ɛ												
4440-4				n i												
4651-4				d ɛ n												
4711-4				s a												
4821-4				n u												
5272-4				s e u												
5375-4				m a n ɛ ɲ a												
5465-4				m u w̃ o												
5481-4				m a m a												
5497-4				a a												
5641-4				l ɔ a												
5692-4				a n a												
347-4				tʃ u												
448-4				n ɛ m												
567-4				ɲ a n ɛ												
613-4				m												
787-4				n i w̃												
1126-4				n a												
1208-4				k a m a												
1502-4				d u n a												
1669-4				d ɛ m s ɛ r ɛ												
1971-4				s u n u ɔ												
2283-4				dʒ												
2354-4				s a r a												
2619-4				tʃ ɛ a												
2714-4				k k a a												
3011-4				s a l n a												
3159-4				j a l a												
3199-4				s ɔ n ɔ m												
3319-4				m u s a r̃												
3358-4				m a												
3535-4				k ɛ												
3622-4				m m m a												
3640-4				l u a												
3813-4				r e												
4441-4				b ɛ r a												
4498-4				ɛː r u												
4986-4				s ɔ r ɔ ɔ												
5036-4				s ɔ r ɔ												
5109-4				l a ɣ a												
5390-4				n o n ɔ												
5425-4				n ɔ a a												
5847-4				ɔ n a a												
6008-4				dʒ ɔ r ɔ												
62-4				k a a												
197-4				n ɛː w												
331-4				dʒ a dʒ a												
412-4				l ɛ												
482-4				dʒ u												
786-4				n i												
715-5					d u j e											
1089-5					n a g a											
1319-5					n i a											
1398-5					s u g u l j e											
1557-5					g i r e											
1626-5					w a g e											
1840-5					d e n e											
2247-5					g u e											
4677-5					k u l e n i											
5162-5					m i n l e											
5406-5					d aː n d i											
359-5					k a r a e											
1577-5					g i r e											
2196-5					n a l e											
2230-5					s i g e											
3605-5					k a n d a											
3866-5					d o d u											
4553-5					d a ŋ g g e											
4822-5					k u m b e											
5254-5					d u l e											
1356-5					m i g e											
1881-5					n a m g g a											
2084-5					j a ŋ g i											
2420-5					k u l e											
3218-5					p u g u g a											
3372-5					n a m a											
3718-5					p a r a											
4135-5					p o n g e											
4694-5					g u d u g u											
2476-5					k u g e											
2842-5					d i g i e											
3719-5					d i											
4081-5					d u m b g u											
5514-5					n e n d e											
260-5					p i n g e											
385-5					d u m g e a											
890-5					d a m g i l i											
1703-5					d a w											
1769-5					d e m g e											
2735-5					d u n g a g a											
4591-5					d a r e											
5301-5					p a l e											
63-5					k a r a											
296-5					t u ŋ g e											
463-5					p u ŋ g e											
762-5					p a n a ŋ g e l e											
1788-5					s e											
3219-5					d u s e											
4120-5					k o l o											
4759-5					n o e g o											
4960-5					g u b u g u											
5059-5					g u j e											
5549-5					p u u g e											
5771-5					j u g u i											
5905-5					t u r e											
5938-5					p a r e n g g a											
1415-5					n g e											
1542-5					n g u e											
1898-5					p u l o e											
2551-5					r e											
2957-5					p a n d e											
3048-5					b i j e											
4402-5					g e											
5081-5					p i n n n g i											
6006-5					p a r i											
135-5					d u n d u											
194-5					d u j											
716-5					j e											
2083-5					k a n i											
2618-5					k e l e											
2880-5					k u n d u g a											
3113-5					t e g a											
3136-5					j ɛ g u											
3405-5					a m e u											
3572-5					p e g ɛ											
4535-5					s u g ɛ											
5751-5					d i j e											
851-5					g u g e											
2179-5					n g e											
2351-5					k u r e											
2496-5					n u n											
3448-5					d e ŋ g a											
4781-5					s a n a											
