COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	ŋ au ³⁵								
838-1	n̥ ɔ m ⁵⁵								
438-1	l ə ʔ ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l e ³¹								
394-1	m e ³¹								
221-1	ʐ a p ⁵⁵								
202-1	k au ³¹								
935-1	o ³¹								
93-1	ts a ŋ ³¹								
7-1	p ə ŋ ³¹								
664-1	o w a ŋ ⁵⁵								
246-1	x ɔ ʔ ⁵⁵								
547-1	ɕ ə ʔ ⁵⁵								
555-1	j ɔ m ⁵⁵								
464-1	m au ³¹								
119-1	ts e ŋ ⁵⁵								
835-1	n̥ e ʔ ⁵⁵								
79-1	t ɔ ³¹								
693-1	ŋ au ⁵⁵								
477-1	n ʐ a p ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ ɔ ⁵⁵								
797-1	ts au ʔ ⁵⁵								
493-1	n ə ʔ ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	tsʰ au m ⁵⁵								
452-1	ȵ au ʔ ⁵⁵								
580-1	ɕ ɔ ʔ ⁵⁵								
833-1	n̥ ɔ ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	ŋ ə ⁵⁵								
86-1	t au ŋ ⁵⁵								
384-1	m a ŋ ³⁵								
61-1	t a m ⁵⁵								
536-1	ɕ ɔ ʔ ⁵⁵								
731-1	ɕ e ³¹								
779-1	tʰ e ⁵⁵								
589-1	tʰ w a ŋ ⁵⁵								
658-1	o m ⁵⁵								
456-1	m ʐ w a ŋ ³¹								
183-1	k ʐ ə ³¹								
785-1	x ɔ ³¹								
714-1	au ⁵⁵ m ⁵⁵								
331-1	l ɔ ³¹								
930-1	ŋ ɔ ʔ ⁵⁵								
161-1	p w a ŋ ⁵⁵								
814-1	x ui ³¹								
179-1	k ʐ w a ʔ ³¹								
194-1	ʐ ɔ ʔ ⁵⁵								
727-1	ɕ w a ŋ ⁵⁵								
260-1	x ʐ a p ⁵⁵								
144-1	ʈʂ a m ⁵⁵								
53-1	p e ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	tɕ e ʔ ⁵⁵								
29-1	p ə ʔ ⁵⁵								
316-1	tʰ e ʔ ⁵⁵								
389-1	m ʐ w a ŋ ⁵⁵								
118-1	m ɔ ³⁵								
312-1	x ɔ ³¹								
490-1	n e ³⁵								
436-1	ȵ ɔ ³¹								
927-1	n a ŋ ⁵⁵								
383-1	m ɔ ʔ ³¹								
211-1	ʐ a m ⁵⁵								
873-1	ɕ ə ŋ ⁵⁵								
877-1	ɕ e ³⁵								
344-1	l a m ⁵⁵								
666-1	ŋ ɔ ³¹								
595-1	tʰ w a ŋ ³⁵								
660-1	o t ⁵⁵								
642-1	m w a ŋ ³⁵								
257-1	ts a m ⁵⁵								
167-1	tɕ ɔ ³¹								
880-1	tʰ a p ⁵⁵								
484-1	n w a ŋ ⁵⁵								
574-1	ɕ o m ³¹								
718-1	ɕ e ŋ ³¹								
811-1	x au ³¹								
458-1	tʰ au ŋ ³¹								
884-1	tʰ ɔ ³⁵								
205-1	k au ʔ ⁵⁵								
499-1	n a ⁵⁵								
706-1	ɕ e ⁵⁵								
920-1	au ŋ ³¹								
36-1	p ⁵⁵ w a ŋ ⁵⁵								
12-1	p e ⁵⁵								
350-1	l w a ŋ ³⁵								
4-1	p a ŋ ⁵⁵								
342-1	ʐ o ʔ ⁵⁵								
280-1	x ʐ ə ³⁵								
612-1	tʰ e ŋ ³¹								
459-1	m ʐ ə ŋ ⁵⁵								
569-1	s ui ³¹								
283-1	m ʐ ui ³⁵								
148-1	k a ŋ ³¹								
652-1	o ə ⁵⁵								
220-1	ʈʂ w a ŋ ³¹								
562-1	ɕ ə ŋ ³¹								
31-1	k ʐ w a ʔ ⁵⁵								
386-1	m ə t ³¹								
804-1	m ʐ au ŋ ³⁵								
369-1	l ə ʔ ⁵⁵								
125-1	t o ³¹								
314-1	tɕ e ⁵⁵								
823-1	l e ʔ ⁵⁵								
471-1	ʈʂ a m ³¹								
40-1	p ʐ ə ŋ ³⁵								
393-1	m w a ŋ ³⁵								
272-1	x ʐ w a ŋ ³⁵								
463-1	m au ⁵⁵								
1-1	p ɔ ⁵⁵								
214-1	ʐ a m ³¹								
123-1	m o ⁵⁵								
512-1	tɕ ə ʔ ⁵⁵								
518-1	tɕ ʐ o ⁵⁵								
878-1	tʰ ɔ ³¹								
849-1	tɕ a t ⁵⁵								
524-1	tɕ au ʔ ⁵⁵								
90-1	tʰ ɔ ³⁵								
541-1	ɕ ə ŋ ³¹								
933-1	ʈʂ au ³¹								
467-1	n ɔ ³¹								
49-1	ʂ ʐ e ⁵⁵								
822-1	l ɔ ʔ ⁵⁵								
52-1	p ɔ ⁵⁵								
377-1	l e ³¹								
127-1	ʈʂ a p ⁵⁵								
67-1	t ɔ ʔ ⁵⁵								
864-1	p ʐ ə ³¹								
126-1	ʈʂ ɔ ʔ ⁵⁵								
656-1	ɔ m ³⁵								
635-1	kʰ ɔ ʔ ⁵⁵								
473-1	n̥ a m ⁵⁵								
98-1	ɕ ɔ ³¹								
445-1	ȵ au ⁵⁵								
