COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n au ³⁵								
838-1	n̥ ɔ m ⁵⁵								
438-1	m ʐ a ŋ ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l i ³¹								
394-1	m i ³¹								
221-1	i u p ⁵⁵								
202-1	k au ³¹								
935-1	au ³¹								
93-1	ts a ³¹								
7-1	p a n ³¹								
664-1	oi a ŋ ⁵⁵								
246-1	x ɔ ʔ ⁵⁵								
547-1	s ə k ⁵⁵								
555-1	i u m ⁵⁵								
464-1	m au ³¹								
119-1	x ʐ ai ⁵⁵								
835-1	n̥ a p ⁵⁵								
79-1	t oi ³¹								
693-1	ŋ au ⁵⁵								
477-1	n ə p ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ ɔ ⁵⁵								
797-1	x ʐ au ʔ ⁵⁵								
493-1	n ə k ⁵⁵								
217-1	ʑ a p ⁵⁵								
896-1	tsʰ u t ⁵⁵								
452-1	m ʐ o ʔ ⁵⁵								
580-1	ʂ ui ⁵⁵								
833-1	n̥ ɔ ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	ŋ u ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	t a n ⁵⁵								
536-1	ʂ ɔ ʔ ⁵⁵								
731-1	ʂ ɿ ³¹								
779-1	tɕ i ⁵⁵								
589-1	tʰ w a ŋ ⁵⁵								
658-1	oi au m ⁵⁵								
456-1	m ʐ a ŋ ³¹								
183-1	k ʐ i ³¹								
785-1	x ɔ ³¹								
714-1	pʰ a ⁵⁵								
331-1	k ɔ ³¹								
930-1	ŋ a p ⁵⁵								
161-1	k w a ŋ ⁵⁵								
814-1	x ui ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	ʐ ɔ ʔ ⁵⁵								
727-1	ʂ w a ŋ ⁵⁵								
260-1	x ʐ a p ⁵⁵								
144-1	k ʐ a m ⁵⁵								
53-1	p u m ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	pʰ i ⁵⁵								
29-1	p ə k ⁵⁵								
316-1	tʰ ʐ a ʔ ⁵⁵								
389-1	m ʐ a ŋ ⁵⁵								
118-1	m ɔ ³⁵								
312-1	x ɔ ³¹								
490-1	n i ³⁵								
436-1	m ʐ w a ³¹								
927-1	ŋ a n ⁵⁵								
383-1	m ɔ ʔ ³¹								
211-1	j a m ⁵⁵								
873-1	ʂ ə ŋ ⁵⁵								
877-1	ʂ e ³⁵								
344-1	l a m ⁵⁵								
666-1	ŋ ɔ ³¹								
595-1	tʰ w a ŋ ³¹								
660-1	oi a p ⁵⁵								
642-1	x w a ŋ ³¹								
257-1	ʈʂʰ a m ⁵⁵								
167-1	k ʐ ɔ ⁵⁵								
880-1	tʰ a p ⁵⁵								
484-1	n w a ŋ ⁵⁵								
574-1	s u m ³¹								
718-1	ʂ ʐ n ³¹								
811-1	x au ³¹								
458-1	tʰ au ŋ ³¹								
884-1	tʰ ³⁵								
205-1	k ³¹								
499-1	n ɛ ⁵⁵								
706-1	ɕ ʐ ⁵⁵								
920-1	au ³¹								
36-1	p ʐ a ŋ ⁵⁵								
665-2		ŋ o ⁵¹							
495-2		n au ⁵⁵							
838-2		n o ʔ ²¹							
438-2		m j o ʔ ²¹							
334-2		l o ʔ ²¹							
360-2		l i ²¹							
394-2		m j i ²¹							
221-2		j o̱ p ⁵⁵							
202-2		k au ²¹							
935-2		u̱ ²¹							
93-2		tʃ a̱ ŋ ²¹							
7-2		p a n ²¹							
664-2		v a ŋ ⁵¹							
246-2		k o̱ ʔ ⁵⁵							
547-2		s a k ⁵⁵							
555-2		j o̱ n ⁵⁵							
464-2		m au ⁵¹							
119-2		tʃ ²¹							
835-2		n a̱ p ⁵⁵							
79-2		t o ²¹							
693-2		ŋ au ⁵¹							
477-2		m j i p ²¹							
891-2		t i ŋ ⁵⁵							
528-2		v o ⁵¹							
797-2		k j a̱u ʔ ⁵⁵							
493-2		n i k ²¹							
217-2		j a p ²¹							
896-2		ts u̱ t ⁵⁵							
452-2		m j u ʔ ²¹							
580-2		x u t ⁵⁵							
833-2		n o̱ p ⁵⁵							
390-2		m a ŋ ⁵¹							
696-2		ŋ u ⁵¹							
86-2		t u ŋ ²¹							
384-2		m a n ⁵⁵							
61-2		t o̱ n ⁵⁵							
536-2		s o ʔ ⁵⁵							
731-2		ʃ i ²¹							
779-2		a ⁵⁵							
589-2		tʰ a ŋ ²¹							
680-2		ŋ o̱ ʔ ⁵⁵							
658-2		v a m ⁵¹							
456-2		m j a ŋ ²¹							
183-2		k j i ²¹							
785-2		kʰ o ²¹							
714-2		u̱ ⁵¹							
331-2		n o ⁵¹							
206-2		j o ⁵¹							
930-2		ŋ a̱ p ⁵⁵							
353-2		l ui ⁵¹							
161-2		k a ŋ ⁵¹							
814-2		k ui ²¹							
179-2		v a ʔ ²¹							
194-2		v o ʔ ²¹							
727-2		v a ŋ ⁵¹							
260-2		m j a p ⁵⁵							
144-2		k a m ⁵¹							
53-2		p u m ⁵¹							
59-2		t o ʔ ²¹							
506-2		pʰ i k ⁵⁵							
29-2		p i k ²¹							
316-2		tʰ j o ʔ ⁵⁵							
389-2		m j a ŋ ⁵¹							
118-2		m o ⁵⁵							
312-2		kʰ o ⁵⁵							
490-2		n i̱ k ⁵⁵							
436-2		m j i̱ ŋ ⁵¹							
927-2		ŋ a̱ n ⁵⁵							
