COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m a ⁴⁴									
53-1	ts i ²¹									
93-1	k ɯ ³¹									
216-1	s w a ⁴⁴									
236-1	ts ʯ ³³									
267-1	tɕ i ⁴²									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	ts u ⁴⁴									
400-1	s u ²¹									
452-1	k a ³⁵									
463-1	kʰ a ⁴⁴									
512-1	t a ⁴²									
534-1	ts ou ⁴⁴									
556-1	kʰ Ø ³³									
568-1	x ɯ ⁴⁴									
588-1	s w a ⁴⁴									
599-1	pʰ ɯ ⁵⁵									
656-1	k o ³¹									
678-1	k ou ³¹									
689-1	m a Ø									
700-1	m Ø ⁴²									
775-1	p e ⁴²									
786-1	k Ø ⁵⁵									
820-1	tɕ ʯ Ø									
839-1	t ɯ ³¹									
863-1	kʰ w ou ³³									
896-1	k a ⁵⁵									
929-1	t ɯ Ø									
1015-1	s u ⁵⁵									
1035-1	ts u ³³									
1107-1	ɕ a ⁴⁴									
1173-1	ɕ i ³³									
1195-1	ɕ i ³³									
1230-1	kʰ w a ³³									
1241-1	m Ø ³¹									
1252-1	l u ³¹									
1294-1	k ɛ ⁵⁵									
1326-1	tɕ i ³³									
1348-1	tɕ i Ø									
1401-1	s e ⁴²									
1451-1	s i ³³									
1473-1	t w e ³³									
1507-1	tɕʰ i ⁵⁵									
1532-1	k ɯ ⁵⁵									
1543-1	ɕ i ³³									
1575-1	s i ⁵⁵									
1618-1	p ɯ ³¹									
1640-1	k u ⁴⁴									
1671-1	ɕ i ⁴⁴									
1762-1	s w a Ø									
1773-1	t ɯ ⁴⁴									
1794-1	k ou ⁵⁵									
1805-1	tɕ i Ø									
1816-1	s ou ³³									
1862-1	ts i ⁵⁵									
1885-1	kʰ a ⁴⁴									
1914-1	ɕ i ³³									
1936-1	p Ø ³³									
1969-1	s i ⁵⁵									
2018-1	ts u ²¹									
2029-1	k ɛ ⁵⁵									
2051-1	tɕ u ³¹									
2074-1	k ʯ ⁴⁴									
2085-1	m a ³³									
2130-1	p a ⁴⁴									
32-2		m ɛ ⁵⁵								
53-2		tɕ i ²¹								
93-2		k ɯ Ø								
216-2		s w a ⁵⁵								
236-2		ts i ³³								
267-2		tɕ w e ⁴²								
316-2		p ɯ ³³								
327-2		ɣ ɯ ³³								
348-2		ts w ou ⁵⁵								
400-2		ɕ o ²¹								
452-2		k ɛ ⁵⁵								
463-2		kʰ a ⁵⁵								
512-2		t o ⁴²								
534-2		ts ou ⁵⁵								
556-2		kʰ ʯ ³³								
568-2		x ɯ ⁵⁵								
