COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
4378		x ɯ ²²	x ɯ ²²	x ɯ ²²	x ɯ ²²		x ɯ ³³	x ɯ ²	x ɯ ³³	x ɯ ³³
1	m ə˞ ²¹		m æ ²¹	m æ ¹²		m a n ²¹	m ə̃˞ ²¹	m æ ¹	m a ³⁵	
11		tɕ i u ²¹	tɕ j o ²¹	dz ao ²¹	tɕ j o ²¹	ts ʯ̃ ⁴²	tsʰ u ⁴²	ɖʐ o ⁴	ʐ y ⁴²	
21	s o ŋ ³¹			s a ŋ ⁴²		s ʯ ŋ ³¹	s o ŋ ²¹	s u ŋ ³	s ʯ ŋ ²¹	
22		ts o ⁵⁵	ts a ⁵⁵		ts a ⁵⁵					
32	m ə˞ ⁴⁴	m a ⁴⁴	m æ ⁵⁵	m æ ²⁴	m a ⁵⁵	m a ⁴⁴	m ə˞ ⁴⁴	m æ ⁴	m a ⁴²	m ɛ ⁴⁴
43	ɣ ou ⁴²					ɣ ou ⁴²	ɣ o ⁴²	ɣ u ⁴		
44		u ⁴²	u ²¹		u ⁴²					ou ⁴²
53	ʈʂ i ³¹	ts ɛ ²¹	ts ɿ ²¹	ɖʐ i ²¹	tɕ ə˞ ²¹	ts a ²¹	dz i ²¹	ɖʐ i ¹	ʐ ə˞ ³⁵	ts i ²¹
64		pʰ ə ⁴²	pʰ æ ⁴³	pʰ a n ⁴²	pʰ ã ⁴²	pʰ a n ³¹	pʰ ə˞ ²¹	pʰ æ n ³	pʰ a ŋ ²¹	pʰ o ³¹
65		m a ⁴²	m a ⁴³	m a n ²²	m ã ⁴²	m a n ³¹	m ə̃˞ ²¹		m a ŋ ²¹	m j ɛ ³¹
82	ʈʂʰ ou ⁴⁴	tɕʰ j o ⁴⁴	tʰ i u ⁵⁵		ʈʰ o ⁵⁵	tsʰ ou ⁴⁴	tsʰ o ⁴⁴	tʰ r o ⁴	tʰ i u ⁴²	
83				ŋ a ŋ ²⁴						ŋ a ⁴⁴
93	k ɯ ²¹	k ɯ ²¹	k ɯ ²¹	g ɯ ¹²	k ɯ ²¹	k ɯ ²¹	k ɯ ²¹	g ɯ ¹	g ɯ ³⁵	k ɯ ²¹
104		x w a ⁴⁴	χ w a ⁵⁵	x w a ²⁴	x w a ⁵⁵	x u ɑ ⁴⁴	x w a ⁴⁴	h w a ⁴	h w ɔ ⁴²	x w a ⁴⁴
114			ŋ o ⁴³	ŋ o ⁴²				ŋ o ³		
119	tɕʰ ə ⁰	tsʰ i ⁵⁵	tsʰ i ⁵⁵	tɕʰ i ⁵⁵		tɕʰ i ⁵⁵		tsʰ j i ¹	tɕʰ i ⁵⁵	
132	x ã ⁴²	x a ⁴²	χ a ⁴³	h a ŋ ⁴²	x a ⁴²	x ɑ̃ ⁴²		h a ŋ ⁵	h a ŋ ²¹	
141	ŋ õ ³¹	ŋ o ⁴²	ɴ o ⁴³	ŋ a ⁴²	õ ⁴²			ŋ ɔ ³	ŋ ɔ ²¹	ŋ o ³¹
161	m j ə˞ ³⁵		m j a ²⁴			m j a n ⁵⁵		m j æ ¹	ɥ a ŋ ⁵⁵	
162		ɲ j a ⁴⁴		ɲ ɥ ɛ ⁵⁵	ɲ j o ⁵⁵					
172			p i ²⁴				p ɛ ⁵⁵	p e ¹		p e ³⁵
170		ŋ ɯ ²¹		ŋ ɯ ²¹						
171		ɕ i ⁴⁴		ɕ i ²⁴	ɕ i ⁴⁴					
152		pʰ a ⁴⁴	pʰ a ⁵⁵	pʰ a ²⁴			p ɛ ⁵⁵	pʰ a ¹		p e ³⁵
184			ʔ o ⁵⁵			ʔ ʯ ⁴⁴		ʔ o ⁴		
181	o ⁵⁵									ʯ ⁵⁵
193			qʰ u ²⁴	qʰ u ⁵⁵	qʰ u ⁵⁵		kʰ o ⁵⁵	qʰ u ¹		kʰ u ⁵⁵
200	k w a ⁴²		q w a ²¹	ɣ w a ²¹		k u ɑ ⁴²		ɣ w a ⁴	g w o ⁴²	
208			p o ²²				p o ²¹	p j o ²		p o ²¹
207		f e ²²		pf ɯ ²²	f ə˞ ²²				f ʯ ³³	
216	sʰ w a ⁴⁴	s w a ⁴⁴	s w a ⁵⁵	s w a ²⁴	s w a ⁵⁵	s u ɑ ⁴⁴	s w a ⁴⁴	sʰ w a ⁴	s w ɔ ⁴²	s w a ⁴⁴
227	tɕʰ i ⁴⁴		tɕʰ i ⁵⁵	tɕʰ i ⁵⁵		tɕʰ i ⁴⁴	tɕʰ i ⁴⁴	tɕʰ i ⁴	tɕʰ i ⁴²	tɕʰ i ⁵⁵
236	ts õ ³³	ts õ ²²	ts o ²²	ts o ŋ ²²	ts ə ŋ ²²	ts ʯ̃ ³³	ts o ŋ ³³	ts u ŋ ²	ts ʯ ŋ ³³	ts i ³³
247	p i ²¹	p ɯ ²¹	p ɯ ²¹	b u ¹²	p ɯ ²¹	p õ ²¹	p əɯ ²¹	b r i ¹		p i ²¹
249		tɕ i ²¹	ts u ⁴³	dz u ¹²	tɕ i ²¹					
267	tɕ j e n ⁴²	ts ɛ ⁴²	ts i ⁴³	tɕ i n ⁴²	ts ẽ ⁴²	tɕ j e n ⁴²	tɕ e n ⁴²	ts j e n ⁵	tɕ j e n ²¹	tɕ i ⁵³
278	p j ə˞ ⁴⁴		p j æ ⁵⁵			p j a ⁴⁴	p j ə˞ ⁴⁴	p r æ ⁴		p j ɛ ⁴⁴
280				tɕ w ɛ ²⁴	tɕ w a ⁵⁵				ʈʂ w a ⁴²	
289	ʂ i ⁴⁴	tsʰ i ⁴²	s ɿ ⁵⁵		ʂ ə˞ ⁵⁵	s a ⁴⁴	s i ⁴⁴	s r i ⁴	ʂ i ⁴	s i ⁵⁵
300	p e ³³					p ẽ ⁵⁵	pʰ o ⁵⁵	p ɛ ²	p ɛ ³³	p e ³³
304			x ɯ ²²	x ɯ ⁴²	x ɯ̃ ⁴²					
303			ɕ j a ²⁴		ɕ j a ⁵⁵		ɕ ə˞ ⁵⁵			
316	p ɯ ³³	p ɯ ²²	p ɯ ²²	p u ³³	p ɯ ²²	p ɯ ³³	p əɯ ³³	p ɯ ²	p ɯ ³³	p ɯ ³³
327	ɣ ɯ ³³	x ɯ̃ ²²	ɯ ²²	ɣ e ²²	x ẽ ⁵⁵	ɣ eə ³³	ɣ ə ³³	ɣ ɯ ²	ɣ ɯ ³³	ɣ ɯ ³³
338	k w e ⁴²	q w ɛ ⁴²	q u ɛ ⁴³	q w ɛ ⁴²	q w e ⁴²	k w a ⁴⁴	k w ɛ ⁴⁴	q w ɛ ³	q w ɛ ²¹	
348	ʈʂ o ³³	tɕ u ⁴⁴	tɕ o ⁵⁵	ts ao ²⁴	tɕ u ⁵⁵	ts ʯ ⁴⁴	ts u ⁴⁴	ts r o ⁴	ʈʂ ʯ ⁴²	ts ʯ ⁴⁴
359	w e n ²¹	ŋ w ɛ ²¹	ŋ w i ²¹	w e n ¹²		w ẽ ²¹		ŋ w e n ¹	w e n ³⁵	w ɛ ²¹
369			m i ²¹	m i ¹²				m i ¹		m i ²¹
370					tɕ i u ⁴⁴		ts u ⁴⁴			
378	ʈʂ ɯ ²¹	dʑ i ⁴²	d j ɯ ⁴³	ɖʐ i ¹²	ɖ ɯ ⁴²	ts ɯ ³¹		d r ɯ ³	d j ɯ ²¹	ts ɯ ⁰
379	p e ²¹		p i ²¹	b i ²¹		p e ²¹	p e ²¹	b e ¹	b i ³⁵	p e ²¹
400	z au ²¹	z o ²¹	z o ⁴³	z ao ¹²	z ao ²¹	s ou ²¹	z o ²¹	z ɔ ¹	z ɔ ³⁵	z o ²¹
412		t a ⁵⁵	t æ ²⁴	t e n ⁵⁵	t ã ⁵⁵	t a n ⁵⁵	t ə˞ ⁵⁵	t æ ¹	t a ⁵⁵	t ɛ ³⁵
