COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m a ⁴⁴									
53-1	ts i ²¹									
93-1	k ɯ ²¹									
216-1	s w a ⁴⁴									
236-1	ts i ³³									
267-1	tɕ e n ⁴²									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	ts ʯ ⁴⁴									
400-1	z o ²¹									
452-1	k a ⁵⁵									
463-1	kʰ a ⁴⁴									
512-1	t o ⁴²									
534-1	ts ou ⁴⁴									
556-1	qʰ u ²²									
568-1	x ɯ ⁴⁴									
588-1	s w a ⁴⁴									
599-1	pʰ ɯ ⁵⁵									
656-1	k u ²¹									
678-1	k ʯ ²¹									
689-1	m a ⁴²									
700-1	m e ⁴²									
775-1	p e ⁴²									
786-1	k e ⁵⁵									
820-1	ts ʯ ⁴²									
839-1	t ɯ ²¹									
863-1	kʰ o ³³									
896-1	k ɛ ⁵⁵									
929-1	ts ɯ ³¹									
1015-1	s ʯ ⁵⁵									
1035-1	ts ʯ ³³									
1107-1	s a ⁴⁴									
1173-1	ɕ i ³³									
1195-1	ɕ i ³³									
1241-1	m e ²¹									
1252-1	l ʯ ²¹									
1294-1	k a ⁵⁵									
1326-1	ts u ³³									
1348-1	tɕ i ³¹									
1401-1	s e ⁴²									
1451-1	s i ³³									
1473-1	t w e ³³									
1507-1	tɕʰ i ⁵⁵									
1532-1	k ɯ ⁵⁵									
1543-1	s ɯ ³³									
1575-1	ɕ e n ⁵⁵									
1618-1	p ɯ ²¹									
1640-1	k o ⁴⁴									
1671-1	ɕ i ⁴⁴									
1731-1	s ou ⁵⁵									
1762-1	s w a ³¹									
1773-1	t ɯ ⁴⁴									
1794-1	k ou ⁵⁵									
1805-1	z i ⁴²									
1816-1	s ʯ ⁵⁵									
1862-1	ts i ⁵⁵									
1885-1	kʰ a ⁴⁴									
1914-1	s ɯ ³³									
1936-1	p u ³³									
1969-1	ɕ e n ⁵⁵									
2018-1	ts ou ²¹									
2029-1	k a ⁵⁵									
2051-1	ts ʯ ²¹									
2074-1	k ʯ ⁴⁴									
2085-1	m a ³³									
2130-1	p a ⁴⁴									
2245-1	ts o ⁴²									
2269-1	m e ³³									
2280-1	s o ³¹									
2291-1	s e n ⁴²									
2316-1	tɕ i ⁴⁴									
2364-1	ts i ³³									
2395-1	tsʰ a ⁵⁵									
2406-1	tɕʰ j a ⁵⁵									
2417-1	k ʯ ⁴²									
2428-1	k a ⁵⁵									
2450-1	ts ou ²¹									
2484-1	ɕ i ⁴⁴									
2495-1	k o ²¹									
2565-1	tɕ i ⁵⁵									
2611-1	j ou ⁴⁴									
