COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
4249	k ã ³⁵	q o ⁵⁵	q a ²⁴	q a ŋ ⁵⁵	q ã ⁵⁵	k ɑ̃ ⁵⁵	k a ŋ ⁵⁵	q a ŋ ¹	q ɔ ŋ ⁵⁵	k a ³⁵
4271	ʈʂ i ⁴²	ts ɛ ⁴²	ts ɿ ²¹	ɖʐ i ²¹	ʈʂ ə˞ ⁴²	ts a ⁴²	tsʰ i ⁴²	ɖʐ i ⁴	ʐ ə˞ ⁴²	ts i ⁴²
4304	ʈʂ õ ⁴²	tɕ i u ⁴²	tɕ j o ²¹	dz ao ²¹	tɕ j o ²¹	ts ʯ̃ ⁴²	tsʰ u ²¹	ɖʐ o ⁴	ʐ y ⁴²	ts ʯ ⁴²
4315	t õ ³³	t o ²²	d o ²²	d o ŋ ³³	ɖ ɯ ²²	t õ ³³	d o ŋ ³³	d j o ŋ ²	d o ŋ ³³	t o ³³
4336	ts ẽ ⁴²	t i ⁴²	ts ɿ ²¹	d ɛ ⁴²	d j e ⁴²	ts ɯ ⁴²	d e n ²¹	d j ɛ ⁵	d e ²¹	ts ɯ ⁴²
4400	sʰ ã ⁵⁵	s o ⁵⁵	s a ²⁴	s a ŋ ²⁴	s ã ⁵⁵	s ɑ̃ ⁵⁵	s a ŋ ⁵⁵	sʰ a ŋ ¹	s a ŋ ⁵⁵	s a ⁵⁵
4411	x e n ⁵⁵	x ẽ ⁵⁵	x ɛ ²⁴	h e n ⁵⁵	x ẽ ⁵⁵	x e n ⁵⁵	x e n ⁵⁵	x e n ¹	x e n ⁵⁵	x e ⁵⁵
4441	l ou ²¹	l o ²¹	l o ²¹	l ao ¹²	l o ²¹	l ou ²¹	l o ²¹	l ɔ ¹	l ɔ ³⁵	l o ²¹
4557	kʰ ou ⁵⁵	k ʯ ⁴²	qʰ o ²⁴	qʰ ao ⁵⁵	k ʯ ⁴²	kʰ ou ⁵⁵	kʰ ə ⁵⁵	qʰ ɔ ¹	qʰ ɔ ⁵⁵	kʰ o ⁵⁵
4591	j o ŋ ³³	ɲ i õ ²²	ɲ j o ²²	j o ŋ ²²	ɲ i õ ²²	j õ ³³	j o ŋ ³³	n j o ŋ ²	j ʯ ŋ ³³	j ou ⁴⁴
4602	ɣ ɯ ³¹	ɯ ²¹	ɯ ⁴³	ɣ ɯ ⁴²	ɣ ɯ ²¹	ɣ ə ³¹	ɣ ɯ ²¹	ɣ ɯ ³	ɣ ɯ ²¹	ɣ ɯ ³¹
4687	x e n ⁵⁵	x ẽ ⁵⁵	x ɛ ²⁴	h e n ⁵⁵	x ẽ ⁵⁵	x e n ⁵⁵	x e n ⁵⁵	x e n ¹	x e n ⁵⁵	x e ⁵⁵
4720	k e ⁵⁵	q a ⁴⁴	q æ ²⁴	q ɛ ⁵⁵	q a ⁵⁵	k i ⁵⁵	k ĩ ⁵⁵	q æ n ¹	q a n ⁵⁵	k ɛ ⁵⁵
4731	ʈʂ e ⁴²	t i ²¹	tʲ ɛ ²¹	d j ɛ ²¹	ʈ ə˞ ⁴²	ts e ⁴²	tsʰ ɛ ⁴²	d r ɛ ⁴	d e ⁴²	ts e ⁴²
4763	ʈʂ ɯ ²¹	dʑ i ⁴²	d j ɯ ⁴³	ɖʐ i ⁴²	ɖ ɯ ⁴²	ts ɯ ³¹	dz əɯ ²¹	d r ɯ ³	d j ɯ ²¹	ts ɯ ³¹
4918	tsʰ ɯ ³¹	tsʰ i ⁴²	tsʰ ɿ ⁴³	tsʰ e ⁴²	tsʰ ɯ ⁴²	tsʰ ɯ ³¹	tsʰ əɯ ²¹	tsʰ ɯ ³	tsʰ i ²¹	tsʰ ɯ ³¹
4976	tʲ ɯ ⁴⁴	t ɯ ⁴⁴	t ə ⁵⁵	t i ²⁴	t ɯ ⁵⁵	t ə ⁴⁴	t əɯ ⁴⁴	d j ɯ ²	t ɯ ⁴²	t ɯ ⁴⁴
4998	ɕ j ui ³³	ɕ ɥ i ²²	ɕ ɥ i ²²	ɕ y ²²	ɕ ɥ i ²²	ɕ ɥ i ³³	ɕ ɥ i ³³	ɕ w i ²	ɕ ɥ i ³³	ɕ ɥ i ³³
5037	t ə n ⁴²	t ɯ ⁴²	t ə˞ ⁴³	d i ²⁴	t ẽ ⁴²	t ə̃ ⁴²	t ɯ ⁴²	tʲ ɯ ⁵	t j ɯ ²⁴	t ɯ ⁴²
5048	ʈʂʰ ə̃˞ ⁵⁵	tɕ i ⁴⁴	t j ɯ ⁵⁵	ʈʂ i ²⁴	ʈ ɯ ⁵⁵	ts i ⁵⁵	tsʰ e n ⁵⁵	ʈ ɯ ⁴	tʲ ɯ ⁴²	tsʰ i ⁵⁵
5100	m au ²¹	m u ²¹	m o ²¹	m a ¹²	m o ²¹	m õ ²¹	m o ²¹	m ɔ ¹	m ɔ ³⁵	m o ²¹
5111	p ə˞ ⁴²	p a ⁴²	p a ²¹	b æ ²¹	p a ⁴²	p a ⁴²	pʰ ə˞ ⁴²	b æ ⁴	b a ⁴²	p ɛ ⁴²
5122	kʰ w a ⁴⁴	qʰ w a ⁴⁴	qʰ w a ⁵⁵	qʰ w a ²⁴	qʰ w a ⁵⁵	kʰ u ɑ ⁴⁴	kʰ w a ⁴⁴	qʰ w a ⁴	qʰ w o ⁴²	kʰ w a ⁴⁴
5163	tɕʰ i ³⁵	tɕ i ⁵⁵	tɕ i ²⁴	tɕ i ⁵⁵	tɕ i ⁵⁵	tɕ i ⁵⁵	tɕ i ⁵⁵	tɕ i ¹	tɕ i ⁵⁵	tɕ i ³⁵
5192	ʈʂ o ²¹	tɕ i u ²¹	tɕ j o ²¹	dz ao ¹²	tɕ i u ²¹	ts ʯ̃ ²¹	dz õ ²¹	ɖʐ u ŋ ¹	ʐ ʯ ³⁵	ts ʯ ²¹
5225	n õ ³¹	n o ⁴²	n o ⁴³	n a ⁴²	n o ⁴²	n ou ³¹	n e n ⁴²	n ɔ ³	n ɔ ²¹	n o ³¹
5236	tʰ e ³³	tʰ i ²²	tʰ i ²²	tʰ i ²²	tʰ j e ²²	tʰ i ³³	tʰ ɛ ³³	tʰ j e ²	tʰ i ³³	tʰ e ³³
64		pʰ ə ⁴²	pʰ æ ⁴³	pʰ a n ⁴²	pʰ ã ⁴²	pʰ a n ³¹	pʰ ə˞ ²¹	pʰ æ n ³	pʰ a ŋ ²¹	pʰ o ³¹
104		x w a ⁴⁴	χ w a ⁵⁵	x w a ²⁴	x w a ⁵⁵	x u ɑ ⁴⁴	x w a ⁴⁴	h w a ⁴	h w ɔ ⁴²	x w a ⁴⁴
247	p i ²¹	p ɯ ²¹	p ɯ ²¹	b u ¹²	p ɯ ²¹	p õ ²¹	p əɯ ²¹	b r i ¹		p i ²¹
289	ʂ i ⁴⁴	tsʰ i ⁴²	s ɿ ⁵⁵		ʂ ə˞ ⁵⁵	s a ⁴⁴	s i ⁴⁴	s r i ⁴	ʂ i ⁴	s i ⁵⁵
338	k w e ⁴²	q w ɛ ⁴²	q u ɛ ⁴³	q w ɛ ⁴²	q w e ⁴²	k w a ⁴⁴	k w ɛ ⁴⁴	q w ɛ ³	q w ɛ ²¹	
378	ʈʂ ɯ ²¹	dʑ i ⁴²	d j ɯ ⁴³	ɖʐ i ¹²	ɖ ɯ ⁴²	ts ɯ ³¹		d r ɯ ³	d j ɯ ²¹	ts ɯ ⁰
412		t a ⁵⁵	t æ ²⁴	t e n ⁵⁵	t ã ⁵⁵	t a n ⁵⁵	t ə˞ ⁵⁵	t æ ¹	t a ⁵⁵	t ɛ ³⁵
621	k w a ⁴⁴	q w a ⁴⁴	q w a ⁵⁵	q w a ²⁴	q w a ⁵⁵	k u ɑ ⁴⁴	k w a ⁴⁴	q w a ⁴		k w a ⁴⁴
632	n õ ³³	n õ ²²	n o ²²	n o ŋ ²²	n õ ²²	n õ ³³	n ə̃˞ ²²	n o ²	n ʯ ³³	
645	p a ⁴²	p a ⁴²	p a ²¹	b a ²¹	p a ⁴²	p ɑ ⁴²		b a ⁴	b o ⁴²	p a ⁴²
742	k ə˞ ⁴⁴	k a ⁴⁴	k æ ⁵⁵	k æ ²⁴	k a ⁵⁵	k a ⁴⁴	k ə˞ ⁴⁴	k æ ⁴		k ɛ ⁴⁴
752	ŋ ə ²¹	ŋ ɯ ²¹	ŋ ɯ ²¹	ŋ e ¹²		ŋ ə ²¹	ŋ əɯ ²¹	ŋ ɯ ¹	ŋ e ³⁵	ŋ ɯ ²¹
763	ʈʂ o ŋ ⁵⁵		tʰ j o ²⁴	tsʰ o ŋ ⁵⁵	ʈ õ ⁵⁵	tsʰ õ ⁵⁵	tsʰ o ŋ ⁵⁵	tʰ r o ŋ ¹	tʰ j o ŋ ⁵⁵	tsʰ o ⁵⁵
799		ts y ⁴²	ts u ²¹	dz u ²¹	ts ʯ ²¹	ts ou ⁴²	tsʰ o ⁴²	dz o ⁴	z u ⁴²	ts u ⁴²
809	pʰ ou ³¹	pʰ o ⁴²	pʰ o ⁴³	pʰ a ⁴²	pʰ o ⁴²	pʰ ou ³¹		pʰ ɔ ³	pʰ ɔ ²¹	pʰ o ⁴²
853	kʰ o ŋ ⁵⁵	kʰ o ⁵⁵	kʰ o ²⁴	kʰ o ŋ ⁵⁵	kʰ õ ⁵⁵	kʰ õ ⁵⁵		kʰ o ŋ ¹	kʰ o ŋ ⁵⁵	kʰ ou ⁵⁵
916	ʈʂ õ		t j o ²⁴	ts o ŋ ¹²	ʈ õ ⁵⁵	ts õ ⁵⁵	ts o ŋ ⁵⁵	ʈ o ŋ ¹	t j o ŋ ⁵⁵	ts ou ³⁵
960	m e ³⁵		m i ²⁴	m i ⁵⁵	m i ⁵⁵	m e ⁵⁵	m i ⁵⁵	m e ¹	m i ⁵⁵	m e ³⁵
1001	k ɯ ⁰	k ɯ ⁵⁵	k ɯ ²⁴		k ɯ ⁵⁵	k ɯ ⁵⁵	k ɯ ⁵⁵	k ɯ ¹	k ɯ ⁵⁵	k ɯ ³⁵
1074	x ou ³⁵	x o ⁵⁵	χ o ²⁴	h o ¹²		x ou ⁵⁵	x o ⁵⁵	h ɔ ¹	h ɔ ⁵⁵	x o ³⁵
1086		qʰ u ⁴⁴	qʰ u ⁵⁵	qʰ u ²²⁴	qʰ o ⁵⁵	kʰ ou ⁴⁴	kʰ o ⁴⁴	qʰ ɔ ⁴	qʰ o ⁴²	kʰ ɑ ⁴⁴
1097		kʰ u ⁴⁴	kʰ o ⁵⁵	kʰ ao ²⁴	k ɯ ⁵⁵	kʰ ʯ ⁴⁴	kʰ u ⁵⁵	kʰ o ⁴	kʰ ʯ ⁴²	kʰ ʯ ⁴⁴
1130	pʰ ou ³³		pʰ æ ⁴⁴	pʰ æ ²⁴	pʰ o ⁴²	pʰ a ⁴⁴	pʰ ə˞ ⁴⁴	pʰ æ ⁴	pʰ a ⁴²	pʰ ɛ ³³
1184	ʂʰ ə˞ ⁵⁵	s ɛ ⁵⁵	s ɿ ²⁴	ʂ i ⁵⁵		s a n ⁵⁵	s e n ⁵⁵	sʰ r e ŋ ¹	ʂ ə̃˞ ⁵⁵	s i ⁵⁵
1230	kʰ w a ŋ ³³	qʰ w a ²²	qʰ w a ²²	qʰ w a ŋ ²²		kʰ w ɑ̃ g ³³	kʰ w a ŋ ³³	qʰ w a ŋ ²	qʰ w a ŋ ³³	kʰ w a ³³
1263	m ə̃ ⁴²	m ɯ̃ ⁵⁵	m ɯ ⁴³		m ɯ ⁴²	m ə̃ ³¹	m əɯ ²¹	m ɯ ⁵	m o ²¹	m ɯ ⁵³
1423	kʰ õ ⁵⁵	qʰ õ ⁵⁵	qʰ o ²⁴	qʰ o ŋ ⁵⁵	qʰ õ ⁵⁵	kʰ ʯ̃ ⁵⁵	k o ŋ ⁵⁵	qʰ o ŋ ¹	qʰ o ŋ ⁵⁵	
1433	m ə̃ ²¹	m ɯ ²¹	m ɯ ²¹	m o ŋ ¹²	m ɯ ²¹	m õ ²¹		m ɯ ¹	m ɯ ³⁵	m o ²¹
1462	w ẽ ³³	ŋ w i ²²	ŋ w i ²²	w e n ²²		w ẽ ³³	ŋ w ɛ ³³	ŋ w e n ²	w e n ³³	w e ³³
1545		ts ɛ ²²	ts ɿ ²²	ʈʂ i ²²	ʈʂ ə˞ ²²	ts i ³³	ts i ⁴⁴	ts r i ²	ʈʂ ə˞ ³³	ts i ³³
1629	f ʯ ³⁵		f ɛ ²⁴	pf u ⁵⁵	f i ⁵⁵	f ʯ ⁵⁵	p i ⁵⁵	p j e ¹	f ə˞ ⁵⁵	f ʯ ³⁵
1682	ɕ o ŋ ³⁵		ɕ j o ²⁴	ɕ j o ŋ ⁵⁵	ɕ õ ⁵⁵	ɕ i õ ⁵⁵	ɕ o ŋ ⁵⁵	ɕ o ŋ ¹	ɕ o ŋ ⁵⁵	ɕ ou ³⁵
1706	tɕ j a ⁴²	dz j o ⁴²	dz j a ²¹	dʑ j a ²¹	tɕ a ⁴²	tɕ i ɑ ⁴²	tɕʰ a ⁴²	dʑ a ⁴		tɕ j a ⁴²
1925	ts ɯ ³³	dʑ i ²²	dʑ ɯ ²²	dz i ²²	dʑ i ²²	ts i ³³	dz əɯ ³³	dʑ ɯ ²		ts ɯ ³³
