COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	j a															
1841-1	m a															
2017-1	k j															
1004-1	j p															
614-1	b u k															
686-1	b ɨ ɨ															
88-1	k a ʔ															
872-1	n ɨ ŋ															
1891-1	j p															
68-1	s ɨ m															
631-1	b ə̆ n															
594-1	g p															
1759-1	k a n															
805-1	g ɨ ɲ															
756-1	k ɨ k															
1201-1	m b ʔ															
2042-1	ʔ p															
1968-1	j a ʔ															
2000-1	r g ŋ															
17-1	n a ʔ															
4-1	ə m															
788-1	ɨ ɛ															
1219-1	k ɨ m															
141-1	ʔ g ŋ															
541-1	b r j a ŋ															
1687-1	k u r															
123-1	g m															
1652-1	g ɨ n															
576-1	ŋ ɔ															
1738-1	ɨ a k															
442-1	k b m															
368-1	j j a ŋ															
1778-1	p a ʔ															
957-1	n a p															
1704-1	ʔ ɨ ʔ															
304-1	j a m															
1796-1	g a ŋ															
720-1	t a k															
287-1	k a p															
321-1	g ə̆ k															
206-1	ɨ u ʔ															
1950-1	ʔ n															
665-1	b n															
703-1	n u ʔ															
1290-1	m a															
1391-1	k a ʔ															
269-1	g a ʔ															
855-1	g a n															
2078-1	s a															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p ə̆ ɛ															
340-1	s a															
1111-1	s ɛ															
485-1	ŋ a															
1356-1	m u k															
1093-1	t u ŋ															
1063-1	j b m															
648-1	ə̆ ɲ															
223-1	g ɔ n															
1248-1	g															
1509-1	t j ɲ															
504-1	u k															
2130-1	s a															
1-1	ʔ o															
386-1	j g ʔ															
1411-1	ʔ															
1027-1	g a ʔ															
1459-1	g ɨ a															
1323-1	ə															
1538-1	r j a h															
975-1	ɲ a k															
940-1	ŋ a h															
1476-1	ʔ a k															
1923-1	n ɨ															
105-1	a ŋ															
1431-1	ʔ ɨ															
1814-1	m a ɲ															
1183-1	n ɔ n															
1430-1	b u															
1721-1	ʔ u ʔ															
1617-1	b g ʔ															
1564-1	b u ʔ															
2111-1	ɨ ɔ															
1563-1	s a															
1597-1	s a ŋ															
1859-2		ŋ a														
175-2		g a														
