COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n au ³¹								
838-1	n̥ ɔ ʔ ⁵⁵								
438-1	m ɔ ³⁵								
334-1	l ə k ⁵⁵								
360-1	l i ³⁵								
394-1	m i ³¹								
221-1	i u p ⁵⁵								
202-1	k au ³¹								
935-1	au ³¹								
93-1	ts a ŋ ³¹								
7-1	p a n ³¹								
664-1	oi ³¹								
246-1	x o ʔ ⁵⁵								
547-1	pʰ ʐ a k ⁵⁵								
555-1	ʑ u m ⁵⁵								
464-1	m au ³¹								
119-1	m w a ŋ ⁵⁵								
835-1	n̥ a p ⁵⁵								
79-1	t ɔ ³¹								
693-1	ŋ au ⁵⁵								
477-1	n ə k ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	x ʐ u ʔ ⁵⁵								
493-1	n ə k ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	tsʰ u t ⁵⁵								
452-1	m ʐ u ʔ ⁵⁵								
580-1	s a k ⁵⁵								
833-1	n̥ ɔ ⁵⁵								
390-1	m ɔ ŋ ³¹								
696-1	ŋ u ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	m ei n ⁵⁵								
61-1	t a n ⁵⁵								
536-1	s ɔ ʔ ⁵⁵								
731-1	ʂ ɿ ³¹								
779-1	tɕ i ⁵⁵								
589-1	tʰ w a ŋ ⁵⁵								
658-1	ɔ m ⁵⁵								
456-1	m ʐ a ŋ ⁵⁵								
183-1	k ʐ i ³¹								
785-1	kʰ ɔ ³¹								
714-1	pʰ o m ⁵⁵								
331-1	k ɔ ³¹								
930-1	ŋ a p ⁵⁵								
161-1	k w a ŋ ⁵⁵								
814-1	x ui ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	ʐ o ʔ ⁵⁵								
727-1	ʂ w a ŋ ⁵⁵								
260-1	x ʐ a p ⁵⁵								
144-1	k a m ⁵⁵								
53-1	p u m ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	p i k ⁵⁵								
29-1	p i k ⁵⁵								
316-1	tʰ ɔ ʔ ⁵⁵								
389-1	m ʐ a ŋ ⁵⁵								
118-1	m ɔ ³⁵								
312-1	k ɔ ³¹								
490-1	n i ³⁵								
436-1	m ɔ ³¹								
927-1	ŋ a n ⁵⁵								
383-1	m ɔ ʔ ³¹								
211-1	ʑ a m ⁵⁵								
873-1	s ə ŋ ⁵⁵								
877-1	s e ³⁵								
344-1	l a m ⁵⁵								
666-1	ŋ ɔ ³¹								
595-1	tʰ w a m ³¹								
660-1	o t ⁵⁵								
642-1	kʰ w a ŋ ³¹								
257-1	x ʐ a m ⁵⁵								
167-1	k ʐ ɔ ³¹								
880-1	tʰ a p ⁵⁵								
484-1	n w a ŋ ³¹								
574-1	s u m ³¹								
718-1	ʂ ə ŋ ⁵⁵								
811-1	x au ³¹								
458-1	tʰ au ³¹								
884-1	tʰ i ³⁵								
205-1	k au ʔ ⁵⁵								
499-1	n i ⁵⁵								
706-1	ɕ ʐ ⁵⁵								
920-1	o ŋ ³¹								
36-1	p ʐ a ŋ ⁵⁵								
665-2		ŋ o ⁵¹							
495-2		n au ⁵⁵							
838-2		n ŏ̱ ²¹							
438-2		m j o̱ ʔ ²¹							
334-2		l o ʔ ²¹							
360-2		l i ²¹							
394-2		m j i ²¹							
221-2		j o̱ p ⁵⁵							
202-2		k au ²¹							
935-2		a̱u u							
93-2		ts o̱ ²¹							
7-2		p a̱ n ⁵⁵							
664-2		v u ʔ ²¹							
246-2		k o̱ ʔ ⁵⁵							
547-2		s a k ⁵⁵							
555-2		j u m ⁵¹							
464-2		m au ⁵¹							
119-2		m j i ŋ ⁵⁵							
835-2		n a̱ p ⁵⁵							
79-2		t u t ²¹							
693-2		ŋ j ui ⁵¹							
477-2		n a p ²¹							
