COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ə m																		
107-1	g a m ə lː a																		
112-1	d a b ə r a																		
331-1	n ə g w s																		
377-1	b ə kʼ lː lː																		
381-1	ʔ a kʼ																		
417-1	r u zː																		
451-1	s ə b a t																		
454-1	ʔ a zː i r																		
484-1	s ə dʒ ə s t																		
535-1	ʔ a s ə r																		
543-1	s ə s t s																		
593-1	ʔ a m u s																		
640-1	m a ɲː																		
1-1	kʼ ə mː ə r ə																		
65-1	tʼ u b																		
212-1	ʔ i n																		
244-1	ʔ a r b ə t																		
248-1	m u lː a																		
293-1	f ə r ə zː																		
373-1	kʼ ə m a lː																		
408-1	b o r a																		
414-1	d ə b a kʼ s lː a																		
601-1	ʔ ə r o b																		
642-1	n ə f a s																		
60-1	n ə f ə s ə																		
115-1	lː ə m a																		
209-1	s ə m u t																		
242-1	ʔ a m ə s t																		
415-1	zː ɨ f a b																		
450-1	zː ə r																		
490-1	tʼ ə kʼ ə																		
638-1	s ə rː e																		
645-1	kʼ a lː																		
160-1	kʼ ə r ə kʼ																		
208-1	ʔ ə ɲː kʼ w kʼ a																		
214-1	ʔ a kʼ ə																		
378-1	ʔ a f g ə t																		
379-1	f ə tʼ ə kʼ																		
409-1	ʔ a t ə r ə																		
598-1	f w lː t																		
646-1	ʔ a f ə																		
210-1	zː ə f w ə r ə																		
215-1	ʔ a zː lː b ə t																		
285-1	m ə tʼ a																		
332-1	ʔ ə g ə r																		
380-1	ʔ a f w ɲː																		
412-1	s a ʔ a n																		
64-1	a kʼ o																		
67-1	w ə r																		
251-1	f ɨ kʼ ə																		
294-1	m b kʼ kʼ																		
597-1	ʔ ə m ə kʼ ə t																		
7-1	ʔ a lː g a																		
158-1	kʼ ə m i s																		
372-1	f ə n f ə r																		
374-1	b ə kʼ ə lː lː																		
375-1	s ə b																		
411-1	t ə r ʔ s s																		
541-1	kʼ ə tʃʼ ə ɲː																		
6-1	m ə kʼ f a m a																		
113-1	b u nː a																		
330-1	kʼ ə lː d																		
448-1	kʼ ə kʼ a m s ə b ə t																		
449-1	ʔ a f ə																		
491-1	d ə nː g ə t																		
596-1	ə g ə																		
4-1	dʒː i zː f ə																		
8-1	kʼ ə b ə ɲː o																		
106-1	m ə s a																		
290-1	ʔ a g ə zː ə																		
489-1	b o r tʃʼ zː m m a																		
602-1	m ɨ nː																		
2-1	s u lː u m																		
3-1	f i rː ə																		
213-1	ʔ a r a s																		
486-1	n ə kʼ ə kʼ ə																		
647-1	t ə t a zː																		
10-1	tʼ ə kʼ rː r																		
110-1	tʼ a f ə																		
152-1	ʔ a zː o																		
211-1	m ɨ s ə t																		
328-1	s ə lː ə b ə																		
333-1	m ɨ s ɨ r																		
