COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ au̯															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	ʔ j															
1841-1	m b															
2017-1	h															
1004-1	ou̯															
614-1	b ou̯ h															
686-1	b l ɨi̯															
88-1	k au̯ ʔ															
872-1	n ɨ ŋ															
1891-1	ʔ ou̯															
68-1	s ɨi̯ m															
631-1	b ə n															
594-1	g ou̯															
1759-1	h a n															
805-1	g ɨi̯ n															
756-1	h ɨ ʔ															
1201-1	m u ʔ															
2042-1	ʔ ou̯															
1968-1	ʔ a ʔ															
2000-1	a ou̯ ŋ															
17-1	v a ʔ															
4-1	ə m															
788-1	ʔ au̯															
1219-1	h ɨi̯ m															
141-1	ʔ ou̯ ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	ou̯ m															
1652-1	t ɨi̯ n															
576-1	ŋ ɔ															
1738-1	ʔ a ʔ															
442-1	h u m															
368-1	o j a ŋ															
1778-1	p a ʔ															
957-1	n a															
1704-1	ʔ ɨi̯ ʔ															
304-1	j a m															
1796-1	t ɔ ŋ															
720-1	t a h															
287-1	k a															
321-1	g ə h															
206-1	ʔ ou̯ ʔ															
1950-1	ʔ ɔ															
665-1	ou̯ n															
703-1	n ou̯ ʔ															
1290-1	m j															
1391-1	k ă ʔ															
269-1	g a ʔ															
855-1	t a n															
2078-1	s ɨi̯															
2213-1	m au̯															
1858-1	s a															
1151-1	g j a n															
737-1	p r t															
340-1	s o															
1111-1	s au̯															
485-1	ŋ ɲ															
1356-1	m u h															
1093-1	t ou̯ ŋ															
1063-1	ʔ ɔ m															
648-1	t ɔ n															
223-1	g ɔ n															
1248-1	t ɨ															
1509-1	t ɔ n															
504-1	t ou̯ h															
2130-1	s ɨi̯															
1-1	ʔ o															
386-1	ou̯ ʔ															
1411-1	ʔ u															
1027-1	g a ʔ															
1459-1	g l v															
1323-1	ə ə															
1859-2		ŋ ɔ														
175-2		g a														
241-2		ʔ o ʔ														
2163-2		kʰ o n														
2181-2		n a m														
2060-2		ʔ ə m														
410-2		d o														
1841-2		m l														
2017-2		h ɔːi̯														
1004-2		l aː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		g ɔ k														
872-2		n ɨ ŋ														
1891-2		d aː														
68-2		l i m														
631-2		b ə n														
594-2		k aː														
1759-2		h a n														
805-2		k a n														
756-2		h ɨ k														
1201-2		m o ʔ														
2042-2		ʔ aː														
1968-2		d a ʔ														
2000-2		aː ŋ														
17-2		v a ʔ														
4-2		əː m														
788-2		d a														
1219-2		h i m														
141-2		ʔ aː ŋ														
541-2		b l j a ŋ														
1687-2		h o n														
123-2		aː m														
1652-2		dʑ a n														
576-2		ŋ ɔ														
1738-2		d a k														
442-2		h o m														
368-2		tɕ j a ŋ														
1778-2		b a ʔ														
957-2		n a b														
1704-2		ʔ i ʔ														
304-2		j a m														
1796-2		dʑ a ŋ														
720-2		d a h														
287-2		g a b														
321-2		f o h														
206-2		d o k														
1950-2		ʔ a														
665-2		au̯ n														
703-2		n o k														
1290-2		m o														
1391-2		g a ʔ														
269-2		k a ʔ														
855-2		dʑ a n														
2078-2		l a														
2213-2		m ɔ														
1111-2		l ɔ														
485-2		ŋ aː														
1356-2		m o h														
1093-2		d o ŋ														
1063-2		d o m														
648-2		dʑ oː n														
223-2		k oː n														
1248-2		tɕ ɨ														
1509-2		d ɔːi̯ n														
504-2		dʑ o h														
2130-2		l i														
1-2		ʔ o														
386-2		a o k														
1411-2		ʔ o														
1027-2		k a ʔ														
2077-2		m a h														
1459-2		k l l														
1323-2		ə əː														
1859-3			ŋ a													
175-3			ʔ a													
241-3			ʔ ɔ ʔ													
2163-3			kʰ k r													
2181-3			n a m													
2060-3			ʔ ɔi̯ m													
410-3			d aː													
1841-3			m b													
2017-3			h i													
1004-3			k aː													
614-3			b o h													
686-3			b k i													
88-3			ŋ a ʔ													
872-3			n l ŋ													
1891-3			d aː													
68-3			s iː m													
631-3			b a r													
594-3			ʔ aː													
1759-3			h a ɲ													
