COGID	Albanian	English	French	German	Latin
560-1					
438-1					
1222-1					
353-1					
201-1					
20-1					
503-1					
957-1					
728-1					
244-1					
289-1					
911-1					
724-1					
145-1					
992-1					
1181-1					
741-1					
1150-1					
585-1					
814-1					
916-1					
1079-1					
630-1					
343-1					
560-2		s r a ə			
438-2		u ɑ i			
1222-2		v v i			
353-2		f r ɑ			
201-2		m ɑ i			
20-2		w ɑ ə			
503-2		f r i ə			
957-2		s i o			
728-2		ɑ ɑ n			
244-2		ɑ i m ə			
289-2		ɑ r a n d			
911-2		j i i ə			
724-2		θ ɛ i i			
145-2		s w i			
992-2		w i			
706-2		e au			
106-2		p ɑ d ə			
741-2		p t i			
421-2		b ɛ ə			
227-2		f r o			
920-2		h ɛ ə n			
1083-2		h ɛ o i			
1066-2		a i			
1125-2		s o i o			
1197-2		ə ɑ d ə			
473-2		ɛ ɑ v ə			
284-2		ɑ ɑ o			
661-2		g a n			
701-2		ɑ ɛ n			
315-2		ə ɛ			
1169-2		s a o			
1150-2		b k ə ə			
982-2		au ɛ i			
987-2		s ɑ i			
1055-2		s au t r ə ə			
1130-2		s e			
433-2		m ɑ o ə r			
625-2		m ɑ			
1186-2		s a n d			
416-2		g au i d			
1233-2		ɛ ɑ n d			
884-2		j ɑ o			
1016-2		ɑ v ɑ			
952-2		o s			
78-2		b l a s			
514-2		j g r i			
116-2		a s			
188-2		f h ɪ			
745-2		f ɪ v ə r			
1100-2		f ɑ r ə t			
47-2		h p ɑ d			
111-2		s i			
1061-2		v ɑ t			
24-2		n ɪ d			
232-2		m a n d			
671-2		g au r ə t			
560-3			ɛ u n e		
438-3			o u i		
1222-3			a v u z		
353-3			g g u		
201-3			g u		
20-3			k u u		
503-3			p l u n e		
957-3			s u		
728-3			o u n		
244-3			o u m a		
289-3			u k u t		
911-3			u u n i		
724-3			d u z u		
145-3			ʒ n u		
992-3			k u		
1181-3			s ʃ a s		
706-3			o k ø u		
106-3			k u n o		
741-3			g k u		
421-3			f u u ɛ		
227-3			ʒ t i		
920-3			k u u n e		
1083-3			k u u		
1066-3			o n u		
1125-3			ʒ ə n u		
1197-3			m u n o		
473-3			k u v ɛ z		
284-3			o u n o		
661-3			ʒ u n		
701-3			u u o		
315-3			u u		
1169-3			k u u		
1150-3			g g u r ɑ̃		
982-3			g k i		
987-3			ʒ u u		
1055-3			k p t o u z		
1130-3			k u z a		
433-3			k u u n e		
585-3			n u		
625-3			l u a		
1186-3			ʒ u n e		
814-3			v a r		
416-3			ʒ n u z		
1233-3			o u n t		
884-3			u u u		
916-3			a		
1016-3			o u u m i		
952-3			i		
514-3			g u r t t		
1079-3			s ɛ		
1100-3			g r u t t		
47-3			r ɔ̃ ø i		
111-3			u u z		
1061-3			m ɔ t ɛ e		
1155-3			k o r		
343-3			v ɛ a t r		
671-3			g r u t t		
560-4				eː g au	
438-4				eː au	
1222-4				eː aː	
353-4				f g eː	
201-4				m y	
20-4				f y k	
503-4				f g aː l	
957-4				m i n	
728-4				eː y	
244-4				eː aː ə	
289-4				eː g aː s	
911-4				eː eː k	
724-4				a g eː	
145-4				g t aː	
992-4				eː	
1181-4				k k au	
706-4				y g au	
106-4				f eː	
421-4				f eː au	
227-4				f g aː	
920-4				h eː eː	
1083-4				h y	
1066-4				au g aː	
1125-4				g au n eː	
1197-4				eː eː	
473-4				eː aː	
284-4				eː au	
661-4				v eː	
701-4				eː eː	
315-4				eː eː k ə n	
1169-4				g au l	
1150-4				ʃ k e r ə ts	
982-4				g l aː	
987-4				ʃ eː aː	
1055-4				ʃ g n g aː	
1130-4				g aː g	
433-4				g eː d	
585-4				t au	
625-4				g y n	
1186-4				f eː n	
814-4				au eː ts	
416-4				g a aː	
1233-4				eː y n	
884-4				eː y	
78-4				b eː au s	
514-4				b eː r k n g	
116-4				eː s	
188-4				f n eː n ə	
745-4				f y l ə	
1100-4				g r g e ə t	
630-4				n ʃ t	
1155-4				f au	
24-4				eː aː n	
232-4				eː aː	
671-4				g r g e ə t	
560-5					oː n o
438-5					aː aː oː
1222-5					k k oː
353-5					s aː i o
201-5					s e n u e
20-5					k aː e i
503-5					p l aː n a
957-5					oː
728-5					l a n d o
244-5					n oː m aː n
289-5					n a aː n o
911-5					u i e
724-5					r aː
145-5					d k aː
992-5					n oː
1181-5					l ae n i o
706-5					aː i i n
106-5					s e n e
741-5					p a aː m o
421-5					f e aː
227-5					s aː
920-5					k u r i i n
1083-5					k o aː e eː
1066-5					u e
1125-5					s e n aː
1197-5					m e n u
473-5					s a b
284-5					aː aː n u
661-5					t aː n u
701-5					aː aː d i
315-5					s a d i i d o
1169-5					s aː l e
982-5					s e i
987-5					s n aː
1055-5					k t aː l i n
1130-5					s u
433-5					s e l aː
585-5					d oː
625-5					w aː n d e
1186-5					s e n e
814-5					w u r i aː
416-5					k u a
1233-5					w e n i i
884-5					w e l e eː
916-5					oː a
1016-5					a a e
952-5					a kʷ
78-5					k u u i
1079-5					n a aː
116-5					u n i
188-5					s t e t u n n
745-5					k e t u n
47-5					k k a e
111-5					a a d u
1061-5					k a n t e
630-5					n n p u o
1155-5					k u l i eː
24-5					s u u
232-5					s u n i
343-5					ae i e
