COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g a l ə l a																		
112-1	d ə b ə n a																		
331-1	n ɨ g u s																		
377-1	b ɨ kʼ l ə l a																		
381-1	ʔ a t ɨ d																		
417-1	rː ɨ j																		
451-1	s ə t ɨ b ə t																		
454-1	ʔ a tʃʼ ɨ rː ə																		
484-1	s ɨ dː ɨ s t																		
535-1	ʔ a s ɨ r																		
543-1	s ə lː t																		
593-1	ʔ a b u s																		
640-1	m ə n																		
1-1	d ə b ə l ə																		
65-1	tʼ ɨ w																		
212-1	ʔ ə n																		
244-1	ʔ a r b ə t																		
248-1	m ɨ l a																		
293-1	f ə r ə j ə																		
373-1	kʼ ɨ m ə l a																		
408-1	b o r ə a																		
414-1	tʼ ɨ b a kʼ l a																		
601-1	ʔ a rː b ə																		
642-1	ʔ ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	l a rː a m																		
209-1	s ɨ mː ə t																		
242-1	ʔ a mː ɨ s t																		
415-1	j ɨ n a b																		
450-1	j ə r ə																		
490-1	tʼ o b ə m ə																		
638-1	s ɨ rː ə																		
645-1	kʼ a l t																		
160-1	tʼ ə r ə kʼ																		
208-1	ʔ ɨ n kʼ o l a																		
214-1	ʔ a b t																		
378-1	ʔ a n g ə t																		
379-1	j ə tʼ ə ɲː ə																		
409-1	ʔ ə t ə r a																		
598-1	k ɨ l t																		
646-1	ʔ a k t																		
210-1	j ə k o rː ə																		
215-1	tʼ ɨ tʼ ə b ə t																		
285-1	ɨ tʼ a d																		
332-1	ʔ ɨ n g a rː																		
380-1	ʔ a h u ɲː a																		
412-1	s ə h a																		
64-1	tʼ a b o																		
67-1	w ɨ rː																		
251-1	f ɨ kʼ ə l ə																		
294-1	j ɨ kʼ t ə																		
597-1	ʔ ɨ n ə t ə																		
7-1	ʔ a l g a																		
158-1	kʼ ə m ɨ s																		
372-1	k ə n f ə r																		
374-1	b ə kʼː o l o																		
375-1	s ə b																		
411-1	t ɨ rː a s																		
541-1	kʼ ɨ tʃʼ ɨ n																		
6-1	m ə l k a																		
113-1	b ɨ n ə																		
330-1	kʼ ə l d																		
448-1	kʼ ə tʼ a s ə b t ə t																		
449-1	ʔ a s ə m																		
491-1	d ɨ n g ə t																		
596-1	n ə g ə																		
4-1	g ɨ s ə																		
8-1	kʼ ə b ə t o																		
106-1	m ə tʼ a																		
290-1	ʔ a g ə j ə																		
489-1	b o r tʃʼ ɨ mː a																		
602-1	m ɨ n																		
2-1	ʔ ɨ l u m																		
3-1	ʔ ɨ n ə																		
213-1	ʔ a r ə s ə																		
486-1	n ə tʼ ə kʼ ə																		
647-1	t ɨ ʔ a t ə																		
10-1	tʼ ɨ kʼ u r																		
110-1	tʼ a t ə t																		
152-1	ʔ a dʒː o																		
211-1	m ɨ s ə t																		
328-1	s ə dː ə b ə																		
333-1	m ɨ s ɨ rː ə																		
334-1	ʔ a n b ə s a																		
410-1	kʼ a l ɨ j a																		
540-1	l ə b a																		
109-1	tʃʼ ɨ n tʃʼ ə																		
153-1	w ə ʃː ə ʃː ə																		
250-1	w ə t																		
289-1	l ɨ b																		
326-1	m ə t																		
594-1	g ɨ j ə																		
154-1	ʔ ə f ə s ə																		
245-1	kʼ w ə b ə																		
247-1	ʔ ɨ n kʼ ɨ r a t i t																		
286-1	tʃʼ ɨ g ə r a t																		
643-1	g o j ə																		
62-1	f ə l a m																		
288-1	ʔ ɨ h ə s																		
416-1	kʼ a j ɨ t																		
5-1	g u b s																		
61-2		d ə m a																	
63-2		k a tʼ ɨ m																	
107-2		g a m e l a																	
112-2		d ə m ə n a																	
331-2		n ɨ g ɨ s																	
377-2		b ɨ kʼ l o																	
381-2		ʔ a d																	
417-2		r ɨ z																	
451-2		s e b ə t																	
454-2		ʔ a tʃʼ i r																	
484-2		s ɨ dː ɨ s e																	
