COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g a lː ə l																		
112-1	d a bː ə r a																		
331-1	n ɨ g u s																		
377-1	b ɨ kʼː u l																		
381-1	ʔ a t ə tː																		
417-1	r u z																		
451-1	s ə w a t																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ dː ɨ s																		
535-1	ʔ a sː ɨ r																		
543-1	s ə w ə s																		
593-1	ʔ a m u s																		
640-1	m u nː																		
1-1	d ə bː ə l ə																		
65-1	tʼ u b																		
212-1	ʔ ɨ n																		
244-1	ʔ a r b ə t																		
248-1	m u lː a r																		
293-1	f ə r ə z																		
373-1	kʼ ɨ m a l																		
408-1	b ə r ʔ a r																		
414-1	d u bː a kʼ u lː a																		
601-1	ʔ a r u b																		
642-1	n ɨ f a s																		
60-1	n ə fː ə s ə																		
115-1	l a r a m																		
209-1	s ə mː u n																		
242-1	ʔ a mː ɨ s																		
415-1	z ɨ n a b																		
450-1	z ə r																		
490-1	tʼ ə bː u																		
61-2		d ə m																	
63-2		ʔ a tʼ ɨ m																	
107-2		g e m e																	
112-2		d a m ə ɲ																	
331-2		n ɨ g a s																	
377-2		b ɨ jː ə l																	
381-2		ʔ a t																	
417-2		r u z																	
451-2		s ə w a t																	
454-2		ʔ a tʃ ɨ r																	
484-2		s ɨ dː ɨ s																	
535-2		ʔ a s ɨ r																	
543-2		s ə d o s																	
593-2		h a m u s																	
640-2		m e n																	
1-2		d ə m b ə r a																	
65-2		tʼ e b																	
163-2		s ə tʃ e																	
212-2		ʔ ɨ n																	
244-2		h a r a t																	
248-2		m u jː a r																	
293-2		f ə r ə z																	
373-2		kʼ ɨ m a l																	
408-2		b ɨ r a r																	
414-2		d u b a kʼ u																	
642-2		n ɨ f a s																	
60-2		n ə f ə s ə																	
115-2		l a r m a																	
209-2		s e m u n																	
242-2		h a m ɨ s																	
415-2		z ɨ l a b																	
450-2		z ə r e																	
490-2		tʼ o m																	
61-3			d ə m																
63-3			ʔ a tʼ ɨ m																
107-3			g a m ə r a																
112-3			d a b ə r a																
331-3			n ə g u s																
377-3			b ɨ kʼ u r																
381-3			ʔ a t ə																
417-3			r w z																
451-3			s ə b a t																
454-3			ʔ a tʃʼ ɨ r																
484-3			s ɨ t ɨ s t																
535-3			ʔ a sː ɨ r																
543-3			s ə ʃ t																
593-3			x a m w ɨ s																
640-3			m w a n																
1-3			d ə p ə r ə m																
65-3			tʼ ɨ b																
163-3			s ə tʃʼ ə m																
212-3			ʔ ə n																
244-3			ʔ a r b ə t																
248-3			m w ə r																
293-3			f ə r ə z																
373-3			kʼ ɨ m a r																
408-3			b w ɨ r ə																
414-3			d ɨ b a kʼ u lː a																
601-3			ʔ ə r b o																
642-3			n ɨ f a s																
60-3			n ə f ə s ə m																
115-3			r a n																
209-3			s ɨ mː ɨ t																
242-3			ʔ a mː ɨ s																
415-3			z ɨ n a b																
450-3			z ə r																
490-3			tʼ ə p w ə m																
61-4				d ə m															
63-4				ʔ a tʼ ɨ m															
107-4				g e m e r															
112-4				d a mː ə r a															
331-4				n ɨ g u s															
377-4				b u ʔ u r															
381-4				ʔ a t ə															
417-4				r u z															
451-4				s ə b a t															
454-4				ʔ a tʃʼ ɨ r															
484-4				s ɨ tː ɨ s															
535-4				ʔ a sː ɨ r															
543-4				s ə s t ə															
593-4				ʔ a m u s															
640-4				m o n															
1-4				d ə b ə r ə															
65-4				tʼ u b															
163-4				s a tʃʼ e															
408-4				b u r a															
414-4				d u b a ʔ u l a															
601-4				ʔ a r ə w															
642-4				n ə f a s															
60-4				n ə f ə s ə															
115-4				l a m a															
450-4				z ə r ʔ															
490-4				tʼ a b a															
61-5					d ə m														
63-5					ʔ a tʼ ɨ m														
107-5					g e m ə r a														
112-5					d a mː ə r a														
331-5					n ɨ g u s														
377-5					b ɨ kʼ w ə r ə														
