COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r									
18-1	θ a r									
35-1	h θ ɨ ts									
36-1	h u θ u ts									
48-1	n a g a s a r i									
60-1	θ u r i									
63-1	s i r a r									
64-1	k i									
67-1	h tɕ a									
68-1	n ɨ									
71-1	h x i									
76-1	h u n									
83-1	ts ɨ n									
87-1	h a n i									
95-1	m i m									
98-1	h a n a									
99-1	k u x									
-102-1	s i b r a									
103-1	ts ɨ m									
110-1	θ i									
116-1	h b i n i									
120-1	n u n u r i									
132-1	k ɨ r r i									
139-1	h g u r u ts u									
140-1	ʔ i s u r u									
156-1	θ a r u n									
168-1	ts i i									
169-1	h u s i									
170-1	m ɨ x									
173-1	ʔ i s									
180-1	k u m u									
185-1	h a i									
186-1	m r u r									
187-1	m ɨ r									
190-1	ʔ a a s a r									
193-1	k ɨ r i									
194-1	s i r u s a r i									
195-1	k u r u s a r i									
216-1	m a r s a r									
221-1	n o i									
239-1	ʔ ɨ ts									
252-1	m ɨ ts									
253-1	h ts									
254-1	ʔ i ts ɨ ts									
266-1	k a r i									
267-1	n a g a r ɨ r u r i									
268-1	ʔ u m									
272-1	ʔ a m ɨ n u									
276-1	ʔ a r a r r i									
281-1	m u s i i									
304-1	ts ɨ b b r i									
305-1	h r i									
308-1	x a n a									
309-1	x u s a									
310-1	θ u									
311-1	n a a									
342-1	h u x									
346-1	x u r a s a r i									
347-1	k i r r i									
348-1	h i r u s a r i									
351-1	θ u s a r i									
361-1	ʔ b b u s a r									
379-1	k u a r a									
394-1	h i s a r u									
395-1	n ɨ ɴ ɨ r									
400-1	h i r u b u									
412-1	s a g ɨ r u r i									
413-1	ts i ɨ i r r i									
414-1	h u r u r i									
422-1	h u tɕ ɨ r u r									
423-1	k a b g a r r									
430-1	h a r r i									
435-1	h u r u r i									
446-1	s i r a b a									
447-1	ʔ r ɨ b u a									
458-1	θ u s									
56-1	h o tɕ u									
62-1	ʔ i b									
70-1	h a ɴ i									
96-1	m i									
101-1	h a									
114-1	k u b ɨ									
119-1	k i m									
134-1	s i r u r									
138-1	s i n u r									
146-1	ʔ a r r									
161-1	h u b i									
182-1	h i b u s									
188-1	h a x									
196-1	h u r u									
262-1	h i r i u									
300-1	h u i s u									
313-1	h u θ									
350-1	s i b a s a r i									
352-1	x i x a s a r i									
396-1	h u r u s a r									
401-1	ʔ u ts u r i									
420-1	ʔ u θ i r u r									
424-1	ʔ u θ a r r i									
