COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r ɨ									
18-1	θ r ɨ									
35-1	j θ e ts i									
36-1	j θ u ts i									
48-1	n a g a s a r i									
60-1	θ u r i									
63-1	s i r a r i									
64-1	k a									
67-1	h a									
68-1	n ɨ									
71-1	i i tɕ a									
76-1	h u n ɨ									
83-1	ts e n a									
87-1	h a n e i ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	k u tɕ i									
-102-1	r i g b i i a									
103-1	ts e m ɨ									
110-1	θ a									
116-1	m b u n a									
120-1	n u ɴ u r i									
132-1	x i k o r i									
139-1	i k u r o ts u ɴ									
140-1	ʔ i e sː u r i									
156-1	θ a tɕ u r									
168-1	ts ɨ k i a									
169-1	h u sː i									
170-1	m i tɕ									
173-1	ʔ i s									
180-1	k u m o									
185-1	h i									
186-1	m i u r									
187-1	m i tɕ									
190-1	ʔ a k a s a r i									
193-1	k e r o ɨ									
194-1	s i r u s a r i									
195-1	k u r o s a r i									
216-1	m a r u r a i r									
221-1	n									
239-1	ʔ i ts									
252-1	m i ts i									
253-1	a ts u									
254-1	ʔ i ts i ts i									
266-1	k a r a									
267-1	n a g a r e r u r i									
268-1	u m i									
272-1	ʔ a m e ɴ u									
276-1	ʔ a r a u r i									
281-1	m u r i i									
304-1	ts ɨ b b k a									
305-1	b a tɕ a									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	ɴ a i a a									
342-1	u k									
346-1	k u r a s a r i									
347-1	x i r o r i									
348-1	h i r u s a r i									
351-1	θ o s a r i									
361-1	ʔ u b b u s a r i									
379-1	k u r a tɕ i									
394-1	h i r a r i									
395-1	n i r i i i									
400-1	h i θ u b u h									
412-1	s a x e r o r i									
413-1	ts i tɕ i x u r e r u r i									
414-1	h u r u r i									
422-1	h u x i e r u r									
423-1	k a b g u r									
430-1	h a k u r i									
435-1	h u k u r i									
446-1	s i tɕ a b i a a									
447-1	ʔ i ɨ b i a a									
458-1	θ u s i									
56-1	j tɕ u									
62-1	ʔ i ɴ									
70-1	j a g a									
96-1	m a									
101-1	h a									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o tɕ u								
36-2		h u t u tɕ u								
48-2		n a g u kʲ a								
60-2		t o r kʲ a								
63-2		s i r a m i								
64-2		k i								
67-2		h a w u								
68-2		n e t e								
71-2		kʲ kʲ tɕ a								
76-2		h o n e								
83-2		tɕ u n o								
87-2		h a n kʲ e								
95-2		m i m i								
98-2		h a n u								
99-2		k u tɕ i								
-102-2		s i tɕ u								
103-2		tɕ u m e								
110-2		t e								
116-2		m kʲ u n e								
120-2		n o m u								
132-2		k i k u								
139-2		kʲ k o r o s u								
140-2		kʲ o j o g u								
156-2		t a tɕ o r u								
168-2		tɕ e k kʲ i								
169-2		h o s i								
170-2		m i t u								
173-2		i s i								
180-2		k u m o								
185-2		h kʲ a i								
186-2		m o e r u								
187-2		m i tɕ a								
190-2		a k a u kʲ i								
193-2		k i r o a								
194-2		s i r o kʲ a								
195-2		k u r o kʲ a								
216-2		m a r u kʲ a kʲ								
221-2		n a e a e								
239-2		i tɕ u								
252-2		m i t u								
253-2		j o u								
254-2		i tɕ u tɕ u								
266-2		k u e								
267-2		n a g u r e r u								
268-2		u m i								
272-2		a m e t a								
276-2		a r u u								
281-2		m u s kʲ a								
304-2		tɕ u b u								
305-2		e tɕ a tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n a a a								
342-2		j u k i								
346-2		k u r a i								
347-2		k i r u								
348-2		h i r o kʲ a								
351-2		t oː kʲ u								
361-2		kʲ kʲ o tɕ o kʲ i								
379-2		k u s a a								
394-2		h i d a r i								
395-2		m i g a								
400-2		h i t a r u								
412-2		s a k e r u								
413-2		kʲ tɕ u k a s a s u								
414-2		h o r u								
422-2		h u k u r e r u								
423-2		k u ɴ g u e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a kʲ kʲ a a								
447-2		kʲ u kʲ kʲ a e								
458-2		t o s i								
56-2		h i t oː								
65-2		k u e a								
70-2		t a n e								
75-2		k a e a								
14-3			k o e							
18-3			a e							
35-3			h t o u							
36-3			h u t i u							
48-3			n a e							
60-3			t o i							
63-3			s i a m e							
64-3			k i							
67-3			a							
68-3			n e							
71-3			i							
76-3			h o n e							
83-3			u n o							
87-3			h a n e							
95-3			m i m i							
98-3			h a n a							
99-3			k u i							
-102-3			e a							
103-3			u m e							
110-3			t e							
116-3			n e							
120-3			n o m u							
132-3			k i k u							
139-3			k o o s u							
140-3			o o u							
156-3			t a o u							
168-3			u k i							
169-3			h o s i							
170-3			m e u							
173-3			e s i							
180-3			k u m o							
185-3			h a							
186-3			m o e u							
187-3			m e i							
190-3			a e							
193-3			k i o							
194-3			s i e							
195-3			k u e							
216-3			m a i							
221-3			n a							
239-3			e u							
252-3			m i u							
253-3			o u							
254-3			e u u							
266-3			k a e							
267-3			n a a e u							
268-3			u m i							
272-3			a m e							
276-3			a a u							
281-3			m u s i							
304-3			u a							
305-3			i							
308-3			h a n a							
309-3			k u s a							
310-3			t o							
311-3			n i							
342-3			e k i							
346-3			k u a							
347-3			k i u							
348-3			h i e							
351-3			t o e							
361-3			o e							
379-3			k u s a a							
394-3			h i a i							
395-3			m i i							
400-3			h a a u							
412-3			s a k e u							
413-3			a s u							
414-3			h o u							
422-3			h u k u e u							
