COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ɯ ⁴⁴									
53-1	ts i ²¹									
93-1	k ɯ ³¹									
216-1	s w ɯ ³¹									
236-1	ts e ¹³									
267-1	tɕ j e n ³¹									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	ʂ u ³³									
400-1	s u ³¹									
452-1	k e ⁴⁴									
463-1	k ɯ ⁴⁴									
512-1	k u ³¹									
534-1	ts ɯ ⁴⁴									
556-1	k u ³³									
568-1	m ɯ ⁴⁴									
588-1	s w ɯ ³¹									
599-1	p ɯ ⁵⁵									
656-1	k w u ³¹									
678-1	k u ²¹									
689-1	m ɯ ⁴⁴									
700-1	m e ŋ ³¹									
775-1	tɕ j e ³¹									
786-1	k e ⁵⁵									
820-1	ts o ŋ ³¹									
839-1	k ɯ ³¹									
863-1	k w u ³³									
896-1	k e ŋ ³¹									
929-1	ʂ ɯ ³¹									
1015-1	ʂ u ³¹									
1035-1	ts u ³³									
1107-1	ʂ ɯ ⁴⁴									
1173-1	ʂ i ³³									
1195-1	ʂ i ³³									
1241-1	m e ³¹									
1252-1	j o ŋ ²¹									
1294-1	k e ŋ ³¹									
1326-1	ts j u ³³									
1348-1	tɕ i ³¹									
1401-1	s e ŋ ³¹									
1451-1	ʂ i ³³									
1473-1	tɕ j e n ³³									
1507-1	ts i ³¹									
1532-1	k ɯ ³¹									
1543-1	ʂ i ³³									
1575-1	ʂ j e n ³⁵									
1618-1	p ɯ ³¹									
1640-1	k ɯ ⁴⁴									
1671-1	ʂ i ³¹									
1731-1	ʂ j o ŋ ³⁵									
1762-1	s w o ŋ ³¹									
1773-1	t ɯ ⁴⁴									
1794-1	k e ŋ ³¹									
1805-1	s i ³¹									
1816-1	s i ŋ ³¹									
1862-1	ts i ³¹									
1885-1	k e ⁴⁴									
1914-1	ʂ i ³³									
1936-1	p ɯ ³³									
1969-1	ʂ j e n ³⁵									
2018-1	ts o ŋ ²¹									
2029-1	k e ŋ ³¹									
2051-1	ts o ŋ ³¹									
2074-1	k e ŋ ⁴⁴									
2085-1	m i ³³									
2130-1	p e ⁴⁴									
2245-1	ʂ u ³¹									
2269-1	m e ³³									
2280-1	s ɯ ³¹									
2291-1	ʂ e n ³¹									
2316-1	tɕ i ³¹									
2364-1	ts i ³³									
2395-1	tɕ j e ³¹									
2406-1	tɕʰ j e ³⁵									
2417-1	k u ³¹									
2428-1	k e ŋ ³¹									
2450-1	k u ²¹									
2484-1	ʂ i ³¹									
2495-1	k u ³¹									
2565-1	tɕ i ³¹									
2611-1	j ɯ ⁴⁴									
2632-1	s j u ⁴⁴									
2644-1	x w u ⁴⁴									
2674-1	m o ŋ ³³									
2698-1	ʂ u ³³									
2709-1	j i ²¹									
2720-1	tɕ u ŋ ³¹									
2772-1	k ɯ ⁴⁴									
2791-1	tɕ j e ³⁵									
2837-1	tɕ i n ³⁵									
2859-1	ʂ j e n ³⁵									
2889-1	tɕ i ³³									
2900-1	k u ³³									
2928-1	ts o ŋ ¹³									
2941-1	k ɯ ⁵⁵									
2998-1	tɕ i ³³									
3031-1	tʰ u ³³									
3052-1	k ɯ ³¹									
3064-1	k u ³¹									
