COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a a a									
1285-1	n w a									
1303-1	g ɔ m a									
2197-1	s a l a									
2828-1	i i a a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a a ŋ a a									
3207-1	β ʊ l a									
3519-1	t ʊ m a									
3686-1	i m m m a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	d ʊ n i									
630-1	β ɛ ɛ ɛ ɛ									
814-1	g ɔ m m ɛ ɛ									
1216-1	g a β a									
1228-1	b w a									
1418-1	z i m a									
1475-1	g w a									
2026-1	t w ɛ									
2775-1	β ʊ m m a									
3397-1	β ɔ l a									
3826-1	ɔ ɔ k a									
4003-1	i β a a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s l g ʊ									
116-1	f i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
1159-1	n a									
1350-1	l j a									
1374-1	n a a n a									
1396-1	s ɔ β ʊ									
1430-1	i s ɔ									
1666-1	t a n ɔ									
1767-1	k ɔ k ɔ									
1906-1	i g g i l a									
2177-1	g g a i									
2286-1	l a									
2317-1	β ʊ β a									
2419-1	s ɛ k a									
2750-1	i i i i									
3018-1	z i l a									
3275-1	k a a a a									
3441-1	s a ŋ ŋ a a									
3464-1	β ɔ n a									
3639-1	d ɛ t ɛ m a a									
3885-1	s u m ɔ									
3981-1	i m a a									
4192-1	β i m m a									
4260-1	s w a									
4350-1	l ɛ ɛ l ɔ									
43-1	s i m ʊ									
93-1	k ɔ n ɔ									
200-1	β i									
374-1	g l a a a									
459-1	l ʊ m a									
508-1	p ɔ f u									
528-1	β i l i									
575-1	t a a									
871-1	t a m a									
1137-1	s i k ʊ									
1339-1	d w i i									
1585-1	a l a a									
1712-1	f ʊ l ɔ									
1872-1	p a									
2088-1	β i s a									
2166-1	u m m m b									
2334-1	β i g ɔ									
2393-1	m a n a									
2537-1	l ɔ m ɔ									
2665-1	i i ŋ i i									
2738-1	β ɛ ɛ l ɛ									
2872-1	k ɔ s i									
2893-1	ʃ i k ʊ									
2997-1	g a a z a									
3075-1	g ʊ l ʊ β ɛ									
3675-1	l w ɛ ɛ ɛ ɛ									
4028-1	β w ɛ									
4137-1	m i l a									
4238-1	i s ɔ z i									
4316-1	t a t ʊ									
4429-1	a s s a									
4440-1	β i l i									
4485-1	s u									
4574-1	β a a l a a									
4688-1	dʒ ɛ ɛ									
143-1	β ʊ									
240-1	ɔ ɔ g a									
388-1	p m a ʊ									
401-1	d a									
2689-2		ɲ a m a								
893-2		a n a								
1303-2		ŋ o m a								
2197-2		s a l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a a k a								
3207-2		w u l a								
3519-2		t u m a								
3686-2		i m m a a								
4249-2		k u m i								
4451-2		v i s i								
448-2		n o n i								
630-2		v e e l e								
814-2		k o m m e								
1216-2		k a v a								
1228-2		b a a								
1418-2		s i m a								
1475-2		k a a								
2026-2		t w e								
3826-2		s o k a								
4003-2		i v a a								
4373-2		l i m i								
4384-2		i n o								
84-2		u l u								
116-2		w i k a								
419-2		l o g a								
587-2		o o ŋ o o								
660-2		l e l a								
848-2		k a l a								
1122-2		v i n a								
1159-2		ɲ a								
1350-2		l p a								
1374-2		n a a n e								
1906-2		i ŋ k i l a								
2419-2		s e k a								
2750-2		e e i								
3441-2		s e e ŋ a								
3464-2		v o n a								
3639-2		t e t e m a								
3981-2		i m a a								
4192-2		v i m m a								
4350-2		l e e l o								
278-2		v a								
3971-2		k a m a								
55-2		a a m a								
43-2		s i m u								
93-2		k o n o								
459-2		l u m a								
1137-2		s i k u								
1585-2		a l l a								
1872-2		p a								
2166-2		u u m b a								
2872-2		k o s i								
2997-2		g a s s a								
3075-2		k u l u v e								
3675-2		l w e l l e								
4137-2		m i l a								
4238-2		s o s i i								
4316-2		t a t u								
4574-2		w a a a l a								
3067-2		n t u								
3531-2		a a i k a								
1033-2		k o o l a								
3185-2		v i k k								
794-2		v e k a								
143-2		v u u								
240-2		o g a								
388-2		u u a a								
2689-3			n a m a							
893-3			a n a							
1285-3			n w a							
1303-3			k o m a							
2197-3			s a l a							
2828-3			s i n a							
3572-3			s o n i							
1095-3			l i m a							
1755-3			n e							
1789-3			x a a a a a a							
3207-3			f u l a							
3519-3			r u m a							
3686-3			i m m a							
4249-3			x u m i							
4451-3			β i s i							
448-3			l o u i							
630-3			β e e l e							
1216-3			k a β a							
1228-3			b w a							
1418-3			s i m a							
1475-3			k w a							
3397-3			β o l a							
4003-3			i β a							
4040-3			k e n i							
4373-3			l i m i							
4384-3			i n o							
181-3			k o o k o							
419-3			l o k a							
587-3			o o k o							
660-3			l e l a							
1083-3			l i l a							
1350-3			l j a							
1374-3			n a a n							
1396-3			s o f u							
1666-3			r a n o							
1767-3			x o x o							
1906-3			i ŋ k i l a							
2177-3			k k a							
2286-3			l a							
2317-3			f u β a							
