ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	dutch	s t ɔ f	s t ɔ f	-2290
2	german	ʃ t ɔ f	ʃ t ɔ f	-2290
3	dutch	p l aː ts	p l aː ts	-2284
4	english	p l eɪ s	p l eɪ s	-2284
5	german	p l a ts	p l a ts	-2284
6	dutch	r ɛ s t ə	r ɛ s t ə	-2270
7	german	r ɛ s t	r ɛ s t -	-2270
8	dutch	r ɔ l ə	r ɔ l ə -	-2121
9	english	r əʊ l	r əʊ l - -	-2121
10	german	r ɔ l ə n	r ɔ l ə n	-2121
11	dutch	m ɛ s t + f ɔ r k	m ɛ s t + f ɔ r k	-2104
12	english	p ɪ tʃ + f ɔː k	p ɪ - tʃ + f ɔː - k	-2104
13	english	k ʌ z n̩	k ʌ z - n̩ -	-2035
14	german	k uː z iː n ə	k uː z iː n ə	-2035
15	english	ʌ ŋ k l̩	ʌ ŋ k - l̩	-2030
16	german	ɔ ŋ k ə l	ɔ ŋ k ə l	-2030
17	dutch	m eː d iː s ɛɪ n	m eː d iː s ɛɪ n	-1888
18	english	m ɛ d s ɪ n	m ɛ d - s ɪ n	-1888
19	dutch	r ɛɪ k	r ɛɪ k	-1791
20	english	r ɪ tʃ	r ɪ tʃ	-1791
21	german	r ai x	r ai x	-1791
22	dutch	x r aː n	x r aː n	-1785
23	english	ɡ r eɪ n	ɡ r eɪ n	-1785
24	english	ɡ ɑː d n̩	ɡ ɑː - d - n̩	-1723
25	german	ɡ aː r t ə n	ɡ aː r t ə n	-1723
26	dutch	v ɑ l ɛɪ	v ɑ l ɛɪ	-1682
27	english	v æ l ɪ	v æ l ɪ	-1682
28	dutch	v ɔ r k	v ɔ r k	-1337
29	english	f ɔː k	f ɔː - k	-1337
30	dutch	d ɔ l f ɛɪ n	d ɔ l f ɛɪ n	-1279
31	english	d ɔ l f ɪ n	d ɔ l f ɪ n	-1279
32	dutch	d iː n eː	d iː n eː -	-1259
33	english	d ɪ n ə r	d ɪ n ə r	-1259
34	dutch	l ɛɪ n	l ɛɪ n	-1161
35	english	l aɪ n	l aɪ n	-1161
36	dutch	b ɑ l	b ɑ l	-1158
37	english	b ɔː l	b ɔː l	-1158
38	dutch	r ɔ n t	r ɔ n t	-1153
39	english	r aʊ n d	r aʊ n d	-1153
40	german	r ʊ n t	r ʊ n t	-1153
41	dutch	r iː v iː r	r iː v iː r	-1041
42	english	r ɪ v ə r	r ɪ v ə r	-1041
43	dutch	b aː j	b aː j	-1033
44	english	b eɪ	b eɪ -	-1033
45	dutch	m uː r ɑ s	m uː r ɑ s -	-1021
46	german	m oː r a s t	m oː r a s t	-1021
47	dutch	p l ɑ t	p l ɑ t	-588
48	german	p l a t	p l a t	-588
