COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
2452	n u ŋ k a l a	n o ŋ kʰ u			n o ŋ kʰ ə n	n o ŋ kʰ u	n o ŋ tʃ u kʰ ə n	
1996	m u t̪ i r k a	m u ŋ t̪ a ŋ			m u ŋ d i r		m u ŋ d i r kʰ e n	m u ŋ d i r p a n
2387		g ɾ o w a n			g ɾ o w a n	g ɾ o g a n		d r o g a n p a
2063		tʰ a kʰ u				tʰ a kʰ u		
1628		ɾ i tʃ i k p u	ɾ i tʃ i k p u			ɾ i tʃ i k p u		
276		dʒ a tʃ i				dʒ a ɲ tʃ i		
863	s e		s e	s e				
266	j i			j i				
2356	i p k a			i p tʃʰ a m	i p kʰ e n		i p kʰ e n	i p a n
2006	s e m tʃ e n							s e m tʃ e n
388	g u w a			g o w a				
135		tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ	tʃʰ i ŋ kʰ a ŋ				
989	tʃʰ a b u l a			tʃʰ a b u				
311		d a			d a	d a	d a	
2219		ʃ e ʃ u				ʃ e ʃ u		
2338	ɲ o ɾ l a	ɲ u r tʃ u				j u r tʃ u	ɲ u r kʰ ə n	
2491					pʰ a kʰ e n		pʰ aː kʰ e n	
1648						ɾ i t a ŋ p u		ɾ i t a ŋ p u
67				n a n	n a n			
2555				g a tʃ a	k a tʃ u		k a tʃ u	
2463			d̪ a ŋ b a	d̪ a ŋ tʃʰ a m				
2173		b i n tʃ u		b i n tʃʰ a m				
1577			ɾ i				ɾ i	
2492		ʃ e ʃ u				ʃ e ʃ u		
2473				z i g tʃʰ a m	z e i kʰ e n		z e i kʰ e n	z i g p a n
2638		p e t̪ a r				b e t̪ a r		
965				tʰ i ŋ l o m			tʰ i ŋ l o m	
2163	ŋ a t̪ k a		ŋ a t a ɲ dʒ i			ŋ a t̪ a k a n		ŋ a t p a n
1611	ɕ i t k a l a					ʃ i k a n	z i t kʰ e n	
2072		g e p ʃ u			g e p k a n	g e p k a n	g e p kʰ ə n	g e p a n
1918					o tʰ u g a ŋ p u	u t u g a m p u	u t g a m b u	
872	pʰ u ŋ k a			pʰ u ŋ k a				
1007	d u ŋ d u ŋ m a			d u ŋ d u ŋ m a				
1815		b r o ŋ b u	b u ŋ p u		a t ə r o ŋ b a	b ă ɾ o ŋ b a	a t ə r o ŋ b a	
962	s e m				s e m			s e m
2083			z a m b o		z a m b o			
936		tʰ o ŋ	tʰ o ŋ		t o ŋ	kʰ a t o ŋ		
1879	tʃʰ e r tʃʰ e r			tʃʰ e r tʃʰ e r				
1878	j u ŋ m u	j u ŋ b u	j u ŋ b u			j u ŋ b u		j u ŋ b u
416		kʰ a m tʃ u d a ŋ				kʰ a m tʃ u d a ŋ		
2110	a l o				a l o	ʔ a l o		
1585			l a m	l a m			l a m	
2312		g o tʃ u				g o tʃ u		
1548		pʰ e l u tʃ o k			pʰ e l u tʃ o k	pʰ e l u tʃ o k		
1851	kʰ u m i n			kʰ ŏ m i n				kʰ ŏ m i n
2320	tʃ o ŋ o		tʃ o ŋ a l o		tʃ o ŋ a l o		tʃ o ŋ a kʰ e n	
2140					dʒ a kʰ ə n		dʒ a kʰ ə n	
1760	s a h̥	s a h̥	s a	s a				
238	kʰ a l u			kʰ a l u				kʰ a l u
2158					p i r kʰ ə n		p i r kʰ ə n	
2489		pʰ a k p o	pʰ a k p o					
2422	j a k p o		j a k p o					
2276		ɲ e p ʃ u		ɲ e p ă n tʃʰ a m			ɲ e p a kʰ e n	ɲ e p a n
1906	u ɲ u	u ɲ u m o		u ɲ u		u ɲ u		
454			kʰ u r l a	k u r b a n		kʰ u r l a		
2295			b ɾ a k o		b e kʰ e n	b ɾ a k o	b r e k a kʰ e n	
1761					s a ʔ	s a h̥		
153	l i ʃ i ŋ			l i ʃ i ŋ				
1547	j a s			j a s				j a s
854	p a i pʰ u			p a i p u				p e p u
1264				z o ɾ				z o ɾ
134	dʒ a p							dʒ a p
2296				tʰ o g tʃʰ a m				t o k p a n
2783	n a ɲ i ŋ	n a ɲ i ŋ			n a ɲ i ŋ		n a ɲ i ŋ	
2266		g ɾ a n tʃ u			g ɾ a kʰ e n	g r a k a n	g ɾ a kʰ e n	
2414		l u s p u z i g tʃ u		l u ʃ p u z i g tʃʰ a m	l u s p u z i g p o		l u s p u z i kʰ e n	
582	p u r tʃ i			p u r tʃ i				
5						dʒ a ŋ		dʒ a ŋ
1602	tʃ a			tʃ a				tʃ a
2101		ʃ i n dʒ i		ʃ i n tʃʰ a m				
2635		ʃ i ɾ i	ʃ i r i l a		ʃ i r a		ʃ i r a	
2416						z i k a n		z i g p a n
202					t o ŋ t e			t o ŋ t e
1603		r a	r a		ɾ u	r a	ɾ u	
1112					t a ŋ l e m		t a ŋ l e m kʰ e n	
2053		u n tʃ u		ŭ n tʃʰ a m				
2201		n a ʃ u				n a ʃ u		
2699	tʃ a i t a ŋ p u			t a ŋ p u				s a p tʃ a t a ŋ p u
1959	u ɲ u	u ɲ u b a g m o		u ɲ u b a				
2339			ŋ a ŋ ɲ i r p o		ɲ u r kʰ ə n			ɲ i r p a n
