COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	dʒ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ l i l a							
125-1	b e a ŋ ɾ a							
162-1	l e s i							
171-1	ŋ o m ʃ a							
219-1	t a ŋ p u							
247-1	tʃʰ a ŋ l u ŋ							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m b a t i							
363-1	n a m b u							
397-1	g a m t i							
406-1	kʰ a m u ŋ							
426-1	m u k p a							
473-1	pʰ i n a ŋ							
499-1	z a m Ø n							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	k o t a ŋ							
599-1	g o i tʰ a m							
608-1	b a n tʰ o							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ tʰ u r							
672-1	t o ŋ p a							
681-1	ɲ i ɾ i							
690-1	m i ŋ							
708-1	tʰ a r i ŋ b u							
717-1	dʒ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p s i							
881-1	l a m							
890-1	r a w a							
899-1	s e r							
926-1	tʃʰ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a ɾ a ŋ							
980-1	w a ɾ o ŋ							
998-1	pʰ e ŋ i							
1022-1	dʒ a tʰ u r							
1031-1	b i n a ŋ kʰ u k							
1069-1	tʃʰ o w a ŋ ŋ z							
1079-1	ʃ i ŋ ŋ w a							
1098-1	j a ŋ b u							
1117-1	tʃ u n							
1141-1	r i ŋ b u							
1189-1	m a n							
1198-1	n u							
1208-1	z a l a							
1217-1	l a ɲ i ŋ ŋ ŋ							
1253-1	a m a							
1271-1	n o w a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ b a							
1343-1	b u i n a ŋ							
1361-1	j e n a ŋ							
1370-1	n a g u ŋ							
1388-1	m a n b a							
1397-1	tʰ u r							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p ŋ a r							
1433-1	ʃ u g u							
1442-1	l a m							
1451-1	b a d a m							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u d̪ j a ŋ b a							
1529-1	tʃʰ a l u							
1538-1	s u l u							
1557-1	tʃʰ o i d u ŋ							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ dʒ i l a						
125-2		b i j a ŋ ɾ a						
162-2		l e i s i						
171-2		o m ʃ a						
219-2		t a ŋ p u						
247-2		tʃʰ a ŋ l u ŋ						
282-2		l u s p u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m b a t i						
363-2		n i m b u						
397-2		g a m d i						
406-2		kʰ a u						
426-2		m u k p a						
473-2		pʰ i n a ŋ						
499-2		z a m i n						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		k o t a ŋ						
599-2		g o i tʰ a m						
608-2		b a n tʰ o						
617-2		j e n						
645-2		a n a						
663-2		s o ŋ tʰ u r						
672-2		t o ŋ p a						
681-2		ɲ i ɾ i						
690-2		m i ŋ						
708-2		tʰ a j ɾ i ŋ b u						
717-2		dʒ o k p u						
726-2		s i						
744-2		a p a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o m n a ŋ						
836-2		p s i						
881-2		l a m						
890-2		r a w a						
899-2		s e r						
926-2		tʃʰ a m						
944-2		g a ɾ a ŋ						
953-2		ʃ a ɾ a ŋ						
980-2		w a ɾ u ŋ						
998-2		pʰ a i						
1022-2		j dʒ a tʰ u r						
1031-2		b i n a ŋ kʰ u l a						
1069-2		tʃ o w a ŋ a						
1079-2		ʃ i w a						
1098-2		j a ŋ b u						
1117-2		tʃ u n						
1141-2		r i ŋ b u						
1189-2		m a n						
1198-2		n u						
1208-2		z a l a						
1217-2		l a ɲ i						
1253-2		a m a						
1271-2		n o w a ŋ						
1289-2		m i ŋ						
1316-2		ŋ a ŋ						
1325-2		kʰ a m						
1334-2		s i ŋ b a						
1343-2		b i n a ŋ						
1361-2		j e n a ŋ						
1370-2		n a g u ŋ						
1388-2		m a n b a						
1397-2		tʰ u r						
1406-2		tʃ o ŋ						
1424-2		g a ɾ a ŋ p a r						
1433-2		ʃ u g u						
1442-2		l a m						
1451-2		b a d a m						
1468-2		pʰ a k p a						
1477-2		ŋ a s						
1502-2		ŋ a m s u						
1511-2		m u d̪ j a ŋ b a						
1529-2		tʃ a l u						
1538-2		s u l u						
1557-2		tʃ o i d u ŋ						
10-3			dʒ a ŋ					
37-3			n a n					
46-3			n a n					
98-3			kʰ a ŋ dʒ i l a					
125-3			b i j a ŋ ɾ a					
162-3			l e i s i					
171-3			ŋ o m ɕ a					
219-3			t a ŋ p u					
