COGID	Albanian	English	French	German	Latin
560-1	v ə				
438-1	ʃ ə r t				
1222-1	n				
353-1	t				
201-1	t ə				
20-1	t ə r t				
503-1	t i				
957-1	n				
728-1	l a				
244-1	n				
289-1	n				
911-1	v ə r t ə r				
724-1	t ə r t				
145-1	t ə				
992-1	ʃ				
1181-1	ʃ k u r t				
741-1	p i				
560-2		w ɑ t			
438-2		w r			
1222-2		w ɑ t			
353-2		f ɑ t			
201-2		f ɑ n			
20-2		h a r			
503-2		f l o			
957-2		n ə			
728-2		l o n			
244-2		n o n			
289-2		n o			
911-2		r ə r			
724-2		t r			
145-2		t ə r			
992-2		w ɑ t			
706-2		h ɑ r			
106-2		f a r			
741-2		f ɑ t			
421-2		f l o			
227-2		f ɑ t			
560-3			v ɛ l		
438-3			v r		
1222-3			v u		
353-3			p u		
201-3			k u		
20-3			k u r		
503-3			p u		
957-3			n ɛ		
728-3			l a n		
244-3			n u		
289-3			n u		
911-3			r u r		
724-3			k r		
145-3			d u		
992-3			k u		
1181-3			k u		
706-3			v ɛ		
106-3			p r		
741-3			p u		
421-3			f l		
227-3			k u		
560-4				v i n	
438-4				v r	
1222-4				v i s	
353-4				f eː	
201-4				f au n	
20-4				h a s	
503-4				f l l	
957-4				n n	
728-4				l aː n	
244-4				n aː z	
289-4				n aː n	
911-4				r u r	
724-4				d r	
145-4				d uː	
992-4				h a l	
1181-4				h a n	
706-4				v u	
106-4				f au r	
421-4				f l aː z	
227-4				f eː	
560-5					w e m i
438-5					w o r o
1222-5					w o
353-5					p e i t
201-5					s o n
20-5					k o r o
503-5					p l l i n
957-5					n e n
728-5					l a n t
244-5					n o m i
289-5					n o t t
911-5					r o r o
724-5					t r r
145-5					t e n t
992-5					k o
1181-5					k o n t
706-5					k o
106-5					p o r o
741-5					p u i u
421-5					f l i
227-5					p o
