COGID	Albanian	English	French	German	Latin
560-1	d ə ð				
438-1	p ə r				
1222-1	n e r				
353-1	f ə r				
201-1	p ə r				
20-1	n ə r				
503-1	s e r				
957-1	d e t				
728-1	l a ð				
244-1	n o				
289-1	n ə r				
911-1	p ə r				
724-1	d r r r				
145-1	d ə ð				
992-1	n ə r				
1181-1	n ə r				
741-1	s e				
1150-1	d a r				
585-1	d a t				
814-1	p ə r				
916-1	n o				
1079-1	p ə r				
630-1	n ə r				
343-1	p ə r				
8-1	d r u r				
385-1	p a r				
683-1	d t ð				
650-1	p ə r				
612-1	f ə r				
871-1	d ə r				
667-1	l a ð				
527-1	p ə r				
499-1	n u				
1029-1	p ə r				
560-2		w ai ai			
438-2		s r i			
1222-2		w ai ai			
353-2		f ɪ r			
201-2		f ɪ ai			
20-2		k ɪ d			
503-2		f l d			
957-2		l ɪ ai			
728-2		l ɪ ai			
244-2		f ɪ r			
289-2		k ɪ n			
911-2		w ɪ r			
724-2		d r i			
145-2		θ ɪ ai			
992-2		k l ai			
706-2		s ɪ ai			
106-2		f ɪ r			
741-2		h ɪ ai			
421-2		f l d			
227-2		f ɪ r			
920-2		k ɪ r			
1083-2		k ɪ r			
1066-2		l ɪ ai			
1125-2		g ɪ d			
1197-2		m ɪ d			
473-2		l ɪ ai			
284-2		f ɪ r			
661-2		s ɪ ai			
701-2		r ɪ r			
315-2		r ɪ r			
1169-2		s ɪ ai			
1150-2		k ɪ r			
982-2		s ɪ ŋ			
987-2		s ɪ ai			
1055-2		s ɪ ŋ			
1130-2		s ɪ ŋ			
433-2		s ɪ ai			
625-2		l ɪ ai			
1186-2		θ ɪ ŋ			
416-2		w ai ai			
1233-2		w ai			
884-2		w ai r			
1016-2		h ɪ ŋ			
952-2		h ɪ r			
78-2		f l d			
514-2		s r i			
116-2		s ɪ ŋ			
188-2		f r i			
745-2		f ɪ t			
1100-2		f r i			
47-2		h ɪ ŋ			
111-2		l a n			
1061-2		m ɪ d			
24-2		f ɪ r			
232-2		k ɪ n			
671-2		r ɪ r			
385-2		s ɪ			
945-2		s ɪ ŋ			
644-2		s ɪ ŋ			
1041-2		s ɪ ŋ			
492-2		d ɪ ŋ			
1209-2		w ai ai			
527-2		w ɪ t			
14-2		g ɪ ai			
1-2		l l			
915-2		h ɪ d			
271-2		h ɪ r			
560-3			k ɔ r		
438-3			m r		
1222-3			m ɛ r		
353-3			f u		
201-3			f ɑ̃ t		
20-3			f ɑ̃ r		
503-3			f u		
957-3			f l		
728-3			l a r		
244-3			f ɑ̃ r		
289-3			n ɔ r		
911-3			r ɛ r		
724-3			d r		
145-3			d ɛ r		
992-3			k ɔ		
1181-3			k ɔ r		
706-3			ɔ ɑ̃ r		
106-3			f ɑ̃ t		
741-3			p u		
421-3			f l r		
227-3			f ɑ̃		
920-3			k ɔ r		
1083-3			k ɔ r		
1066-3			f ɑ̃		
1125-3			k u r		
1197-3			m ɛ r		
473-3			n ɔ		
284-3			n ɔ r		
661-3			v ɛ r		
701-3			r ɛ r		
315-3			r ɛ r		
1169-3			s ɑ̃ r		
1150-3			k u r		
982-3			s ɛ r		
