COGID	Albanian	English	French	German	Latin
560-1	d u				
438-1	d ə r				
1222-1	d u				
353-1	d ə				
201-1	d ə				
20-1	d ə r				
503-1	d ə				
957-1	d o				
728-1	d ə				
244-1	d t				
289-1	d u				
911-1	d ə				
724-1	d				
145-1	d t				
992-1	d u				
1181-1	d ə				
741-1	d ə r				
1150-1	d t				
585-1	d t				
814-1	d				
916-1	d t				
1079-1	d e				
630-1	d t				
343-1	d t				
8-1	d ə r				
385-1	d ə				
683-1	d t				
650-1	d ə				
612-1	d ə r				
871-1	d ə				
667-1	d ə r				
527-1	d ə				
499-1	d t				
1029-1	d t				
336-1	p ə				
198-1	d ə r				
164-1	d t				
560-2		w ai t			
438-2		w r i			
1222-2		w ɪ r			
353-2		f ɪ ŋ			
201-2		f ɪ n			
20-2		h ɛ d			
503-2		f l l			
957-2		s ɪ r			
728-2		l ai d			
244-2		n ɪ r			
289-2		n ɪ d			
911-2		r a θ			
724-2		d r i			
145-2		θ ɪ r			
992-2		w ɪ r			
706-2		s ɪ			
106-2		f a d			
741-2		p a n			
421-2		f l ai			
227-2		f ɪ ŋ			
920-2		h ɪ r			
1083-2		h ɛ r			
1066-2		s ɪ r			
1125-2		g ɪ n			
1197-2		m a d			
473-2		n ɪ v			
284-2		n ɪ r			
661-2		s ɪ n			
701-2		r i			
315-2		r i n			
1169-2		s a l			
1150-2		h ɪ r			
982-2		s ɪ ŋ			
987-2		s ɪ v			
1055-2		s d d			
1130-2		s ɪ v			
433-2		s ɪ l			
625-2		l ɪ ŋ			
1186-2		θ ɪ r			
416-2		w ai r			
1233-2		w ai n			
884-2		w ai r			
1016-2		ə r			
952-2		ə r			
78-2		f l t			
514-2		w ai t			
116-2		s ɪ ŋ			
188-2		f r r			
745-2		f ɪ l			
1100-2		f r i			
47-2		h ɪ r			
111-2		l a n			
1061-2		m a n			
24-2		n ɪ n			
232-2		n ɪ n			
671-2		r r i			
385-2		s ɪ ŋ			
945-2		s ɪ ŋ			
644-2		h ɪ s			
1041-2		s d ʃ			
492-2		d ɪ n			
1209-2		w ai r			
527-2		w ai t			
14-2		g ɪ l			
1-2		ə l			
915-2		w ai d			
271-2		ə r i			
711-2		w ai t			
1112-2		w ai t			
205-2		w ai t			
301-2		h l ai			
72-2		h ɛ l			
162-2		h ɛ d			
238-2		d ɪ r			
560-3			v ɔ r		
438-3			d ɔ r		
1222-3			d ɔ n		
353-3			p u s		
201-3			f ɔ s		
20-3			f ɔ r		
503-3			p l a		
957-3			t ɛ r		
728-3			l ɛ n		
244-3			d ɛ r		
289-3			t ɛ r		
911-3			r ɔ r		
724-3			t ɛ r		
145-3			d ɔ r		
992-3			d ɔ r		
1181-3			d ɔ n		
706-3			s ɛ r		
106-3			f u		
741-3			p u s		
421-3			f l a		
227-3			f u n		
920-3			d ɔ r		
1083-3			d ɔ r		
1066-3			s ɛ r		
1125-3			g ɛ r		
1197-3			m ɛ r		
473-3			t ɔ r		
284-3			d ɔ r		
661-3			v ɔ n		
701-3			r i		
315-3			r i		
1169-3			s ɛ r		
1150-3			d ɛ r		
982-3			s ɛ r		
987-3			s ɛ r		
1055-3			s ɛ r		
1130-3			s ɛ r		
433-3			s ɛ r		
585-3			t ɛ r		
625-3			t ɛ n		
1186-3			d ɔ r		
814-3			v ɔ r		
416-3			v ɔ n		
1233-3			v ɔ n		
884-3			v ɔ r		
916-3			s ɔ r		
1016-3			a r		
952-3			o t		
514-3			m œ		
1079-3			p u r		
1100-3			f ɔ r		
47-3			f ɔ r		
111-3			l y n		
1061-3			m œ		
1155-3			d l l		
343-3			v ɔ r		
671-3			r i r		
460-3			p u s		
8-3			g l r		
644-3			s ɛ r		
683-3			ʃ o n		
650-3			d ɔ r		
612-3			f ɛ r		
871-3			d i		
1209-3			v ɔ r		
667-3			l l a		
499-3			t ɛ r		
14-3			g ɔ l		
1029-3			v ɔ n		
272-3			ʃ ɛ r		
278-3			m ɛ r		
410-3			ʃ ɔ r		
336-3			s ɛ r		
1009-3			v ɔ n		
479-3			a r		
712-3			m œ r		
1113-3			s ɛ r		
605-3			m ɛ r		
752-3			s ɛ r		
695-3			t ɛ r		
73-3			f r		
162-3			ʃ ə n		
239-3			d ɔ r		
560-4				h a n	
438-4				ʃ r	
1222-4				ʃ v n	
353-4				f v l	
201-4				f a l	
20-4				f a l	
503-4				f l l	
957-4				t eː n	
728-4				l a r	
244-4				d eː	
289-4				d a	
911-4				r a t	
724-4				h r	
145-4				t ai s	
992-4				h a n	
1181-4				ʃ a n	
706-4				ʃ eː	
106-4				f a r	
421-4				f l t	
227-4				f a n	
920-4				h a r	
1083-4				h a r	
1066-4				g eː	
1125-4				g eː	
1197-4				m i r	
473-4				d a b	
284-4				d a	
661-4				v eː	
701-4				r i r	
315-4				r i t	
