COGID	Albanian	English	French	German	Latin
560-1	u i				
438-1	ʃ				
1222-1	ʃ				
353-1	t y m				
201-1	t y m				
20-1	t y m				
503-1	t y m				
957-1	n				
728-1	l a				
244-1	n				
289-1	n				
911-1	ʃ u r				
724-1	d r e				
145-1	d j				
992-1	ʃ ə r				
1181-1	ʃ i ð				
741-1	ʃ y m				
1150-1	ʃ i e ł				
585-1	n				
814-1	j j e				
916-1	ʃ				
1079-1	ʃ				
630-1	ʃ				
343-1	u u				
560-2		w ɑ t			
438-2		w r t			
1222-2		w ɑ			
353-2		f i l			
201-2		s i			
20-2		f a n			
503-2		f l l			
957-2		θ ɪ r			
728-2		l a n			
244-2		n ɪ m			
289-2		n a n			
911-2		r a			
724-2		d r i			
145-2		θ ɪ r			
992-2		w ɑ			
706-2		h ɛ l			
106-2		f ɛ d			
741-2		j ɛ l			
421-2		f l o			
227-2		f ɛ l			
920-2		h ɛ r			
1083-2		h ɛ r			
1066-2		j ɛ			
1125-2		g ɪ n			
1197-2		m a n			
473-2		n ɪ r			
284-2		n ɪ r			
661-2		s i			
701-2		r e			
315-2		r e n			
1169-2		s a l			
1150-2		s o			
982-2		s i d			
987-2		s ɪ r			
1055-2		s t			
1130-2		s i			
433-2		s i l			
625-2		l o			
1186-2		θ ɪ n			
416-2		w ɑ			
1233-2		w ɑ t			
884-2		w ɑ r			
1016-2		a n d			
952-2		a n			
78-2		f l a			
514-2		b r i			
116-2		f ai			
188-2		f ɔ r			
745-2		f ɛ l			
1100-2		f r i			
47-2		h ɛ l d			
111-2		l a n			
1061-2		m a n			
24-2		n ɪ n			
232-2		n ɪ n			
671-2		r ɪ			
560-3			v ɔ r e		
438-3			v r		
1222-3			v ɑ̃ t		
353-3			p u r		
201-3			f u r		
20-3			f ɑ̃ t		
503-3			p l		
957-3			n u		
728-3			l a t		
244-3			n u		
289-3			n u t e		
911-3			r u r		
724-3			d r ɛ s		
145-3			d u n		
992-3			v u		
1181-3			s ɑ̃ t e		
706-3			s u		
106-3			f ɑ̃ t e		
741-3			p u t e		
421-3			f l		
227-3			f u r		
920-3			s ɑ̃ r		
1083-3			ʃ ɑ̃ r		
1066-3			ʒ u		
1125-3			n u		
1197-3			m ɛ r		
473-3			n u		
284-3			n u		
661-3			v ɑ̃		
701-3			r ɛ r		
315-3			r ɛ r		
1169-3			s ɑ̃ t e		
1150-3			s ɑ̃ t		
982-3			s ɑ̃ t e		
987-3			s ɑ̃ t e		
1055-3			s ɑ̃ t e		
1130-3			s ɑ̃ t e		
433-3			s ɑ̃ t e		
585-3			t u		
625-3			l u		
1186-3			d u		
814-3			v ɛ r		
416-3			v ɔ n		
1233-3			v ɛ r		
884-3			v u r		
916-3			ʒ u		
1016-3			a t r		
952-3			a t t e		
514-3			ʒ r r		
1079-3			p u		
1100-3			f r w a t		
47-3			s ɑ̃ t e		
111-3			l a t e		
1061-3			m ɔ r		
1155-3			ʃ ɔ l e		
343-3			v ɛ r		
671-3			r ɛ r		
560-4				f a n	
438-4				f r	
1222-4				f eː	
353-4				f a	
201-4				f a n	
20-4				f a n	
503-4				f l t	
957-4				h a n	
728-4				l a r	
244-4				f a n	
289-4				f a n	
911-4				r a n	
724-4				d r	
145-4				t a s	
992-4				h a	
1181-4				ʃ a n	
706-4				f a s	
106-4				f a l	
421-4				f l t	
227-4				f a b	
920-4				h a r	
1083-4				h a r	
1066-4				g aː s	
1125-4				g e n	
1197-4				m a n	
473-4				f a n	
284-4				f a n	
661-4				v a n	
701-4				r a l	
315-4				r a n	
1169-4				z a l	
1150-4				ʃ a r	
982-4				z aː t	
987-4				z a n	
1055-4				z aː m	
1130-4				z aː m	
433-4				z aː l	
585-4				d eː s	
625-4				l iː r	
1186-4				t a s	
814-4				v r r	
416-4				v a s	
1233-4				v a n	
884-4				v a r	
78-4				f l t	
514-4				f r l	
116-4				h aː s	
188-4				f r l	
745-4				f a b	
1100-4				f r	
630-4				a l n	
1155-4				k a l	
24-4				f a n	
232-4				f a n	
671-4				t r	
560-5					w a m i
438-5					w r iː
1222-5					w o l o
353-5					p u l o
201-5					f uː n i
20-5					k a r i
503-5					p l l i
957-5					n oː
728-5					l a l o
244-5					n o m o
289-5					n a n o
911-5					w eː m i
724-5					t r iː t o
145-5					t o
992-5					k a l i
1181-5					k a n i
706-5					p u l i
106-5					f uː m i
741-5					p u l i
421-5					f l a
227-5					f u t e
920-5					k a r i
1083-5					k a r i
1066-5					p u l o
1125-5					n a
1197-5					m a r e
473-5					n oː
284-5					n oː
661-5					w a n o
701-5					r iː d e
315-5					r iː n o
1169-5					s eː l o
982-5					s eː m o
987-5					s n n o
1055-5					s t l
1130-5					s eː m i
433-5					s eː n o
585-5					t e n
625-5					t a l i
1186-5					t e n
814-5					w i r i
416-5					w o l o
1233-5					w i n i
884-5					w i r i d o
916-5					k a
1016-5					a l a o
952-5					a l a
78-5					w l a
1079-5					p i l i
116-5					s eː l o
188-5					f uː r i
745-5					f r iː i t
47-5					k a l i t
111-5					l a l o
1061-5					m a n o
630-5					n eː
1155-5					k a l i
24-5					n o
232-5					n oː
343-5					w i n i t
