COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r ɨ									
18-1	d a r ɨ									
35-1	h i θ u ts u									
36-1	h u θ a ts u									
48-1	n a g a i									
60-1	θ u r i r									
63-1	s i m a m i									
64-1	k tɕ									
67-1	h a a									
68-1	n ɨ									
71-1	ts tɕ									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n ɨ e									
95-1	m i m i									
98-1	h a n a									
99-1	k u ts i									
-102-1	s i θ a									
103-1	ts ɨ m ɨ									
110-1	θ ɨ									
116-1	m ɨ n ɨ									
120-1	n u m u r									
132-1	k i k u r									
139-1	k u r u s u r									
140-1	u dʑ u g u r									
156-1	θ a x ɨ r u									
168-1	ts ɨ k i									
169-1	h u s i									
170-1	m i dʑ ɨ									
173-1	ɨ s i									
180-1	k u m u									
185-1	h a i									
186-1	m u ɨ r u									
187-1	m i ts i									
190-1	ʔ k a i									
193-1	k tɕ r u i									
194-1	s i r u i									
195-1	k u r u i									
216-1	m a r ts a i									
221-1	n a r									
239-1	ɨ ts u									
252-1	m i ts ɨ									
253-1	ts u ts ɨ									
254-1	i ts u ts u									
266-1	k a z ɨ									
267-1	n a g a r ɨ r u r									
268-1	ɨ m i									
272-1	ʔ m ɨ g									
276-1	ʔ r a u									
281-1	m u s i									
304-1	ts ɨ b a i									
305-1	ts i a									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n i									
342-1	ts u k i									
346-1	k u r a i									
347-1	k i θ u r									
348-1	h i r u i									
351-1	θ o s a									
361-1	u m o i s									
379-1	k u s ʔ m ʔ									
394-1	h i d a r i									
395-1	m i g i r									
400-1	h i ɨː ʔ r u									
412-1	s a k ɨ r u r									
413-1	ts ɨ k ɕ s ʔ s u									
414-1	h u r u r									
422-1	h u k u r ɨ r u									
423-1	k a ɴ g a ɨ r u									
430-1	h a k u r									
435-1	h u k u r									
446-1	s i θ a r									
447-1	ʔ g e									
458-1	θ u s i									
56-1	h i θ u									
62-1	ɨ n u									
70-1	θ a n ɨ									
96-1	m ɨ									
101-1	h a									
114-1	k u b i									
119-1	k i m u									
134-1	s i m o u u									
138-1	s i n u r									
146-1	ʔ r u k u									
161-1	z o r									
182-1	k ɨ m u u i									
188-1	ts a m a									
196-1	ts u r u									
262-1	h i r u m a									
300-1	h ɨ s u									
313-1	d ɨ ɨ									
350-1	s ɨ b a i a									
352-1	ts i k a i a									
396-1	h u r ts s									
401-1	u s u									
420-1	u θ ɨ r u u									
424-1	u θ θ u									
442-1	s i m ɨ ts u k i r									
455-1	i k i θ ɨ θ u									
15-1	ʔ r ɨ i									
49-1	u n n g g u									
130-1	m i r u									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o tɕ u								
36-2		h u t tː tɕ u								
48-2		n a g a i								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a a								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o dʑ o g u								
156-2		t a k o r u								
168-2		ts u k i								
169-2		h o s i								
170-2		m i dʑ u								
173-2		i s i kʲ								
180-2		k u m o								
185-2		h a kʲ								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k a i								
193-2		k i r o kʲ								
194-2		s i r o i								
195-2		k u r o i								
216-2		m a r u a								
221-2		n tː m								
239-2		i ts u								
252-2		m i ts u								
253-2		t o ts u								
254-2		i ts u ts u								
266-2		k a dʑ e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m e g a								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b a								
305-2		tɕ i tɕ								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
342-2		t u k i								
346-2		k u r a i								
347-2		k i r u								
348-2		h i r o i								
351-2		t oː s a								
361-2		o m o i a								
379-2		k u s a m a a								
394-2		h i d a r i								
395-2		m i g i								
400-2		h i pː a r u								
412-2		s a k e r u								
413-2		ts u k i s a s u								
414-2		h o r u								
422-2		h u k u r e r u								
423-2		k a m g a e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a								
447-2		u g								
458-2		t o s i								
56-2		h i t o								
65-2		k a a a								
70-2		t a n e								
75-2		k a a a								
114-2		k u b i								
119-2		k i m o								
161-2		j u								
171-2		k a t a								
188-2		t a m a								
196-2		t o r u								
262-2		h i r u m a								
300-2		h e s o								
313-2		d e								
350-2		s e b a i								
352-2		tɕ i k a i								
396-2		h u r u s								
401-2		o s u								
420-2		o tɕ o r u								
424-2		u t a u								
442-2		s i m e ts u k e								
455-2		i k i t o r u								
22-2		n a i								
24-2		m n a n a								
49-2		o n n g o								
78-2		a b u r a m								
89-2		k e								
14-3			k o r e							
18-3			d a r e							
35-3			h i t o tɕ							
36-3			h u t a tɕ							
48-3			n a g a							
60-3			t o r							
63-3			s i r a m							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			tɕ i							
76-3			h o n e							
83-3			tɕ ui n o							
87-3			h a n e							
95-3			m i m							
98-3			h a n a							
99-3			k u tɕ i							
-102-3			s e t a							
103-3			tɕ ui m e							
110-3			t e							
116-3			m u n e							
120-3			n o m u							
132-3			k i k u							
139-3			k o r o s ui							
140-3			o j o g u							
156-3			t a k e r							
168-3			tɕ ui k i							
169-3			h o s i							
170-3			m e ɕ ui							
173-3			e s i							
180-3			k u m o							
185-3			h a e							
186-3			m o e r u							
187-3			m i tɕ i							
190-3			a k a							
193-3			k i r o							
194-3			s i r o							
195-3			k u r o							
216-3			m a r i							
221-3			n a m							
239-3			e i u							
252-3			m i i ui							
253-3			j o i ui							
254-3			e i u i u							
266-3			k a ɕ e							
267-3			n a g a r e r u							
268-3			u m i							
272-3			a m e g							
276-3			a r a u							
281-3			m ui s i							
304-3			tɕ ui b a							
305-3			tɕ i							
308-3			h a n a							
309-3			k u s a							
310-3			t o							
311-3			n							
342-3			j u k i							
346-3			k u r a							
347-3			k i r u							
