COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u															
1089-1	n a															
1319-1	n oː															
1398-1	s u n̩ u r u															
1557-1	g i r e															
1626-1	w a g a															
1840-1	k i n̩															
2247-1	g oː															
4677-1	k u r oː j															
5162-1	m i n ɛ															
5406-1	k a n d															
359-1	k a r i															
1577-1	g i r e															
2196-1	n a r a															
2230-1	s i g oː															
2533-1	b a r i															
3605-1	k a n̩ d a															
3866-1	o d u															
4553-1	t a g u															
4822-1	k u m b o															
5254-1	d u r ɔ															
503-1	k i ŋ a															
1356-1	m a j															
1881-1	n u m															
3218-1	k o k u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a n̩ u															
4694-1	g u d u															
807-1	k oː m ɔ															
2320-1	k a ŋ ɛ															
2476-1	k oː															
3719-1	m															
4081-1	d a m b i															
4313-1	n ɛ m															
4460-1	s ɔ j															
5810-1	k i r i															
93-1	d ɔ															
260-1	b ɛ k ɛ															
385-1	dʒ ɛ m b ɛ															
890-1	a m b r r u															
1336-1	k e g e															
1703-1	b a															
1769-1	t ɛ m b i															
2162-1	b ɛ r ɛ															
2635-1	s oː															
3031-1	d ɛ g ɛ															
4591-1	k ɛ r i															
5301-1	k ɛ r u															
5605-1	t i m ɛ															
463-1	d u m b u															
1432-1	t a r u															
1474-1	t ɔ ŋ															
1788-1	s oː															
2044-1	d i m b															
2713-1	k oː m d n̩ r ɛ															
3219-1	k a d u															
3425-1	j oː															
4184-1	b ɛ															
4629-1	n̩ u w̃ ɔ															
4759-1	n o j e															
4904-1	n u w̃ a															
4960-1	g i n̩ b dʒ o															
4980-1	t oː															
5059-1	g u j o															
5339-1	k a g a															
5549-1	t a w̃ a															
5905-1	t i n u															
5922-1	b i r ɛ															
5938-1	a d u ŋ a															
1-1	k ɛ															
483-1	g oː d u															
629-1	d ei															
667-1	ɛ w̃ ɛ															
1254-1	d a z d u r u															
1415-1	b ei															
1542-1	n oː															
1683-1	s ɛ j															
1898-1	k u r o															
2901-1	t u ŋ dʒ															
2957-1	m a ŋ d i															
3048-1	b i j oː															
3251-1	k a r a															
3885-1	d ɛ m ɛ															
4402-1	j e															
5622-1	k e n̩ ɛ j															
6006-1	k i k a															
135-1	k u n d															
158-1	m ɔ s u															
194-1	b ɛ															
221-1	ɛ s u															
650-1	b ɛ d ɛ															
1152-1	k i b ɛ															
1374-1	k ɔ w̃ ɔ j															
1452-1	g a r a															
1862-1	i d u															
2083-1	k a ŋ i															
2108-1	n a j															
2636-1	m															
2924-1	k oː r u															
2941-1	b i r i															
3405-1	ɛ m ɛ															
3751-1	k ɛ j															
4066-1	g ɔː r̃ ɔ															
4535-1	s u g ɔ															
4888-1	s a m n a															
5583-1	t a w̃ g															
5751-1	b i j ɛ															
5981-1	a n̩ a															
114-1	d ɔ j ɔ															
851-1	w ɔ															
1941-1	k i r i															
2179-1	n d i															
2351-1	k a b a															
2496-1	ŋ u ŋ															
3482-1	m i z i d ɛ															
3497-1	n̩ a															
3588-1	k ɔ r ɔ															
4202-1	g oː r o															
4293-1	k ɔ b ɔ															
4921-1	s a m b a															
408-1	j e m b u															
545-1	i r u															
978-1	t e m															
1052-1	n a m b u															
1070-1	n̩ u g o															
1942-1	j e															
2456-1	k ɔ k i															
2514-1	d u s u															
2666-1	s i g ɛ															
2817-1	a w̃ g a															
3132-1	d u s															
3300-1	ɛ w̃ ɛ															
3976-1	z e															
4152-1	k i n a															
4361-1	t e g e															
4570-1	g ɔ k															
4648-1	j oː															
5318-1	d ɔ r ɔ															
5673-1	d ɛ m ɛ															
5887-1	j a m															
446-1	g o ŋ g o r o															
521-1	k oː dʒ ɔ															
1108-1	j ɔ j															
1124-1	e r e															
1745-1	dʒ a j a															
1823-1	g o r															
2143-1	b a															
2265-1	u r ɔ															
2392-1	n̩ o s u															
2579-1	d oː															
2774-1	k a ŋ i															
3339-1	k a r a															
3550-1	i ŋ i															
4024-1	k i b a															
4219-1	b ɛ m b															
4240-1	w oː r i															
4259-1	g ɔ m oː															
4738-1	g u ŋ d a															
5197-1	ɛ r u															
5447-1	g i d e															
5531-1	i n e															
5733-1	n ɛ															
5828-1	j a ŋ u															
562-1	s u m ɔ															
998-1	w ɛ															
1022-1	k i n̩ i															
1023-1	j															
1205-1	j oː															
1275-1	t a															
1578-1	n u m															
2063-1	i r ɛ															
2334-1	ɛ s u															
2798-1	ɛ r̃ ɛ															
3252-1	r m b ɛ															
3463-1	w̃ k															
3683-1	k i r̃ ɛ															
3772-1	k u m a															
3790-1	g a w															
4052-1	b a s a															
4220-1	k t															
4440-1	t i															
4479-1	k oː															
4711-1	j a r u															
4778-1	k a s a															
4821-1	k u															
4941-1	ɔ j ɔ															
5272-1	t e g u															
5423-1	ɔ z ɔ															
5424-1	k ɔ r ɔ															
563-1	s u m o															
613-1	m a															
684-1	ɲ a r̃ i															
742-1	dʒ a r a															
1204-1	k oː r i															
1373-1	k u s															
1787-1	n k															
1988-1	k s ŋ uː oː															
2283-1	b ɛ r i															
2372-1	b e r u															
2441-1	n t															
2598-1	j j̃ j															
2773-1	b a r m i															
3011-1	b a n a															
3176-1	uː ɔ r ɔ															
3283-1	a n a															
3318-1	n ɔ n d i															
3658-1	d i m ɛ															
3807-1	k ɛ															
4037-1	s a n dʒ a															
4498-1	ɛ r u															
4843-1	o r u															
5078-1	k u r ɛ m															
5357-1	k s															
5390-1	d u d oː															
5790-1	ɔ r u															
21-1	uː t b u															
42-1	k i ŋ ɔː															
61-1	k ɛ n d															
239-1	t u m b i															
309-1	d i j a w															
327-1	i e															
482-1	dʒ e z u															
594-1	u s u n ɛ															
701-1	m															
909-1	j ɛ															
928-1	o m b o															
1184-1	d r ɔ															
715-2		d u														
1089-2		n a														
1319-2		ŋ ɛ														
1398-2		s u g u j u														
1557-2		g i k o														
1626-2		w a g a														
1840-2		t i ŋ														
2247-2		g oː														
4677-2		k u j o j														
5162-2		m i r̃ ɛː														
5406-2		t aː ŋ tʃ														
359-2		g a r a														
1577-2		g i k o														
2196-2		n a j̃ a														
2230-2		s u g o														
2533-2		b a r a														
3605-2		k a ŋ d a														
3866-2		o s u														
4553-2		t a g u														
4822-2		k u m b j̃														
5254-2		d u j ɔ														
503-2		tʃ i r̃ a														
1356-2		m a j														
1881-2		n u m														
2084-2		j aː tʃ ɛ														
2420-2		k u j j̃														
3218-2		tʃ u tʃ u														
3372-2		ŋ a m a														
3718-2		a r a														
4135-2		b a ŋ i														
4694-2		g u s u														
807-2		k o m ɔ														
2320-2		k a dʒ ɛ														
2476-2		k t														
2842-2		d i g u														
4081-2		tʃ a m b i														
4313-2		ŋ ɛ m														
4460-2		s ɔ j														
5514-2		ŋ ɛ ŋ dʒ j̃														
5810-2		tʃ i j̃ u														
93-2		d ɔ														
260-2		b ɛ dʒ ɛ														
385-2		dʒ ɛ m b ɛ														
890-2		a m b tʃ r														
1336-2		t ɛ g o														
1703-2		b a														
1769-2		t ɛ m b i														
2162-2		b ɛ r ɛ														
2635-2		s o														
2735-2		d a ŋ a														
3031-2		d ɛ g ɛ														
4591-2		t ɛ tʃ a														
5301-2		tʃ ɛ r u														
5605-2		t i m ɛ														
296-2		dʒ a m b														
463-2		d u m b u														
762-2		b a ŋ a tʃ tʃ														
1432-2		t a r u														
1474-2		t ɔ ŋ														
1788-2		s o														
2044-2		d i m b														
2713-2		t ɛː m d dʒ tʃ ɛ														
3219-2		tʃ a tʃ ɔ̃ː														
3425-2		j uː														
4184-2		tʃ ɛ														
4629-2		ŋ u w ɔ														
4759-2		n o j ɛ														
4904-2		ŋ u m a														
4960-2		g i ŋ aː dʒ o														
4980-2		t ɔ														
5059-2		g u tʃ o														
5125-2		ɔ ŋ tʃ j̃														
5339-2		tʃ a g a														
5549-2		t a w a														
5771-2		dʒ u g u														
5905-2		t i r̃ u														
5938-2		a d u ŋ a														
1-2		tʃ ɛ														
483-2		g o s u														
629-2		d oː														
667-2		ɛ w ɛ														
1254-2		dʒ a tʃ d u r u														
1415-2		dʒ ɛ														
1542-2		ŋ uː														
1683-2		s ɛ j														
1898-2		tʃ u r̃ o														
2551-2		r i														
2901-2		t u dʒ g														
2957-2		m a ŋ tʃ i														
3048-2		b i j														
3251-2		tʃ a dʒ a														
3885-2		tʃ ɛ m ɛ														
4402-2		j ɛ														
5081-2		tʃ i ŋ dʒ u														
5622-2		tʃ ɛ tʃ ɛ j														
6006-2		tʃ ɔ̃ː tʃ a														
43-2		s aː														
135-2		t u n dʒ u														
158-2		m ɔ s u														
194-2		b ɛ														
221-2		ɛ s u														
650-2		b ɛ dʒ ɛ														
1152-2		t i b ɛ														
1374-2		k ɔ dʒ w j̃														
1452-2		g aː r a														
1862-2		i s u														
2108-2		n a j														
2636-2		m														
2880-2		k u ŋ dʒ u														
2924-2		tʃ o j̃														
2941-2		b i j̃ i														
3405-2		ɛ m ɛ														
3959-2		t o m u														
4066-2		g ɔ r̃ ɔ														
4535-2		s u g ɔ														
4888-2		s a m u n														
5180-2		s ɛ m b i														
5751-2		t i j ɛ														
5981-2		a r̃ a														
114-2		d ɔ j ɔ														
702-2		ɔ g ɔ tʃ ɔ dʒ ɔ														
851-2		g ɔ														
872-2		ɛ ŋ dʒ ɛ														
952-2		k u r u														
2179-2		ŋ tʃ j̃														
2351-2		tʃ a b a														
2496-2		ŋ u j̃														
4609-2		k ɔ r ɔ														
4740-2		g u l ɔ														
4921-2		s a m b a														
5982-2		g ɔ̃ː dʒ u														
978-2		t o m														
999-2		j ɛ														
1052-2		n a m tʃ														
1989-2		m ɛ l ɛ														
2456-2		tʃ ɔ tʃ i														
2666-2		s u g i														
2817-2		a tʃ g a														
3132-2		d u dʒ														
3300-2		ɛ w ɛ														
3977-2		m dʒ dʒ dʒ														
3978-2		m i dʒ dʒ o														
4260-2		ɔ m b														
4278-2		k u ŋ dʒ u														
4334-2		tʃ ɔ ŋ														
4361-2		t ɛ g o														
4570-2		g ɔ tʃ														
4648-2		j o														
5673-2		d ɛ m b														
5887-2		j a j̃														
446-2		g o ŋ g o														
1108-2		j o														
1124-2		o j o														
