COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
68					q a ¹							q a ¹				
4305		qʰ aːu ¹			qʰ aːu ¹	qʰ aːu ¹					qʰ aːu ¹	qʰ aːu ¹				
2340	ȶ e ¹			ȶ e ¹										ȶ e ¹	ȶ e ¹	
11132		m õ ¹											m o ¹			
9836	ˀd j e ŋ ¹		ˀd j aː ŋ ¹	ⁿd j ə ŋ ¹			ⁿd j ə ŋ ¹	ⁿd j aː ŋ ¹		ˀd j aː ŋ ¹						ˀd j aː ŋ ¹
10543	ⁿd i n ¹	ⁿd i n ¹								ⁿd i n ¹			ⁿd i n ¹		ⁿd i n ¹	
9020				k aː ŋ ¹	ts j aː ŋ ¹	ts j aː ŋ ¹	k aː ŋ ¹					ts j e ŋ ¹				
5283	l aːu ¹		l aːu ¹	l aːu ¹			l aːu ¹	l aːu ¹	l aːu ¹	l aːu ¹				l aːu ¹		l aːu ¹
6071				kʰ i n ¹			kʰ i n ¹				kʰ i n ¹					
3713	z u ŋ ¹	ȶʰ u ŋ ¹	z u ŋ ¹		z u ŋ ¹	z u ŋ ¹		z u ŋ ¹	z u ŋ ¹	ʔ ũ ¹	z u ŋ ¹	ʔ u ŋ ¹		z u ŋ ¹	z u ŋ ¹	z u ŋ ¹
6854	ȶʰ j u ¹	kʰ j u ¹	ɕ j u ¹	s j u ¹			ɕ j u ¹	ɕ j u ¹	ɕ j u ¹	ȶʰ j u ¹			h j u ¹			
10885		t aːu ¹		t aːu ¹			t aːu ¹						t aːu ¹			
2319	j ə n ¹	j ə n ¹	j ə n ¹	j a n ¹		j ə n ¹	j a n ¹	j ə n ¹		j ə n ¹	j ə n ¹		j ə n ¹		j a n ¹	
4998	h aːi ¹		h aːi ¹		h aːi ¹	h aːi ¹		h aːi ¹	h aːi ¹	h aːi ¹	h aːi ¹	h aːi ¹		h aːi ¹	h aːi ¹	h aːi ¹
3792		h aːu ¹											h aːu ¹			
2248	f aːi ¹		f aːi ¹	f aːi ¹	f aːi ¹	f aːi ¹		f aːi ¹	f aːi ¹	f aːi ¹	f aːi ¹	f aːi ¹		f aːi ¹	f aːi ¹	f aːi ¹
6037		p aːu ¹											p aːu ¹			
2						ȶ ə n ¹				ȶ i n ¹	ȶ ə n ¹			ȶ ə n ¹	ȶ a n ¹	ȶ ə n ¹
4219		k a ¹			k a ¹							k a ¹				
6243		l i n ¹											l i n ¹			
2413		k aːi ¹										q aːi ¹				
4254	z a ¹		z a ¹	z a ¹				z a ¹	z a ¹	z a ¹		z a ¹		z a ¹	z a ¹	z a ¹
2414					h aː n ¹	h aː n ¹					h aː n ¹					
4274										ˀb a ¹			p j a ¹			ˀb a ¹
9234			h aː ŋ ¹	h aː ŋ ¹	h aː ŋ ¹	h aː ŋ ¹	h aː ŋ ¹	h aː ŋ ¹	h aː ŋ ¹		h aː ŋ ¹	h aː ŋ ¹				
3765	ˀɣ e ¹	ɣ e ¹	ɣ e ¹		ˀɣ e ¹	ˀɣ e ¹				ˀɣ e ¹	ˀɣ e ¹	ˀɣ e ¹	ɣ e ¹	ˀɣ e ¹	ˀɣ e ¹	ˀɣ e ¹
1570	k ə ¹		q e ŋ ¹		q e ŋ ¹	q e ŋ ¹		q e ŋ ¹	q e ŋ ¹	q e ŋ ¹	q e ŋ ¹	q e ŋ ¹		q e ŋ ¹		q e ŋ ¹
9355	l j u m ¹	l j u m ¹	l j u m ¹	l j u m ¹				l j u m ¹	l j u m ¹		l j u m ¹		l j u m ¹		l j u m ¹	
7537	ʔ ĩ ¹		ʔ ĩ ¹					ʔ ĩ ¹	ʔ ĩ ¹	ʔ ĩ ¹			ʔ ĩ ¹	ʔ ĩ ¹	ʔ ĩ ¹	
