COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i								
2-1	tɬ k o n e x tɬ i								
8-1	w e j i								
16-1	j e s tɬ i								
24-1	i s t n								
32-1	m i k i								
51-1	o n i								
52-1	w a h k								
53-1	n a k a s								
54-1	tɬ a l i								
55-1	k w a								
60-1	i x t e l o l o								
83-1	tɬ e tɬ								
87-1	p a tɬ a n i								
92-1	m a k a								
103-1	m a n								
106-1	k a k i								
138-1	n e h a								
139-1	m i k t i a								
142-1	m a t i								
145-1	m o t e k a								
176-1	tɬ a k a tɬ								
179-1	n a k a tɬ								
180-1	m e ts tɬ i								
186-1	k e tʃ								
190-1	j e k a k								
194-1	s e								
220-1	o h tɬ i								
231-1	i t a								
240-1	k o tʃ i								
283-1	t e t								
293-1	i n i								
314-1	k w a w i tɬ								
315-1	o m e								
322-1	t e h a n								
1-2		n o tʃ i							
2-2		b a n eː x							
8-2		w eː j							
16-2		e s t i							
24-2		i s t i							
32-2		m i g i							
51-2		o n i							
52-2		w aː k t o k							
53-2		n a g a s							
54-2		t aː h l i							
55-2		b aː							
60-2		iː x t o l o l o							
83-2		t i t							
87-2		p a t aː n i							
92-2		m a g a							
103-2		m aː							
106-2		g a g i							
138-2		n e h a							
139-2		m i k t i a							
142-2		m a t i							
145-2		m o t e g a							
176-2		t aː g a t							
179-2		n a g a t							
180-2		m eː s t i							
186-2		g eː tʃ							
190-2		j a g a t							
194-2		s e							
220-2		o h t i							
231-2		i t a							
240-2		g o tʃ i							
283-2		t e t							
293-2		h iː n							
314-2		b a w i t							
315-2		oː m e							
322-2		t e h a m e h							
1-3			m o tʃ i						
2-3			n e x t i						
8-3			w e j						
16-3			e s t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n i						
52-3			w aː k k						
53-3			n a k a s						
54-3			t aː l i						
55-3			k w a						
60-3			iː x t o l						
83-3			t i t						
87-3			p a t aː n i						
92-3			m a k a						
103-3			m a						
106-3			k a k i						
138-3			n e h a						
139-3			m i k t i a						
142-3			m a t i						
145-3			m o t e k a						
176-3			t aː k a t						
179-3			n a k a t						
180-3			m eː ts t i						
186-3			k e tʃ						
190-3			j a k a						
194-3			s e						
220-3			o h t i						
231-3			i t a						
240-3			k o tʃ i						
283-3			t e t						
293-3			i n i						
314-3			k w a w i t						
315-3			oː m e						
322-3			t e h a n						
1-4				m o tʃ i					
2-4				n e x tɬ i					
8-4				w e j					
16-4				e s tɬ i					
24-4				i s t e					
32-4				m i k					
51-4				o n i					
52-4				w aː k k iː					
53-4				n a k a s					
54-4				tɬ aː l i					
55-4				k w a					
60-4				iː x t e l o l o					
83-4				tɬ e tɬ					
87-4				p a tɬ aː n i					
92-4				m a k a					
103-4				m aː					
106-4				k a k iː					
138-4				n a h a					
139-4				m i k t i a					
142-4				m a t iː					
145-4				m o t eː k a					
176-4				t aː k a tɬ					
179-4				n a k a tɬ					
180-4				m eː ts tɬ i					
186-4				k e tʃ tɬ o					
190-4				j a k tɬ					
194-4				s eː					
220-4				o h tɬ i					
231-4				t a					
240-4				k o tʃ					
283-4				t e t					
293-4				i n i					
314-4				k w a w iː tɬ					
315-4				oː m e					
322-4				t e h w a					
1-5					m u tʃ i				
2-5					k o n e x t i				
8-5					w e j				
16-5					e s t i				
24-5					i s t i				
32-5					m i k i				
51-5					x i k				
52-5					w a k t u k				
53-5					n a k a s				
54-5					t a h l i				
55-5					b w aː				
60-5					iː x				
83-5					t i t				
87-5					p a r a n i				
92-5					m a				
103-5					m aː n				
106-5					k a i				
138-5					n e h e				
139-5					m i k t i				
142-5					m a				
145-5					m u r e k a k				
176-5					t aː k a t				
179-5					n a k a t				
180-5					m eː ts t i				
186-5					k e tʃ				
190-5					j a k				
194-5					s e				
220-5					u h t i				
231-5					i r a				
240-5					k u tʃ i				
283-5					x aː l t e t				
293-5					h iː n i				
314-5					k o i t				
315-5					uː m e				
322-5					t o h o m e n				
1-6						n o tʃ i			
2-6						n e x tɬ			
8-6						w e j i			
16-6						e s t i			
24-6						i s t i			
32-6						m i k i			
51-6						o n i			
52-6						w aː k			
53-6						n a k a s			
54-6						t aː l l			
55-6						k w a			
60-6						iː x t o l			
83-6						t e tɬ			
87-6						p a t aː n i			
92-6						m a k a			
103-6						m a			
106-6						k a k i			
138-6						n e h a			
139-6						m i k t i a			
142-6						m a t i			
145-6						m o t e k a			
176-6						t aː k a tɬ			
179-6						n a k a tɬ			
180-6						m eː ts t i			
186-6						k e tʃ			
190-6						j a k t			
194-6						s e			
220-6						o h tɬ i			
231-6						i t a			
240-6						k o tʃ i			
283-6						t e t			
293-6						i n iː			
314-6						k w a w i tɬ			
315-6						oː m e			
322-6						t e h a m			
1-7							m o tʃ i		
2-7							n e x tɬ i		
8-7							w e j		
16-7							e s t i		
24-7							i s t i		
32-7							m i k i		
51-7							o n i		
52-7							w aː k t k		
53-7							n a k a s		
54-7							t aː l l		
55-7							k w a		
60-7							iː x		
83-7							t i t		
87-7							p a t aː n i		
92-7							m a k a		
103-7							m a		
106-7							k a k i		
138-7							n e h a		
139-7							m i k t i a		
142-7							m a t i		
145-7							m o t eː k a		
176-7							t aː k a t		
179-7							n a k a t		
180-7							m eː ts t i		
186-7							k e tʃ		
190-7							j a k		
194-7							s eː		
220-7							o h t i		
231-7							i t a		
240-7							k o tʃ i		
283-7							t e t		
293-7							i n i		
314-7							k w a w i t		
315-7							oː m e		
322-7							t e h a m e t		
1-8								n o tʃ i	
2-8								n e x t i	
8-8								w e j	
16-8								e s t i	
24-8								i s t i	
32-8								m i k i	
51-8								o n i	
52-8								w aː k k	
53-8								n a k a s	
54-8								t aː l i	
55-8								k w a	
60-8								iː x t o l	
83-8								t e t	
87-8								p a t aː n i	
92-8								m a k a	
103-8								m a	
106-8								k a k i	
138-8								n e h	
139-8								m i k t i a	
142-8								m a t i	
145-8								m o t e k a	
176-8								t aː k a t	
179-8								n a k a t	
180-8								m eː ts t i	
186-8								k e tʃ	
190-8								j a k t	
194-8								s e	
220-8								o h t i	
231-8								i t a	
240-8								k o tʃ i	
283-8								t e t	
293-8								i n i	
314-8								k w a w i t	
315-8								oː m e	
322-8								t e h a n	
1-9									m o tʃ i n
2-9									n e x tɬ i
8-9									w e j
16-9									e s tɬ i
24-9									i s t n
32-9									m i k i
51-9									o n i
52-9									w aː k k i
53-9									n a k a s
54-9									tɬ aː l l i
55-9									k w a
60-9									iː x t e l o l o
83-9									tɬ e tɬ
87-9									p a tɬ aː n i
92-9									m a k a
103-9									m a n
106-9									k a k i
138-9									n e h w a tɬ
139-9									m i k t i a
142-9									m a t i
145-9									m o t eː k a
176-9									t aː k a tɬ
179-9									n a k a tɬ
180-9									m eː ts tɬ i
186-9									k e tʃ
190-9									j a k tɬ
194-9									s eː
220-9									o h tɬ i
231-9									i t a
240-9									k o tʃ i
283-9									t e tɬ
293-9									i n i n
314-9									k w a w i tɬ
315-9									oː m e
322-9									t e h w a n
