COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i +								
2-1	k i + n e x + tɬ i								
8-1	w e t j i i								
16-1	e s + tɬ i								
24-1	i s t i								
32-1	m i k i								
51-1	o n +								
52-1	w aː k + tɬ								
53-1	n a k a s + tɬ i								
54-1	tɬ aː l i i								
55-1	k w a								
60-1	iː x + t i i o i oː + i								
83-1	tɬ i + tɬ								
87-1	p aː tɬ aː n i i								
92-1	m a k aː								
103-1	m aː								
106-1	k a k i								
138-1	n e ʔ a								
139-1	m i k i + t i a								
142-1	m a t i								
145-1	m o + t eː k a								
176-1	tɬ aː k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
186-1	k e tʃ + tɬ i								
190-1	j a k a + tɬ								
194-1	s eː								
220-1	o ʔ + i tɬ i i i								
231-1	t aː								
240-1	k o tʃ i								
283-1	t e + tɬ								
293-1	i n +								
314-1	k w aː w i + i tɬ								
315-1	oː m e i								
322-1	t e ʔ m e i t								
323-1	tɬ a i								
9-1	t oː t oː + tɬ								
17-1	o m i + tɬ								
22-1	tɬ aː t i aː t i								
30-1	w iː ts								
88-1	i Ø i								
158-1	w + + j a k +								
159-1	a t i m + tɬ								
177-1	m i j a k								
184-1	t oː k aː								
187-1	j a n k w i + k								
227-1	x aː l i +								
1-2		n u Ø i							
2-2		+ n i Ø r							
8-2		w e j							
16-2		e s + r i							
24-2		i s t i							
32-2		t i k i							
51-2		u n + i +							
52-2		w a k + t i k							
53-2		n a k a s							
54-2		r i l							
55-2		b w a							
60-2		i Ø r l u l u							
83-2		r i + r							
87-2		a r i n i							
92-2		t a k a							
103-2		t i j i							
106-2		k a k i							
138-2		n e h							
139-2		t i k + t i a							
142-2		t a t i							
145-2		t u + t e k a							
176-2		t i k a + t							
179-2		n a k a + r							
180-2		t e s + r i							
186-2		k e Ø							
190-2		j a k + t							
194-2		s e							
220-2		u h + t i							
231-2		i t a							
240-2		k u Ø i							
283-2		t e + r							
293-2		i n i +							
314-2		b w a i + r							
315-2		u t e							
322-2		t e h w e							
323-2		r e							
9-2		t u t u + t							
17-2		u t i + r							
22-2		r a r i a							
88-2		i Ø i							
158-2		w e j a k							
159-2		i t i n i t							
177-2		t i a k							
184-2		t u k							
187-2		j a n k w i + k							
227-2		i + Ø a l i							
1-3			m o tʃ i						
2-3			ʔ ʔ + n e x + ʔ i						
8-3			w eː j						
16-3			e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + iː						
52-3			w aː + + ʔ						
53-3			n a k a s						
54-3			t aː l i						
55-3			k w a						
60-3			iː x + t l o l o						
83-3			t i ʔ + t						
87-3			p a t aː n i						
92-3			m a k a						
103-3			m a						
106-3			k a k i						
138-3			n e h a						
139-3			m i t i a						
142-3			m a t i						
145-3			m o t eː k a +						
176-3			aː k a t						
179-3			n a k a + t						
180-3			m eː ts + t i						
186-3			k e tʃ +						
190-3			j a k a + t						
194-3			s eː						
220-3			o h t i						
231-3			i t a						
240-3			k o tʃ i						
283-3			ʔ ʔ ʔ t e + t						
293-3			i n + iː						
314-3			k w a h i + t						
315-3			oː m e						
322-3			t e h + w a						
323-3			t e ʔ ʔ						
9-3			t oː t oː + t						
17-3			o m i + t						
22-3			t a t i ʔ						
30-3			w i ts						
88-3			i Ø i						
158-3			w e j a ʔ						
159-3			a t i m + ʔ						
177-3			m i ʔ a k						
184-3			t oː k aː +						
187-3			j a n k w i + k						
227-3			+ x aː l i						
1-4				n o tʃ i					
2-4				k + n e x + tɬ i					
8-4				w e j i					
16-4				e s + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + t k					
53-4				n a k a s					
54-4				tɬ a l					
55-4				k w a					
60-4				i x + o					
83-4				tɬ i + tɬ i					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m o i					
106-4				k a k i					
138-4				n e h i					
139-4				m i k + t i a					
142-4				m a t i					
145-4				m o + t e k a					
176-4				t a k a + tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
186-4				k e tʃ i i					
190-4				j a k a + tɬ					
194-4				s e					
220-4				o h + tɬ i					
231-4				i t a					
240-4				k o tʃ i					
283-4				t e + tɬ					
293-4				i n + i					
314-4				k w a w i + tɬ					
315-4				o m e					
322-4				t e h m e n					
323-4				tɬ a i					
9-4				t o t o + tɬ					
17-4				o m i + tɬ					
30-4				w i ts					
88-4				Ø i					
158-4				w e j a k					
177-4				m i i a k i					
184-4				t o k					
187-4				j a n k w i + k					
227-4				i x a l					
1-5					m o Ø i				
2-5					k n e x + t i				
8-5					w e j i				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + i				
52-5					aː g + oː k				
53-5					n a g a s				
54-5					t aː h l i				
55-5					b a				
60-5					i x o o				
83-5					t i + t i				
87-5					p a t aː n i				
92-5					m a k a				
103-5					m a				
106-5					g a k i				
138-5					n e h a				
139-5					m i g + t i				
142-5					m a t i				
145-5					m o + t e k a				
176-5					aː k a + t				
179-5					n a g a + t				
180-5					m eː ts + t i				
186-5					g e x				
190-5					j a g + k				
194-5					s e				
220-5					o h + t i				
231-5					i t a				
240-5					g o Ø i				
283-5					t e + t				
