COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i +								
2-1	k i + n eː x + tɬ i								
8-1	w e j								
16-1	e s + tɬ i								
24-1	i s t i +								
32-1	m i k i								
51-1	+ + a n + +								
52-1	w aː k + tɬ								
53-1	n a k a s + tɬ i								
54-1	tɬ aː l i + + i								
55-1	k w aː + + +								
60-1	iː x + t oː oː +								
83-1	tɬ i + + tɬ								
87-1	tʃ aː tɬ aː n i								
92-1	m a k aː								
103-1	m aː								
106-1	k a k i								
138-1	n e a								
139-1	m i k + t i a + + +								
142-1	m a t i								
145-1	m o + t eː k a +								
176-1	tɬ a k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
186-1	k e tʃ + tɬ i								
190-1	j a k a + tɬ								
194-1	s eː								
220-1	o + tɬ i								
231-1	+ t aː								
240-1	k o tʃ i								
283-1	+ + t e + tɬ								
293-1	i n +								
314-1	k w aː w i + + i + tɬ								
315-1	oː m e								
322-1	t e m e n + + i + +								
323-1	tɬ a								
9-1	t oː t oː + tɬ								
17-1	o m i + tɬ								
22-1	tɬ aː t i + + i + + +								
30-1	w iː ts								
88-1	i Ø i								
158-1	w + j a k +								
159-1	aː t i m + tɬ								
177-1	m i j a k +								
184-1	t oː k a i								
187-1	j a n k w i + k								
227-1	x aː l i + + i								
235-1	m o + tɬ aː l i + + + + +								
249-1	tʃ k + tɬ i								
251-1	+ + m o + + + + k e ts a								
289-1	k w i tɬ a i l + + i +								
294-1	t e aː								
296-1	n e n e t i l + + i +								
313-1	tɬ aː n +								
316-1	n e + n e m i								
318-1	+ + + t o oː n i k								
320-1	aː + tɬ								
324-1	i s t + i								
326-1	aː k i								
1-2		n u Ø i							
2-2		+ n i Ø + t							
8-2		w e j i							
16-2		e s + t i							
24-2		i s t i							
32-2		t i k i							
51-2		u n + i + i							
52-2		w a k + t i k							
53-2		n a k a s							
54-2		t i l							
55-2		b w a							
60-2		i Ø r u u							
83-2		t i + t							
87-2		Ø a t i n i i							
92-2		t a k a							
103-2		t i i i							
106-2		k a k							
138-2		n e							
139-2		t i k + t i a							
142-2		t a t							
145-2		t u + t e k a							
176-2		t i k a + t							
179-2		n a k a + t							
180-2		t e s + t i							
186-2		k e Ø i							
190-2		j a k a + t							
194-2		s e							
220-2		u + i t i i i							
231-2		i t a							
240-2		k u Ø							
283-2		t e + t							
293-2		i n i +							
314-2		b w a i + t							
315-2		u t e i							
322-2		t e w e							
323-2		t e							
9-2		t u t u + t							
17-2		u t i + t							
22-2		t a r i a							
88-2		i Ø i							
158-2		w e j a k							
159-2		i t i n u + t							
177-2		t i a b							
184-2		t u k							
187-2		j a n b w i + b							
227-2		i + Ø a l							
235-2		t u + t a l i a							
249-2		Ø u k + t i							
289-2		b w i t a i i l							
294-2		t e a							
296-2		n e n e + i l							
313-2		t a n							
316-2		n e + n e t i							
318-2		t u t k n i k							
324-2		i s t a k							
326-2		i i							
1-3			n o tʃ i						
2-3			ʔ ʔ + n e x + ʔ i						
8-3			w eː j						
16-3			ʔ e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + i +						
52-3			w a k + t + k						
53-3			n a k a s						
54-3			t a l i						
55-3			k w a						
60-3			iː x + t o l o						
83-3			ʔ t iː + t ʔ						
87-3			p a ʔ a n i						
92-3			m a k a						
103-3			m a + ʔ						
106-3			k a k i						
138-3			n e h a						
139-3			m i k + t i a						
142-3			m a t i						
145-3			m o + t eː k a + +						
176-3			t a ʔ ʔ k a t						
179-3			n a k a + t						
180-3			m eː ts + t i						
186-3			k e tʃ + + + ʔ						
190-3			j a k a + ʔ						
194-3			s eː						
220-3			o h + t i						
231-3			i t a						
240-3			k o tʃ i						
283-3			ʔ + t e + t						
293-3			iː n + + iː						
314-3			k w a h i + t						
315-3			a m e						
322-3			t e h + w a						
323-3			t e ʔ ʔ ʔ						
9-3			t a t o + t						
17-3			o ʔ m i + t						
22-3			t a t						
30-3			w i ts						
88-3			i Ø i						
158-3			w e j a k						
159-3			a t i m + ʔ						
177-3			m i ʔ a k +						
184-3			t o k a + ʔ						
187-3			j a n k w i + k						
227-3			+ x a l i						
235-3			m o + ʔ a l i a +						
249-3			p o k + t i						
251-3			+ + m o + + + + + k e ts a						
289-3			k w i ʔ a p i l						
294-3			t e h a						
313-3			t a n ʔ						
316-3			n e h + n e m i						
318-3			t o t n i ʔ i						
320-3			a + t						
324-3			ʔ i s t ʔ ʔ a k						
326-3			a + k						
1-4				n o tʃ i					
2-4				+ n e x + tɬ i					
8-4				w e j i					
16-4				e s + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + t k					
53-4				n a k a s					
54-4				tɬ a l					
55-4				k w o					
60-4				i x +					
83-4				tɬ i + tɬ i					
87-4				tʃ a tɬ a n i					
92-4				m a k a					
103-4				m o					
106-4				k a k i					
138-4				n e +					
139-4				m i k + t i a					
142-4				m a t i					
145-4				m o + t e k a					
176-4				t a k a + tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
186-4				k e tʃ + i i					
190-4				j a k + tɬ i					
194-4				s e					
220-4				o w + tɬ i					
231-4				i t a					
240-4				k o tʃ i					
283-4				i t e + tɬ					
293-4				i n + i					
314-4				k w a w i + tɬ					
315-4				o m e					
322-4				t e w w e n					
323-4				tɬ a i					
9-4				t o t o + tɬ					
17-4				o m i + tɬ					
30-4				w i ts					
88-4				i Ø i +					
158-4				w e j a k					
177-4				m i j a k i					
184-4				t o k i					
187-4				j a n k w i + k					
227-4				x l					
235-4				m o + tɬ a l i a					
249-4				tʃ o k + tɬ i					
251-4				m o + k e ts a					
289-4				k w i tɬ a i l					
294-4				t e i +					
296-4				n e n e i l					
313-4				tɬ a n + o					
316-4				n e + n e m i					
318-4				t o t o n i k +					
320-4				a + tɬ					
324-4				i s t a k					
326-4				a k i					
1-5					o Ø i				
2-5					k n e x + t i				
8-5					w e j i				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + i				
