COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	Ø a b a			
222-1	aː b Ø b Ø n e			
208-1	a b u r b u d u			
962-1	a g u r n aː			
203-1	a g u d i n			
138-1	n z i l i			
504-1	Ø oː z n n a			
662-1	Ø Ø d aː			
478-1	Ø g oː Ø ɛ			
409-1	a r e			
410-1	g u n d i			
946-1	Ø a ŋ g u			
256-1	Ø aː l i			
622-1	n d u			
546-1	n d u			
547-1	z ɪ Ø a			
847-1	n ɪ n d ɪ g i			
95-1	b ɪ Ø i			
105-1	b i n n n i			
510-1	b e z a			
951-1	m b t m a r e			
1116-1	m b t m aː			
149-1	Ø u s i			
376-1	Ø aː l i			
815-1	g u r n n a			
453-1	Ø u ŋ i			
67-1	Ø i z i			
47-1	ɗ u Ø u Ø a			
869-1	Ø oː Ø a			
57-1	Ø aː g u			
303-1	g a s i a			
443-1	g i r ɛ			
884-1	g u n d i			
166-1	g u n d i			
918-1	a b ɪ r i			
616-1	b Ø e			
84-1	h u z ɪ l i			
346-1	h u h n l u			
601-1	s i g i			
177-1	Ø a Ø a n			
341-1	Ø u l a			
468-2		θ aː b a		
222-2		a b ɛ b Ø e		
208-2		a b o r b o d o		
962-2		a g o r θ a		
203-2		a g o d ə o		
138-2		n ʃ ə l i		
504-2		ɗ ɪ ʃ e a		
662-2		ɓ o d n a		
478-2		g ɪ ɗ a		
409-2		a r a		
410-2		g o n d ə		
946-2		ɓ n a ŋ g u		
256-2		ɓ n aː l a		
622-2		n d o		
546-2		n d o		
547-2		ʃ e f a		
847-2		n e n d i g e		
95-2		b e ɗ ə		
105-2		b e ɲ n n ə		
510-2		b ɪ ʃ a		
951-2		m b ə m a r a		
1116-2		m b ə m a		
149-2		ɓ n o u ə		
376-2		ɓ n e l ə		
815-2		g o r n a		
453-2		ɗ o ɲ a		
67-2		ɗ aː ʃ i		
47-2		d a g o l e θ a		
869-2		ɗ o θ a		
57-2		g aː g o		
303-2		g a u ə a		
443-2		g ɪ r ɛ		
884-2		g o n d ɪ		
166-2		g o n d ɪ		
918-2		a b a r a		
616-2		b iː a		
84-2		h o ʃ a l a		
346-2		h oː h u l a		
601-2		s i g ə		
177-2		g a f a n		
341-2		g o l a		
468-3			θ a b e	
222-3			a b ə b Ø ʔ i	
208-3			e b u r b u t u	
962-3			e g o r m e	
203-3			e g u t i ʔ	
138-3			m ʃ i l e	
504-3			ɗ o ʃ a n i	
662-3			ɓ uː t n n a	
478-3			l g o ɗ	
409-3			e r e	
410-3			g u n t i	
946-3			ɓ e ɲ g o	
256-3			ɓ ə l e	
622-3			n t u	
546-3			n t u	
547-3			ʃ a f e	
847-3			n a n t i g i	
95-3			b a ɗ i	
105-3			b a n i	
510-3			b o ʃ e	
951-3			m b ə m e r e	
1116-3			m b ə m e	
149-3			ɓ u s i	
376-3			ɓ a l i	
815-3			g o r m m e	
453-3			ɗ u n e	
67-3			ɗ ə ʃ e	
47-3			t u k u θ n n i	
869-3			ɗ u θ e	
57-3			k ə g u	
303-3			g a a s i e	
443-3			g r a	
884-3			g uː n t i	
166-3			g u n t i	
918-3			e b ɛ r e	
616-3			b iː e	
84-3			h o ʃ a l o	
346-3			h oː h o l u	
601-3			s i g i	
177-3			k e f e ɲ	
341-3			k o l e	
468-4				θ o b a
222-4				a b aː b Ø n
208-4				a b u r b u d u
962-4				a g o r ɛ
203-4				a g u d i a a
138-4				ʃ i l e
504-4				ɗ oː ʃ a a i
662-4				ɓ uː d a a i
478-4				g o ɗ i
409-4				a r e
410-4				g u n d i
946-4				ɓ a ŋ g o
256-4				ɓ aː l a
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n ɛ d i g i
95-4				b ɛ ɗ i
105-4				b a a i
510-4				b o ʃ a
951-4				m ɓ ə m a r e
1116-4				m b ə m a
149-4				ɓ u z ʔ i
376-4				ɓ a l i
815-4				g o r a
453-4				ɗ u ŋ a
67-4				ɗ aː ʃ e
47-4				ɗ o k o θ a a i
869-4				ɗ uː θ a
57-4				k aː g u
303-4				g a a z ʔ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d ɪ
918-4				a b aː r o
616-4				ɓ iː e
84-4				h o ʃ ɛ l a
346-4				h oː h u l u
601-4				z i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
