COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	Ø a b a			
222-1	a b o b o n o			
208-1	a b u ɾ b u ɗ u			
962-1	a g o ɾ Ø e			
203-1	a g u ɗ i o			
138-1	o ʃ i l e			
504-1	ɗ Ø ʃ o o a			
662-1	Ø Ø ɗ a			
478-1	o g o ɗ a			
409-1	a ɾ o			
410-1	g u n ɗ i			
256-1	Ø Ø Ø l e			
622-1	n ɗ u			
546-1	n ɗ u			
547-1	ʃ e Ø a o			
847-1	n e n ɗ e g e			
95-1	b e ɗ i			
105-1	b Ø Ø Ø Ø i			
510-1	b o ʃ a			
951-1	m b o m a ɾ o			
1116-1	m b o m a			
149-1	Ø Ø o Ø Ø i			
376-1	Ø Ø Ø l i			
815-1	Ø o ɾ o o a			
453-1	ɗ o Ø e			
67-1	ɗ Ø ʃ e			
47-1	ɗ o k Ø o Ø a			
869-1	ɗ Ø Ø a			
57-1	k Ø g u			
303-1	g a Ø Ø i a			
443-1	g eː ɾ a			
884-1	g o n ɗ e			
166-1	g u n ɗ i			
918-1	a b e ɾ e			
831-1	Ø Ø o ʃ e			
616-1	b eː o			
84-1	Ø o ʃ e l e			
346-1	Ø o Ø o l u			
601-1	Ø i g i			
177-1	k Ø a Ø a o			
341-1	k Ø o l a			
1066-1	Ø e n Ø Ø e Ø a			
318-1	Ø e ʃ i			
241-1	m Ø o ʃ Ø			
556-1	Ø a n ɗ u Ø u			
191-1	Ø Ø e m b Ø e l			
458-1	a Ø Ø i Ø Ø i			
1-1	Ø a n Ø i ɾ			
751-1	ɾ o			
864-1	a ɲ o n i			
154-1	a m a n Ø i			
278-1	a m i l o o o			
766-1	ʃ Ø ɾ a			
251-1	a g Ø ɾ u			
582-1	o Ø o Ø			
6-1	a l i			
1106-1	Ø g o			
473-1	Ø e n o			
1111-1	Ø a l u			
957-1	m a ɾ o			
41-1	b Ø d			
24-1	Ø Ø			
25-1	Ø Ø ɾ o			
879-1	a b a ɾ a b e Ø			
837-1	m Ø Ø i			
233-1	Ø Ø Ø Ø e Ø o			
938-1	Ø Ø u l a			
369-1	a ɾ o			
946-1	Ø a Ø g Ø			
889-1	Ø Ø Ø l e			
820-1	Ø Ø Ø ɾ e d			
438-1	n Ø Ø n e			
283-1	Ø a n Ø Ø Ø ɾ o			
52-1	d Ø Ø Ø			
842-1	Ø o ɲ o ʃ a			
110-1	Ø Ø Ø Ø Ø ɾ i			
165-1	m a			
