ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
644	160_bertaknife	Berta knife	Maiyu	Maiyu	handʒir	handʒir	h a n dʒ i r	mayu1240	10.473464	34.540485	Berta	3 7 4 1 7 5	AXMBYN	HANTIR	3	3.H.C 3.A.V 3.N.c 3.T.C 3.I.V 3.R.c	2.0 1.5 1.1 1.75 1.3 0.8	handʒir	0	1
645	160_bertaknife	Berta knife	Fadashi	Fadashi	haɳ͡ dʒir	haɳ͡_dʒir	h a ɳ dʒ i r	fada1248	9.585863	34.677096	Berta	3 7 4 1 7 5	AXMBYN	HANTIR	2	2.H.C 2.A.V 2.N.c 2.T.C 2.I.V 2.R.c	2.0 1.5 1.1 1.75 1.3 0.8	haɳdʒir	0	1
646	160_bertaknife	Berta knife	Undulu	Undulu	haŋːhir	haŋːhir	h a ŋː h i r	undu1236	10.314359	34.778879	Berta	3 7 4 3 7 5	AXMBYN	HANHIR	4	4.H.C 4.A.V 4.N.c 4.H.C 4.I.V 4.R.c	2.0 1.5 1.1 1.75 1.3 0.8	haŋːhir	0	1
647	160_bertaknife	Berta knife	BelejeGonfoye	Beleje Gonfoye	haɲgɪri	haɲgɪri	h a ɲ g ɪ r i		9.097105	36.203337	Berta	3 7 4 1 7 5 7	AXMBYBZ	HANKIRI	1	1.H.C 1.A.V 1.N.c 1.K.C 1.I.V 1.R.C 1.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	haɲgɪri	0	1
782	194_i1sg	I (1sg)	Maiyu	Maiyu	ali	ali	a l i	mayu1240	10.473464	34.540485	Berta	7 5 7	XBZ	ALI	3	3.A.V 3.L.C 3.I.V	1.5 1.75 0.8	ali	0	6
783	194_i1sg	I (1sg)	Fadashi	Fadashi	ali	ali	a l i	fada1248	9.585863	34.677096	Berta	7 5 7	XBZ	ALI	2	2.A.V 2.L.C 2.I.V	1.5 1.75 0.8	ali	0	6
784	194_i1sg	I (1sg)	Undulu	Undulu	ali	ali	a l i	undu1236	10.314359	34.778879	Berta	7 5 7	XBZ	ALI	4	4.A.V 4.L.C 4.I.V	1.5 1.75 0.8	ali	0	6
785	194_i1sg	I (1sg)	BelejeGonfoye	Beleje Gonfoye	ali	ali	a l i		9.097105	36.203337	Berta	7 5 7	XBZ	ALI	1	1.A.V 1.L.C 1.I.V	1.5 1.75 0.8	ali	0	6
81	20_thursday	Thursday	Maiyu	Maiyu	al hamís	al_hamís	a l + h a m í/i s	mayu1240	10.473464	34.540485	Berta	7 5 9 3 7 4 7 3	XN_AXBYN	AL_HAMIS	3	3.A.V 3.L.c 3._._ 3.H.C 3.A.V 3.M.C 3.I.V 3.S.c	1.5 0.8 0.0 2.0 1.5 1.75 1.3 0.8	al+hamí/is	0	14 13
82	20_thursday	Thursday	Fadashi	Fadashi	alhamís	alhamís	a l h a m í/i s	fada1248	9.585863	34.677096	Berta	7 5 3 7 4 7 3	XMBYBYN	ALHAMIS	2	2.A.V 2.L.c 2.H.C 2.A.V 2.M.C 2.I.V 2.S.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	alhamí/is	0	13
83	20_thursday	Thursday	Undulu	Undulu	alhamís	alhamís	a l h a m í/i s	undu1236	10.314359	34.778879	Berta	7 5 3 7 4 7 3	XMBYBYN	ALHAMIS	4	4.A.V 4.L.c 4.H.C 4.A.V 4.M.C 4.I.V 4.S.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	alhamí/is	0	13
84	20_thursday	Thursday	BelejeGonfoye	Beleje Gonfoye	laːri kəmɪso	laːri_kəmɪso	l aː r i + k ə m ɪ s o		9.097105	36.203337	Berta	5 7 5 7 9 1 7 4 7 3 7	AXBZ_AXBYBZ	LARI_KEMISU	1	1.L.C 1.A.V 1.R.C 1.I.V 1._._ 1.K.C 1.E.V 1.M.C 1.I.V 1.S.C 1.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8	laːri+kəmɪso	0	11 12
