COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l aː b a			
222-1	a b a b ɔ ʔ i			
208-1	a b u r b u d u			
962-1	a g o r a			
203-1	a g u d i ʔ o			
138-1	ʃ i l e			
504-1	ɗ o s ɛ n e			
662-1	ɓ u d ɛ n e			
478-1	g o ɗ e			
409-1	a r e			
410-1	g u n d i			
256-1	ɓ aː l e			
622-1	n d u			
546-1	n d u			
547-1	ʃ ɛ w a			
847-1	n ɛ d i g i			
95-1	b ə ɗ i			
105-1	b ɛ ɲ i			
510-1	b o s a			
951-1	m b ə m a r e			
1116-1	m b ə m a			
149-1	ɓ u tʃ ʔ i			
376-1	ɓ ə l i			
815-1	g o r a			
453-1	ɗ uː ɲ e			
67-1	ɗ aː s e			
47-1	d o k o l ɛ n e			
869-1	ɗ uː l a			
57-1	k aː g u			
303-1	k ʔ ɛ tʃ ʔ i a			
443-1	g e r a			
884-1	g u n d i			
166-1	g u n d u			
918-1	a b a r e			
831-1	h aː s e			
616-1	b iː e			
84-1	h o s a l e			
346-1	h oː h o l o			
601-1	dʒ i g i			
177-1	k ʔ a w a			
341-1	k ʔ o l a			
1066-1	w ɛ n t e ɲ e			
318-1	u w e s i			
241-1	m aː s iː s o			
556-1	h a n d u			
191-1	b ɪ mː b i l			
458-1	a s ʔ i s ʔ e			
1-1	h a ɲ g ɪ r i			
751-1	r o			
864-1	a ŋ o n ɛ n e			
154-1	a ʔ m ɛ n dʒ i			
278-1	m i l o ʔ i			
766-1	s oː r e			
251-1	a g u r u			
582-1	o ʔ o ɲ e			
6-1	a l i			
1106-1	n g o			
473-1	ɪ nː e			
1111-1	h a l u			
957-1	m a r e			
41-1	b i e			
24-1	s i			
25-1	lː a r e			
879-1	a b a r a b ɛ t i			
837-1	m aː s i			
233-1	ɓ i ɓ i o			
938-1	ɓ u l ei̯ a n e			
369-1	a r e			
946-1	ɓ a ŋ g o			
889-1	ɓ iː l o			
820-1	a s o r i			
438-1	n d ɛ nː e			
283-1	a n tʃ ʔ ɛ r e			
52-1	d oː ʃ i			
842-1	ɗ o ŋ o s e			
110-1	k ʔ i d e ɾ e			
165-1	m a			
1007-1	ɪ ŋ g o l e			
1088-1	h o s a l e			
1087-1	ɪ ŋ g o l e			
702-1	iː l e			
536-1	k ʔ eː t e			
694-1	n d ə			
468-2		θ a b a		
222-2		a b ɔ b ɔ n e		
208-2		a b u r b u d u		
962-2		a g o r a		
203-2		a g u d i		
138-2		ʃ ɪ l e		
504-2		ɗ oː ʃ a		
662-2		ɓ ʊː d a		
478-2		eː g oː ɗ a		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a ʔ		
847-2		n ɛ n d ɛ g i		
95-2		b ɛ ɗ i		
105-2		b ɪ n i		
510-2		b o ʃ a		
951-2		m b ə m a r e		
1116-2		m b ə m a		
149-2		ɓ u s ʔ i		
376-2		ɓ a l i		
815-2		k o r a		
453-2		ɗ u ɲ e		
67-2		ɗ aː ʃ e		
47-2		ɗ o k o θ a		
869-2		ɗ oː θ a		
57-2		k aː g u		
303-2		g a s ʔ i a		
443-2		g ɛː r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b ɛ r e		
831-2		h aː ʃ e		
616-2		ɓ aːi̯ e		
84-2		h o ʃ ɛ l e		
346-2		h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n s i ŋ a		
318-2		f eː s i		
241-2		m aː ʃ o		
556-2		h a n d u ŋ u		
191-2		ɓ ɛ m b ɛ l		
458-2		a s ʔ i s ʔ i		
1-2		h a ɳ dʒ i r		
751-2		r o		
864-2		a ŋ o n i		
154-2		a m a n z i		
278-2		a m i l u ʔ a		
766-2		ʃ oː r a		
251-2		a g uː r u		
582-2		o ʔ o ŋ		
6-2		a l i		
1106-2		n g o		
473-2		ɲ i n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b eː		
24-2		s iː		
25-2		θ aː r e		
879-2		a b a r a b ɛ t		
566-2		a n f a n f o r o s ʔ		
742-2		a g o		
1044-2		ʃ ɪ m b i l		
13-2		a l h a m i s		
720-2		aː s ɛ l a		
837-2		m aː ʃ i		
233-2		b i b i y o		
938-2		ɓ u l a		
369-2		a r e		
946-2		ɓ a ŋ g o		
889-2		ɓ eː l e		
820-2		aː ʃ o r e		
405-2		b ə d e		
134-2		ɓ ə ɗ i ʔ i		
1078-2		m e h i		
429-2		b o ŋ o ʃ		
187-2		b u s ʔ i k e		
438-2		n d ɛ n e		
385-2		m ə k ʔ o ʃ		
283-2		a n s aː r e		
390-2		a bː a		
783-2		m aː r a		
842-2		ɗ o ŋ o ʃ a		
110-2		tʃ ʔ ɪ d ɛ r i		
650-2		k ʔ o ʃ		
91-2		g a l a s i		
668-2		w ɛ lː a		
777-2		g i n d aː l i a		
728-2		s i ʔ i		
165-2		m a		
1007-2		ɪ ŋ g o l e		
1087-2		ɪ ŋ g o l e		
894-2		iː s ʔ u		
536-2		k eː d e		
694-2		n d ə		
468-3			θ a b a	
222-3			a b ɔ b ɔ n e	
208-3			a b u r b u d u	
962-3			a g ɔ r θ e	
203-3			a g u d i	
138-3			ʃ i l i	
504-3			ɗ ɔː ʃ a	
662-3			p ʊː d a	
478-3			g ɔ ɗ a	
409-3			a r e	
410-3			g u n d i	
256-3			p ʔ aː l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a	
847-3			n ɛ n d i g i	
95-3			b ɛ ɗ i	
105-3			b ɪ ɲ ɛ n i	
510-3			b ɔ ʃ a	
951-3			m a r e	
1116-3			m b ə	
149-3			p ʔ ʊ s ʔ i	
376-3			p ʔ aː l i	
815-3			g ɔ r a	
453-3			ɗ aː ŋ a	
67-3			ɗ ɛ ʃ i	
47-3			ɗ ɔ k ʔ ɔ θ a	
869-3			ɗ ʊː θ a	
57-3			k aː g u	
303-3			g a s ʔ i a	
443-3			g eː r a	
884-3			g ʊ n d i	
166-3			g u n d i	
918-3			a b a r o	
831-3			h aː ʃ i	
616-3			b iː e	
84-3			h ɔ ʃ ə l a	
346-3			h u h u l u	
601-3			s ɪ g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f e n s ʔ i ŋ a	
318-3			f e ʃ a	
241-3			m aː ʃ ũ	
556-3			h a n d u ŋ u	
191-3			p ʔ ɪ mː p ʔ i l	
458-3			a s ʔ i s ʔ i	
1-3			h a n dʒ i r	
751-3			r ɔ	
864-3			a ŋ ɔ n a	
154-3			a m a n z i	
278-3			a m i l o	
