COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l aː b a			
222-1	a b a b ɔ ʔ i			
208-1	a b u r b u d u			
962-1	a g o r a			
203-1	a g u d i ʔ o			
138-1	ʃ i l e			
504-1	ɗ o s ɛ n e			
662-1	ɓ u d ɛ n e			
478-1	g o ɗ e			
409-1	a r e			
410-1	g u n d i			
946-1	ɓ a ŋ g o			
256-1	ɓ aː l e			
622-1	n d u			
546-1	n d u			
547-1	ʃ ɛ w a			
847-1	n ɛ d i g i			
95-1	b ə ɗ i			
105-1	b ɛ ɲ i			
510-1	b o s a			
951-1	m b ə m a r e			
1116-1	m b ə m a			
149-1	ɓ u tʃ ʔ i			
376-1	ɓ ə l i			
815-1	g o r a			
453-1	ɗ uː ɲ e			
67-1	ɗ aː s e			
47-1	d o k o l ɛ n e			
869-1	ɗ uː l a			
57-1	k aː g u			
303-1	k ʔ ɛ tʃ ʔ i a			
443-1	g e r a			
884-1	g u n d i			
166-1	g u n d u			
918-1	a b a r e			
616-1	b iː e			
84-1	h o s a l e			
346-1	h oː h o l o			
601-1	dʒ i g i			
177-1	k ʔ a w a			
341-1	k ʔ o l a			
468-2		θ a b a		
222-2		a b ɔ b ɔ n e		
208-2		a b u r b u d u		
962-2		a g o r a		
203-2		a g u d i		
138-2		ʃ ɪ l e		
504-2		ɗ oː ʃ a		
662-2		ɓ ʊː d a		
478-2		eː g oː ɗ a		
409-2		a r e		
410-2		g u n d i		
946-2		ɓ a ŋ g o		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a ʔ		
847-2		n ɛ n d ɛ g i		
95-2		b ɛ ɗ i		
105-2		b ɪ n i		
510-2		b o ʃ a		
951-2		m b ə m a r e		
1116-2		m b ə m a		
149-2		ɓ u s ʔ i		
376-2		ɓ a l i		
815-2		k o r a		
453-2		ɗ u ɲ e		
67-2		ɗ aː ʃ e		
47-2		ɗ o k o θ a		
869-2		ɗ oː θ a		
57-2		k aː g u		
303-2		g a s ʔ i a		
443-2		g ɛː r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b ɛ r e		
616-2		ɓ aːi̯ e		
84-2		h o ʃ ɛ l e		
346-2		h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
468-3			θ a b a	
222-3			a b ɔ b ɔ n e	
208-3			a b u r b u d u	
962-3			a g ɔ r θ e	
203-3			a g u d i	
138-3			ʃ i l i	
504-3			ɗ ɔː ʃ a	
662-3			p ʊː d a	
478-3			g ɔ ɗ a	
409-3			a r e	
410-3			g u n d i	
946-3			p ʔ a g u	
256-3			p ʔ aː l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a	
847-3			n ɛ n d i g i	
95-3			b ɛ ɗ i	
105-3			b ɪ ɲ ɛ n i	
510-3			b ɔ ʃ a	
951-3			m a r e	
1116-3			m b ə	
149-3			p ʔ ʊ s ʔ i	
376-3			p ʔ aː l i	
815-3			g ɔ r a	
453-3			ɗ aː ŋ a	
67-3			ɗ ɛ ʃ i	
47-3			ɗ ɔ k ʔ ɔ θ a	
869-3			ɗ ʊː θ a	
57-3			k aː g u	
303-3			g a s ʔ i a	
443-3			g eː r a	
884-3			g ʊ n d i	
166-3			g u n d i	
918-3			a b a r o	
616-3			b iː e	
84-3			h ɔ ʃ ə l a	
346-3			h u h u l u	
601-3			s ɪ g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
468-4				θ a b a
222-4				aː b ɔ b ɔ ʔ i
208-4				a b u r b u d u
962-4				a g o r θ a
203-4				a g u d i ʔ
138-4				a ʃ i l e
504-4				ɗ oː ʃ ɛ f a
662-4				ɓ uː d aː
478-4				g oː ɗ e
409-4				a r e
410-4				g u n d i
946-4				ɓ a ŋ g o
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a ʔ
847-4				ə n d ɪ g e
95-4				b ɛ ɗ i
105-4				b ɛ n i
510-4				b oː ʃ a
951-4				m b ə m a r e
1116-4				m b u m a
149-4				ɓ u s ʔ i
376-4				ɓ ɛ l i
815-4				g o r a f a
453-4				ɗ u ɲ e
67-4				ɗ a ʃ e
47-4				d u k u θ a
869-4				ɗ uː θ a
57-4				g aː g u
303-4				g a s ʔ i a
443-4				g ɛː r e
884-4				g uː n d o
166-4				g u n d i
918-4				a b ɛ r e
616-4				b iː e
84-4				h o ʃ a l a
346-4				h oː h o l u
601-4				z i g i
177-4				k ʔ a f a ŋ
341-4				k ʔ o l a
