COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	Ø a b a			
222-1	a b Ø b Ø n e			
208-1	a b u r b u d u			
962-1	a g u r n a			
203-1	a g u d i n			
138-1	n z i l i			
504-1	ɗ oː z n n a			
662-1	ɓ Ø d a			
478-1	Ø g oː ɗ a			
409-1	a r e			
410-1	g u n d i			
946-1	ɓ ʔ a ŋ g u			
256-1	ɓ ʔ aː l i			
622-1	n d u			
546-1	n d u			
547-1	z ɪ Ø a			
847-1	n ɪ n d i g i			
95-1	b ɪ ɗ i			
105-1	b i n n n i			
510-1	b u z a			
951-1	m b t m a r e			
468-2		θ aː b a		
222-2		a b a b Ø ʔ e		
208-2		a b u r b u d u		
962-2		a g o r θ a		
203-2		a g u d i ʔ u		
138-2		n ʃ i l i		
504-2		ɗ ɪ ʃ ɛ u a		
662-2		b u d u u a		
478-2		g ɪ ɗ a		
409-2		a r e		
410-2		g u n d i		
946-2		b n a ŋ g u		
256-2		b n aː l a		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ n d i g i		
95-2		b ɛ ɗ i		
105-2		b ɛ ɲ n n i		
510-2		b ɪ ʃ a		
951-2		m b ə m a r e		
468-3			θ a b a	
222-3			a b a b Ø ʔ i	
208-3			a b u r b u d u	
962-3			a g o r a a	
203-3			a g u d i ʔ	
138-3			a ʃ i l e	
504-3			ɗ o ʃ ɛ u a	
662-3			ɓ uː d u u a	
478-3			l g o ɗ a	
409-3			a r e	
410-3			g u n d i	
946-3			ɓ a ŋː g o	
256-3			ɓ aː l e	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			u ɛ n d i g i	
95-3			b ɛ ɗ i	
105-3			b ɛ n i	
510-3			b o ʃ a	
951-3			m b u m a r e	
468-4				θ a b a
222-4				a b aː b Ø n
208-4				a b u r b u d u
962-4				a g o r ɛ
203-4				a g u d i a
138-4				ʃ i l e
504-4				ɗ oː ʃ a a a
662-4				ɓ u d a a a
478-4				g o ɗ a
409-4				a r e
410-4				g u n d i
946-4				ɓ a ŋ g u
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a ʔ
847-4				n ɛ d i g i
95-4				b ɛ ɗ i
105-4				b ɛ a i
510-4				b o ʃ a
951-4				m b ə m a r e
