COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	θ a b a			
222-1	a b ɔ b ɔ n e			
208-1	a b u r b u d u			
962-1	a g o r θ a			
203-1	a g u d i			
138-1	ʃ i l e			
504-1	ɗ oː ʃ a			
662-1	ɓ ʊː d a			
478-1	g oː ɗ a			
409-1	a r e			
410-1	g u n d i			
256-1	ɓ aː l e			
622-1	n d u			
546-1	n d u			
547-1	ʃ ɛ f a ʔ			
847-1	n ɛ n d ɪ g i			
95-1	b ɛ ɗ i			
105-1	b ɛ n i			
510-1	b oː ʃ a			
951-1	m b ə m a r e			
1116-1	m b ə m a			
149-1	ɓ u s ʔ i			
376-1	ɓ aː l i			
815-1	g o r a			
453-1	ɗ u ɲ e			
67-1	ɗ a ʃ e			
47-1	ɗ u k u θ a			
869-1	ɗ uː θ a			
57-1	k aː g u			
303-1	g a s ʔ i a			
443-1	g ɛː r a			
884-1	g ʊ n d i			
166-1	g u n d i			
918-1	a b ɛ r e			
831-1	h aː ʃ ʃ			
616-1	b iː e			
84-1	h o ʃ a l a			
346-1	h u h o l u			
601-1	s i g i			
177-1	k ʔ a f a			
341-1	k ʔ o l a			
1066-1	f ɛ n s e i ŋ a			
318-1	f ɛ ʃ i			
241-1	m aː ʃ ʃ			
556-1	h a n d u ŋ u			
191-1	ɓ ɪ m ɓ ɪ l			
458-1	a s ʔ i s ʔ i			
1-1	h a ŋː dʒ i r			
751-1	r o			
864-1	a ŋ o n i			
154-1	a m a n z i			
278-1	a m i l u ʔ			
766-1	ʃ oː r a			
251-1	a g uː r u			
582-1	u ʔ u ŋ			
6-1	a l i			
1106-1	ɲ g o			
473-1	ɲ i n e			
1111-1	h a θ u			
957-1	m a r e			
41-1	b i e			
24-1	s iː			
25-1	θ aː r e			
879-1	a b a r ə b ɛ d			
837-1	m aː ʃ i			
233-1	p ʔ iː p i o			
938-1	p ʔ u l a			
369-1	a r e			
946-1	ɓ a ŋ g o			
889-1	p ʔ eː l a			
820-1	aː ʃ o r e n			
438-1	n d ɪ n e			
468-2		θ a b a		
222-2		a b ɔ b ɔ ʔ i		
208-2		a b u r b u d u		
962-2		a g o r θ a		
203-2		a g u d i ʔ		
138-2		ʃ i l e		
504-2		ɗ oː ʃ ɛ f a		
662-2		ɓ uː d aː		
478-2		g oː ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ n d i g i		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b oː ʃ a		
951-2		m b ə m a r e		
1116-2		m b ə m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ɛ l i		
815-2		g o r a		
453-2		ɗ u ɲ e		
67-2		ɗ a ʃ e		
47-2		d u k u θ a		
869-2		ɗ uː θ a		
57-2		k aː g u		
303-2		g a s ʔ i a		
443-2		g ɛː r a		
884-2		g uː n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː n ʃ		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h o l u		
601-2		z i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n t e ŋ i		
318-2		f e ʃ i		
241-2		m aː n ʃ o		
556-2		h a n d u ŋ u		
191-2		ɓ ɪ mː ɓ i l		
458-2		a s ʔ i s ʔ i		
1-2		h a ŋː h i r		
751-2		r o		
864-2		a ŋ o n i		
154-2		a m a n z i		
278-2		a m i l o ʔ i		
766-2		ʃ oː r a		
251-2		a g uː r u		
582-2		u ʔ u ɲ		
6-2		a l i		
1106-2		ɲ g o		
473-2		ɪ nː e		
1111-2		h a θ u		
957-2		m a r e		
41-2		b i e		
24-2		s i		
25-2		lː a r e		
879-2		a b a r a b ɛ t i		
566-2		aː w a w o r e s ʔ		
742-2		a g o ʔ		
1044-2		ʃ i m b i l u		
13-2		a l h a m i s		
720-2		aː s ɛ l a ʔ		
837-2		m aː ʃ i		
233-2		ɓ i ɓ i o		
938-2		ɓ u l ei̯ a n e		
369-2		a r e		
946-2		ɓ a ŋ g o		
889-2		ɓ iː l o		
820-2		aː ʃ o r e n		
405-2		b ə d e		
134-2		ɓ ə ɗ i ʔ e		
1078-2		m ɪ h i		
429-2		b o ŋ k o ʃ		
187-2		b ɪ s k ʔ e		
438-2		n d ɪ n e		
468-3			θ a b a	
222-3			a b ɔ b ɔ ʔ i	
208-3			a b u r b u d u	
962-3			a g o r a	
203-3			a g u d i ʔ	
138-3			ʃ i l e	
504-3			ɗ oː ʃ ɛ f a	
662-3			ɓ uː d aː	
478-3			g oː ɗ e	
409-3			a r e	
410-3			g u n d i	
256-3			ɓ aː l e	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n ɛ d ɪ g i	
95-3			b ɛ ɗ i	
105-3			b ɛ n i	
510-3			b o ʃ a	
951-3			m b ə m a r e	
1116-3			m b ə m a	
149-3			ɓ u s ʔ i	
376-3			ɓ ɛ l i	
815-3			g o r a	
453-3			ɗ u ɲ e	
67-3			ɗ aː ʃ e	
47-3			d o k o θ a	
869-3			ɗ uː θ a	
57-3			k aː g u	
303-3			g a s ʔ i a	
443-3			g ɛː r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b ɛ r e	
831-3			h aː ʃ e	
616-3			b iː e	
84-3			h o ʃ a l e	
346-3			h oː h o l u	
601-3			z i g i	
177-3			k ʔ a f a	
341-3			k ʔ o l a	
1066-3			f ɛ n t e ŋ i	
318-3			f ɛ s i	
241-3			m aː n ʃ o	
556-3			h a n d u ŋ u	
191-3			ɓ ɪ m b ɪ l	
458-3			a s ʔ i s ʔ i	
1-3			h a ŋː h i r	
751-3			r o	
864-3			a ŋ o n i	
154-3			a m a n z i	
278-3			a m i l u ʔ i	
