COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468	l aː b a	θ a b a	θ a b a	θ a b a
41	b i e	b eː		b i e
24	s i	s iː	s iː	
25	lː a r e	θ aː r e	θ aː r e	
879	a b a r a b ɛ t i	a b a r a b ɛ t	a b a r ə b ɛ d	
222	a b a b ɔ ʔ i	a b ɔ b ɔ n e	a b ɔ b ɔ n e	aː b ɔ b ɔ ʔ i
632	a b u lː u		a b u l d u	
633		k o r o m b o		a g o r o m b o
208	a b u r b u d u	a b u r b u d u	a b u r b u d u	a b u r b u d u
124			a ŋ	g a ŋ
566		a n f a n f o r o s ʔ	a f a ɲ f a r a s ʔ	aː w a w o r e s ʔ
396			a g o ŋ g o r	a g o ŋ h o r
962	a g o r a	a g o r a	a g ɔ r θ e	a g o r θ a
742		a g o	aː g u	a g o ʔ
203	a g u d i ʔ o	a g u d i	a g u d i	a g u d i ʔ
804	ɛ l e n o l o	ɛ l e n e l o		
138	ʃ i l e	ʃ ɪ l e	ʃ i l i	a ʃ i l e
1044		ʃ ɪ m b i l	ʃ i m b i l	ʃ i m b i l u
1001		ʃ i ɲ	ʃ i ŋ	
353			f i l	a l f i l
351	m e t ɪ k eː	m ɛ d e g e		
13		a l h a m i s	h a m i s	a l h a m i s
129		s uː w a ʔ i	s ʔ ʊ w i	
1057		ʃ ɛ b o r o	ʃ ɛ b a r o	
720		aː s ɛ l a	aː s ɛ l a	aː s ɛ l a ʔ
689		a l w a r ə g a	w a r g a	
612		a mː a	a mː a	
811		n ɛ b e nː a		h ɛ b e n a
504	ɗ o s ɛ n e	ɗ oː ʃ a	ɗ ɔː ʃ a	ɗ oː ʃ ɛ f a
924		s ʔ oː b i	s ʔ ɛ b i	
272		aː m i l e	a m i l u	
326		aː m oː s o	a m ɔː z o	
837	m aː s i	m aː ʃ i		m aː ʃ i
233	ɓ i ɓ i o	b i b i y o	p ʔ iː p i o	
234		m i s e		m ɪ s e ʔ
662	ɓ u d ɛ n e	ɓ ʊː d a	p ʊː d a	ɓ uː d aː
938	ɓ u l ei̯ a n e	ɓ u l a	p ʔ u l a	
478	g o ɗ e	eː g oː ɗ a	g ɔ ɗ a	g oː ɗ e
715		r ɛ g i s ʔ e	r i g i s ʔ i ŋ a	
369	a r e	a r e	a r e	
370		a r e ʔ o l o		a r o ʔ o l o
409	a r e	a r e	a r e	a r e
410	g u n d i	g u n d i	g u n d i	g u n d i
993		m ɛ n ɗ a ʃ i		m e n ɗ ɛ ʃ i
946	ɓ a ŋ g o	ɓ a ŋ g o		ɓ a ŋ g o
256	ɓ aː l e	ɓ aː l e	p ʔ aː l a	ɓ aː l e
531		m ə r i ɛ n e		m ə r i ɛ n e
889	ɓ iː l o	ɓ eː l e	p ʔ eː l a	
709		a ʃ iː b a	a ʃ iː b a	
708		g u ɗ u b a		g u ɗ u b i
1022		ʃ ɪ m b i r a	a ʃ ɪ m b r i ŋ a	
820	a s o r i	aː ʃ o r e		aː ʃ o r e n
622	n d u	n d u	n d u	n d u
546	n d u	n d u	n d u	n d u
547	ʃ ɛ w a	ʃ ɛ f a ʔ	ʃ ɛ f a	ʃ ɛ f a ʔ
847	n ɛ d i g i	n ɛ n d ɛ g i	n ɛ n d i g i	ə n d ɪ g e
405		b ə d e	b ə d a	b ə d e
95	b ə ɗ i	b ɛ ɗ i	b ɛ ɗ i	b ɛ ɗ i
116		s u k u l i ŋ e		s u k u θ i ŋ e
134		ɓ ə ɗ i ʔ i	p ʔ a ɗ i ʔ i	ɓ ə ɗ i ʔ e
491		b o n e	b ə n a	
