COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	ɣ d o ŋ						
514-1	m i k						
464-1	s̪ n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ ɜ						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ o ɑ						
205-1	p r̪ ɜ t̪ b ɜ						
1089-1	l ɜ x ɾ l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɜ x p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪ i ŋ						
269-1	ɾ r̪ ɜ q						
1512-1	l̪ tɕ i n̪						
555-1	ɾ gʲ ɜ k b ɜ						
751-1	n̪ ɜ ŋ						
439-1	ɾ g o						
601-1	ɕ i ŋ						
320-1	ɾ ɜ ŋ m ɜ						
1106-1	b u n̪ s̪						
693-1	h ɜ s̪ o ŋ ɑ						
221-1	s̪ k ɜ r̪ ɜ						
1199-1	t̪ʰ ɜ q p ɑ						
1424-1	s̪ k u t̪ b ɑ						
904-1	l dð o n̪						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɑ						
1127-1	tɕʰ ɜ r̪ s̪ ɑ						
1529-1	d̪ʲ u						
1175-1	ɾ gʲ ɛ m tθ o						
383-1	s̪ i l						
820-1	d̪ o k						
1636-1	r̪ u ŋ						
1331-1	ʊ ɾ e u ɑ						
1097-1	l ɜ m						
1223-1	b ɜ ŋ ɑ						
592-1	m ɑ						
1290-1	d̪ʲ u t̪ b ɜ						
669-1	s̪ ɛ ɾ						
1472-1	s̪ t̪ ɜ s̪ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m ɜ n̪ d o q						
844-1	ɑ m						
879-1	kʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ɜ r̪ m ɜ						
1480-1	j u ŋ						
653-1	ɾ g o k b ɑ						
1081-1	ts̪ o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɑ						
539-1	tθʰ i l						
610-1	ŋ ɑ						
350-1	b ɜ ŋ m o						
871-1	o ŋ m ɑ						
