COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z ɔ n ə			
2054-1	d ɔ n d r			
1375-1	l ɪ x t			
760-1	w ɪ n d			
756-1	s n eː			
726-1	m oː r ə r			
1351-1	x r ɑ n p d aː t r r			
1353-1	x r ɑ n + m ɔ r ə r			
412-1	v ɛ r ʉ + r + aː l w			
406-1	s w iː ɣ + r + m oː l w			
1005-1	s t iː p + v ɑ r ə r			
1012-1	s t iː p + m ɔ r ə r			
1016-1	w ɪ d x ə r			
1069-1	ɪ k			
509-1	v ɔ l n			
693-1	m ɑu l + t			
2179-1	n eː s t			
1753-1	v ɪ s			
1131-1	w ɔ l v			
1198-1	b ɑ r d			
2032-1	h ɔ z n			
2241-1	n aː z			
2244-1	l ɪ p ə			
610-1	k ɛ n			
945-1	h ɛ r t			
1534-1	l eː k ə			
384-1	z oː k ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə n			
471-1	z ɛ ə			
1385-1	z aː d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d			
2020-1	l ɑ ŋ			
867-1	h oː n d + r d			
1970-1	v ɔ l			
1230-1	d r ɪ t ə			
2017-1	n yː w r			
968-1	w ɛ l d			
1674-1	l ɑ n d			
1671-1	h uː l ə l			
829-1	k l ɪ f ə			
1025-1	w ɑ t ə r			
1027-1	z eː			
1832-1	r oː v			
-1816-1	oː ts eː aː			
-335-1	l ə x uː n ə			
1043-1	s t r oː m			
1469-2		s æ n t		
2047-2		s ɔː n uː		
2054-2		θ ɔː n l̩ r		
1375-2		l ɪ ɡ t		
760-2		w ɪ n t		
756-2		s n eɪ		
726-2		m uː d r		
1351-2		ɡ r aɪ t + v eɪ d r		
1353-2		ɡ r aɪ t + m aʊ d r		
412-2		s ɡ iː n l̩ r əʊ s ð		
406-2		s ɡ iː n r m aʊ m ð		
1005-2		s d iː f ʌ eɪ d r		
1012-2		s t iː v + m aʊ d r		
1016-2		w ɛ d w n		
1069-2		ɪ k		
509-2		f ʌ l		
693-2		m ʌ l + t r		
2179-2		n ɛ s t		
1753-2		f ɪ s		
1131-2		w ʌ l f		
1198-2		b ɑː r t		
2032-2		h ɔː r n		
2241-2		n iː s		
2244-2		l ɪ p		
610-2		k n iː		
945-2		h ɑː r t		
1534-2		l ɛ k		
384-2		s ʌ		
1650-2		n ʌ t		
1663-2		s ɔː l		
2279-2		l aɪ n		
471-2		s iː		
1385-2		s iː t		
792-2		j ʌ k		
1111-2		m æ s t		
197-2		s aʊ θ		
2020-2		l æ ŋ		
867-2		h ʌ n θ r t		
1970-2		f ɔ l		
1230-2		θ r ɪ d		
2017-2		n aɪ w		
968-2		w ɛ l n̩ l		
1674-2		l æ n t		
1671-2		h aʊ v l		
829-2		k l ɪ v		
1025-2		w æ t r		
1027-2		s eɪ		
1832-2		r aɪ w		
-1816-2		ʌ s eɪ j n		
-335-2		l æ ʊ n		
1043-2		s t r ʌ m		
1469-3			t a ɛ̃ ɔ	
2047-3			t u ɛ̃	
2054-3			t u ɛ̃ t ʀ ʀ	
1375-3			l i e ʀ	
760-3			v i ɛ̃ ɔ	
756-3			t ɛ̃ p ʀ	
726-3			u ʀ e ʀ	
1351-3			ɡ ʀ a t t p f ɔ ʀ o ʀ	
1353-3			ɡ ʀ a t o u ʀ e ʀ	
412-3			t v ʀ ɡ ʀ p u p e o ɔ ʀ	
406-3			t v ʀ ɡ ʀ o i ɛ̃ e o ɔ ʀ	
1005-3			t i ʀ p u p y ʀ o ʀ	
1012-3			t i ʀ p o u ʀ e ʀ	
1016-3			v i ʀ ʃ ʀ ʀ ʀ	
1069-3			i	
509-3			p y l e	
693-3			i l l ʀ ʀ	
2179-3			ɛ̃ ɑ̃ t i	
1753-3			p i t	
1131-3			v u l v	
1198-3			b ə o ɔ	
2032-3			ʃ u ʀ ɛ̃	
2241-3			ɛ̃ a k	
2244-3			l i p	
610-3			k n ʀ	
945-3			ʃ a o s	
1534-3			l ɑ̃ k e	
384-3			t ɑ̃ k e	
1650-3			ɛ̃ u t	
1663-3			t a l s	
