COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	ɗ a b a			
222-1	a b o b o n e			
208-1	a b u ɾ b u d u			
962-1	a g o ɾ ɗ e			
203-1	a g u d i			
138-1	ʃ ʃ l l			
504-1	ɗ ɔː ʃ a			
662-1	ɓ ɔː d a			
478-1	g k ɗ e			
409-1	a ɾ e			
410-1	g u n d i			
256-1	ɓ s l e			
622-1	n d u			
546-1	n d u			
547-1	ʃ e n a ʔ			
847-1	n e n d d g i			
95-1	b e ɗ i			
105-1	b ɪ n e			
510-1	b o ʃ a			
951-1	m b ə m a ɾ e			
1116-1	m b u m a			
149-1	ɓ uː dʒ ʔ i			
376-1	ɓ a l l			
815-1	g o ɾ a			
453-1	ɗ u ɲ e			
67-1	ɗ ɗ ʃ e			
47-1	ɗ o k o l a			
869-1	ɗ ɔː ɗ a			
57-1	k ʃ g u			
303-1	g a dʒ ʔ i a			
443-1	g eː ɾ e			
884-1	g u n d ɪ			
166-1	g u n d i			
918-1	a b e ɾ e			
831-1	h ʃ ʃ ʃ			
616-1	b eː e			
84-1	h o ʃ a l e			
346-1	h o h u l u			
601-1	dʒ i g i			
177-1	k ʔ a n a			
341-1	k ʔ o l a			
1066-1	n e n dʒ i ŋ ɲ			
318-1	n eː ʃ i			
241-1	m b ʃ ʃ			
556-1	h a n d u ŋ u			
191-1	ɓ m b d l			
458-1	a dʒ ʔ i dʒ ʔ i			
1-1	h a n k i ɾ			
751-1	ɾ o			
864-1	a ŋ o n i			
154-1	a m a n dʒ i			
278-1	a m i l u ʔ e			
766-1	ʃ ɔː ɾ a			
251-1	a g b ɾ u			
582-1	o ʔ u ŋ			
6-1	a l i			
1106-1	ɲ g o			
473-1	ɲ i n e			
1111-1	h a l u			
957-1	m a ɾ e			
41-1	b eː			
24-1	dʒ eː			
25-1	ɗ ʃ ɾ e			
879-1	a b a ɾ a b e d			
837-1	m ʃ ʃ i			
233-1	b i b i e o			
938-1	ɓ uː u l			
369-1	a ɾ e			
946-1	ɓ a ŋ g o			
889-1	ɓ ʔ l			
820-1	ʃ ʃ o ɾ e ɲ			
438-1	n d ɾ n e			
468-2		l a b a		
222-2		a b o b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r θ e		
203-2		a g u d i ʔ		
138-2		ʃ ʃ l i		
