COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	d̪ a ŋ							
37-1	h a ŋ							
46-1	h a ŋ							
98-1	b u ŋ d a a							
125-1	b e a a ŋ a							
162-1	j e a m a							
171-1	tʃ u ŋ m a							
219-1	b u ŋ m a							
247-1	b u ŋ l a							
282-1	j u k m a							
292-1	d̪ a ŋ							
301-1	j a							
354-1	j u t̪ a l a							
363-1	n u m m a							
397-1	kʰ u p a							
406-1	kʰ i l a ŋ							
426-1	j u k p a							
473-1	b i n k a							
499-1	ʃ i k a							
526-1	kʰ i m a a							
544-1	s a							
553-1	kʰ i b a							
599-1	g o i gʱ a							
608-1	b u ŋ m a							
617-1	i a ŋ							
645-1	i m a							
663-1	m u ŋ k a							
672-1	b u ŋ p a							
681-1	n i m a							
690-1	h i ŋ							
708-1	pʰ u k j aː ŋ p a							
717-1	tʃ i k p a							
726-1	s a							
744-1	i t a							
782-1	h a							
791-1	h a							
800-1	h a							
809-1	m u m a ŋ							
836-1	pʰ a b							
881-1	h a							
890-1	i a a a							
899-1	s a							
926-1	d̪ a							
944-1	g i j a							
953-1	ʃ a a l a							
980-1	i i m a							
998-1	k i i a							
1022-1	b ɲ i b a							
1031-1	g e n u ŋ a ŋ a							
1069-1	tʃ o a a ŋ d a ŋ u							
1079-1	ʃ a ŋ k a a a							
1098-1	j u ŋ b a l							
1117-1	d̪ a							
1141-1	j u n m a							
1189-1	h a							
1198-1	n u s a							
1208-1	ʃ i j a j a							
1217-1	n e ɲ a b e							
1253-1	a m a							
1271-1	n i a a							
1289-1	h a ŋ							
1316-1	h a ŋ							
1325-1	d̪ a							
1334-1	ʃ i ŋ m a							
1343-1	p j i a							
1361-1	j e n a m a ŋ							
1370-1	n i ɲ a ŋ							
1388-1	m u n m a							
1397-1	d̪ u ŋ							
1406-1	d̪ a							
1424-1	g a m a ŋ e k a a m							
1433-1	ʃ i b a							
1442-1	h a							
1451-1	pʰ i d̪ a							
1468-1	p i k p a							
1477-1	h a h̥							
1502-1	n u m m a							
1511-1	l u d̪ i a ŋ m a							
1529-1	a a							
1538-1	kʰ i ŋ a							
1557-1	tʃ u j b a							
1618-1	u n k a							
1663-1	s a							
1689-1	h a a							
1698-1	d̪ a ŋ							
1707-1	m u ŋ l a ŋ							
1716-1	n u n k a ŋ							
1742-1	m u b a							
1751-1	g i s a a							
1778-1	h a							
1787-1	g u gʱ a							
1823-1	h a							
1832-1	kʰ i a a							
1842-1	h a ŋ							
1860-1	n u ɲ p a a							
1869-1	ʃ i k gʱ a							
1888-1	ʃ i ŋ k a							
1897-1	s j a							
1932-1	l u m u ŋ a k a							
1950-1	s a							
1968-1	n u ŋ a k a a							
1978-1	g u k p a ŋ							
1987-1	h a							
2015-1	m u ɾ k a							
2118-1	m u ŋ t̪ a a a							
2238-1	n u ɾ k a							
2507-1	pʰ i k a							
2526-1	j a b							
2535-1	ʃ a a h̥							
2544-1	h i ŋ							
2560-1	m u ŋ l i d̪ a							
2569-1	g i a b a							
2578-1	n i k a							
2596-1	d̪ a ŋ							
2615-1	j a							
2663-1	kʰ i b a l a							
2690-1	m i h̥ i							
2719-1	i i t a							
2728-1	k i b a							
2747-1	m u ŋ k a a							
2756-1	s i ŋ m a							
2774-1	kʰ i m a							
19-1	l u a d̪ a a							
28-1	l u a d̪ a a							
89-1	g i n k a							
107-1	j a d̪ i r a a a							
190-1	u b a							
229-1	s u							
257-1	d̪ j ŋ u							
338-1	b m a ŋ							
436-1	kʰ o l a							
483-1	i u							
535-1	h i k a							
571-1	g e j a a a							
699-1	tʃ i ŋ p a							
845-1	j i b a							
971-1	p i k m o							
1049-1	d̪ a							
1161-1	a m							
1180-1	s j a							
1226-1	h i m a ŋ							
1235-1	n u a							
1280-1	ʃ u ŋ k a							
1352-1	s a							
1379-1	s a							
1415-1	h a							
1636-1	kʰ u b u							
1654-1	h a							
1680-1	g u k a							
1725-1	kʰ i k p a							
2127-1	tʃ u r tʃ a							
2181-1	tʃ i b l l							
2366-1	j a j a k a							
2672-1	l a t a							
2681-1	i j a ŋ p a							
55-1	h o b k a a							
80-1	d̪ u n k a							
116-1	k u l u							
210-1	h a a							
319-1	k u k k a							
453-1	p o n p a							
508-1	n a m							
754-1	a l a m p a							
764-1	kʰ a j a ŋ d a u u							
827-1	d̪ a							
1244-1	g a j a ŋ d a ŋ m							
1460-1	n a m a							
1734-1	tʃ i k p a							
2033-1	kʰ a k p o							
2172-1	a							
2209-1	e d aː ŋ b a d̪							
2256-1	b i k a							
2517-1	m a n d̪ a ŋ							
2654-1	d̪ d̪ k g a ŋ							
2737-1	n a k k p a							
415-1	pʰ m							
1013-1	h a m a r							
1150-1	d̪ a k							
1584-1	h a l a l a							
10-2		d u ŋ						
37-2		n u						
46-2		n u						
98-2		dʒ u m tʰ a m a						
125-2		pʰ a j u ŋ m a						
162-2		l e i m u						
171-2		kʰ o ŋ m a						
219-2		dʒ e ŋ k u						
247-2		dʒ o ŋ l u ŋ						
282-2		m e ŋ b u						
292-2		kʰ u						
301-2		r a						
354-2		m u ŋ t u tʃʰ a						
363-2		n o m a						
397-2		kʰ e m a						
406-2		kʰ a r a ŋ						
426-2		m u k p a						
473-2		pʰ e n tʃ u						
499-2		n a ɲ a						
526-2		g e ʃ a						
544-2		kʰ u						
553-2		kʰ a tʰ u ŋ						
599-2		pʰ e a tʰ u ŋ						
608-2		pʰ e ŋ a						
617-2		j u						
645-2		a m a						
663-2		ʃ o ŋ tʃ u ŋ						
672-2		t o ŋ b a						
681-2		n a m a						
690-2		m u ŋ						
708-2		dʒ u r a ŋ b a						
717-2		tʃ e k p u						
726-2		d a						
744-2		e d a						
782-2		r a						
791-2		r a						
800-2		r a						
809-2		n o n ɾ u ŋ						
836-2		pʰ a ʃ a						
881-2		r a m						
890-2		n a u a						
899-2		s e						
926-2		d u ŋ						
944-2		pʰ a ɲ i ŋ						
953-2		ʃ kʰ a m i ŋ						
980-2		e a ɲ u ŋ						
998-2		pʰ a u a						
1022-2		pʰ a a tʃʰ u ŋ						
1031-2		a n o ŋ u z u n						
