COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d iː r i															
1089-1	a iː a i															
1319-1	a e r̃															
1398-1	a aː r aː iː iː															
1557-1	k iː iː iː															
1626-1	aː iː w iː															
1840-1	k iː iː u															
2247-1	k iː m															
4677-1	k iː e iː j															
5162-1	a iː i a iː															
5406-1	k iː e a iː															
359-1	d iː iː iː m															
1577-1	d iː iː iː															
2196-1	a iː iː aː															
2230-1	a iː z iː															
2533-1	p a e b e															
3605-1	k iː aː iː															
3866-1	k aː r̃ aː															
4553-1	k iː r i s iː															
4822-1	d iː aː b iː															
5254-1	d iː iː iː															
503-1	k e e iː															
1356-1	ɔ iː aː i															
1881-1	a iː aː iː j ei															
3218-1	d a n i i iː															
3372-1	a iː aː iː															
3718-1	k aː iː iː															
4135-1	p iː a iː j															
4694-1	d iː ɛ s iː															
807-1	g e e b e															
2320-1	k e j a															
2476-1	k aː m															
3719-1	a iː															
4081-1	d iː a b b iː															
4313-1	a e e j e															
4460-1	ɔ e e a															
5810-1	p e m a iː															
93-1	d e															
260-1	p e ɛ iː															
385-1	p aː aː b a m															
890-1	g e e b e iː iː															
1336-1	d i r a															
1703-1	m a m															
1769-1	d ɛ i b iː															
2162-1	p e ɛ ɛ															
2635-1	ɛ ɛ															
3031-1	d e s e															
4591-1	d iː a iː															
5301-1	p aː a iː															
5605-1	d e a iː															
463-1	d e e b iː															
1432-1	d a ɛ u															
1474-1	t u e b u															
1788-1	k aː r̃ iː															
2044-1	p e e b e															
2713-1	k i i b ɛ n d e i e															
3219-1	d i e															
3425-1	j a															
4184-1	ɔ e j i															
4629-1	ɛ e e i e															
4759-1	a iː ŋ iː iː															
4904-1	e dʒ e e iː															
4960-1	d iː e iː r iː															
4980-1	dʒ ɔ m															
5059-1	k aː j a															
5339-1	d ɔ z e															
5549-1	d ɔ u iː															
5905-1	d iː r̃ u															
5922-1	p e e e															
5938-1	k aː i aː a u r̃ aː															
1-1	p ɛ															
483-1	k e r iː															
629-1	d a m															
667-1	ɛ u ɛ															
1254-1	s a ɛ d e e u															
1415-1	a m a															
1542-1	e dʒ iː r															
1683-1	r e r e															
1898-1	k aː a aː j															
2901-1	p i i d i															
2957-1	a iː i iː															
3048-1	k iː iː a															
3251-1	ɛ e ɛ ɛ															
3885-1	d ɛ r u															
4402-1	a iː															
5622-1	p e u i j a e															
6006-1	k e a iː															
135-1	b a e d iː															
158-1	ɔ k e j u															
194-1	p aː j															
221-1	e r ɛ															
650-1	dʒ eː r iː															
1152-1	k i i a															
1374-1	k ɔː r ɔ															
1452-1	k e ɛ a															
1862-1	e r iː															
2083-1	k aː e i aː															
2108-1	ɛ ɛ m b u															
2636-1	ɛ															
2924-1	p a e i															
2941-1	b i ɛ i															
3405-1	k iː i iː j															
3751-1	p e ɛ															
4066-1	ɔ ɛ ɔ															
4535-1	a iː w iː															
4888-1	a a a i a a															
5583-1	k e e e															
5751-1	d i iː a															
5981-1	e ɛ e															
114-1	d e e e															
851-1	d a w̃ w̃															
1941-1	p e e e															
2179-1	i iː															
2351-1	p iː r̃ iː															
2496-1	i iː i															
3482-1	ŋ̍ e a e a i r r e															
3497-1	m ɛ e															
3588-1	d e e e															
4202-1	k a i r e															
4293-1	z e r e															
4921-1	a iː a b j iː															
408-1	a e i b e															
545-1	e e e															
978-1	t a j															
1052-1	ɔ a u b u															
1070-1	ɛ u w e															
1942-1	a i															
2456-1	k aː j u															
2514-1	d e r ɛ															
2666-1	ɔ i j iː															
2817-1	a i uː															
3132-1	d ɔ ɔ a															
3300-1	ɔ r u															
3976-1	d e															
4152-1	p i j̃ e															
4361-1	t ɛ s u															
4570-1	t u r u w̃															
4648-1	a i															
5318-1	d e e e															
5673-1	d ɛ a d w̃															
5887-1	j a r̃ ei															
446-1	k ɔ a d u r iː															
521-1	d aː s aː i															
1108-1	k o j a															
1124-1	a a j a															
1745-1	d u ei a															
1823-1	g e m e															
2143-1	i															
2265-1	u r o															
2392-1	ɔ g ɔ r̃ u															
2579-1	dʒ e															
2774-1	k aː aː aː															
3339-1	k aː j iː															
3550-1	k aː a i r̃ a															
4024-1	z ɛ z ɛ															
4219-1	k ɛ ɛ b e															
4240-1	ɛ eː r̃ u															
4259-1	i i e															
4738-1	k iː a d iː															
5197-1	ɛ r u															
5447-1	d iː j̃ iː															
5531-1	t u u u															
5733-1	j aː															
5828-1	ɛ a r̃ ei															
562-1	s u m w̃ u															
998-1	ŋ̍ ei															
1022-1	t a ɛ u															
1023-1	a a															
1205-1	j ɔː															
1275-1	m ei															
1578-1	ɔ ɔ ɔ uː															
2063-1	i r iː															
2334-1	e r ei															
2798-1	t aː a ɛ															
3252-1	ɔ m b o m															
3463-1	aː aː aː															
3683-1	t a j a															
3772-1	d i j ɔ															
3790-1	d ei w̃															
4052-1	p ɔː r ɔː															
4220-1	s u															
4440-1	dʒ ɛ ɛ															
4479-1	k ɔː															
4711-1	ɔ a r u															
4778-1	d eː n u r iː															
4821-1	m u															
4941-1	ɔ j̃ iː															
5272-1	dʒ a s u															
5423-1	ɔ s a															
5424-1	k ɔ r ɔ															
563-1	d u r o															
613-1	ɔ ɛ ɛ															
684-1	ɲ i r̃ i															
742-1	d a r a															
1204-1	k e r ɔː															
1373-1	t k aː s a															
1787-1	j aː															
1988-1	k b a i d i															
2283-1	dʒ e r u															
2372-1	p i r iː															
2441-1	j a															
2598-1	ɲ ei j															
2773-1	b a r a e s oː															
3011-1	d o n b a															
3176-1	ɔː r ɔ															
