COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼː ɨ m																		
107-1	g a m ə l a																		
112-1	d ə m ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ u l o																		
381-1	ʔ a tː																		
417-1	r u z																		
451-1	s ə b t																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ ɨ s t																		
535-1	ʔ a sː ɨ r																		
543-1	s o s t																		
593-1	ʔ a m u s																		
640-1	m a n.d																		
1-1	d ə bː ə r ə																		
65-1	u t																		
212-1	ʔ n																		
244-1	ʔ a r a t																		
248-1	m u l a																		
293-1	f ə r ə s																		
373-1	kʼ ɨ m a l																		
408-1	b u r a																		
414-1	d u kʼ lː a																		
601-1	ʔ r o b																		
642-1	n ɨ f a s																		
60-1	n ə ɲː ə s ə																		
115-1	l a m																		
209-1	s ɨ ɲː u t																		
242-1	ʔ a m ɨ s t																		
415-1	z ɨ n a b																		
450-1	z ə r																		
490-1	ə bː ə																		
61-2		d ə m																	
63-2		ʔ a tʼː ɨ m																	
107-2		g e m e l																	
112-2		d a b ə n a																	
331-2		n ɨ g u s																	
377-2		b ɨ kʼ l																	
381-2		ʔ a dː																	
417-2		r u z																	
451-2		s ə b a t																	
454-2		h a tʃ ɨ r																	
484-2		s ɨ jː ɨ s d																	
535-2		ʔ a s ɨ r																	
543-2		sː o s d																	
593-2		h a m u s																	
640-2		m a n																	
1-2		d ə m ə r ə																	
65-2		tʼ u t																	
163-2		s ə e e																	
212-2		ʔ e n																	
244-2		h a r a t																	
248-2		m u l a																	
293-2		f ə r ə tʃ																	
373-2		kʼ ɨ m a																	
408-2		b ə r a																	
414-2		d u b kʼ ɨ a																	
642-2		n ɨ f a s																	
60-2		n ə z ə s ə																	
115-2		x l a m																	
209-2		s ɨ m ɨ d																	
242-2		h a jː ɨ s d																	
415-2		z ɨ n a b																	
450-2		z ə r																	
490-2		b																	
61-3			d ə m																
63-3			ʔ a tʼ ɨ m																
107-3			g a m e r a																
112-3			d a b ə r a																
331-3			n ɨ g w s																
377-3			b ɨ kʼ u r ə																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b t																
454-3			ʔ a tʃʼ ɨ r																
484-3			s ɨ lː ɨ s t																
535-3			ʔ a s ɨ r																
543-3			s o s t																
