COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	ɲː ə m																		
63-1	ɲː ə ɲː ə m																		
107-1	g ə j ə s.w ə																		
112-1	ɲː ə ɲː ə ɲː a																		
331-1	ɲː ɨ g u j																		
377-1	j ə ɲː s.w i																		
381-1	j a j																		
417-1	j u																		
451-1	s.w ə ɲː t																		
454-1	j a rː ə i																		
484-1	s.w ɨ ə j t																		
535-1	s.w a s.w ə i																		
543-1	j ə j i t																		
593-1	ɲː a s.w j j																		
640-1	j ə																		
1-1	rː ə ʔ ə j a																		
65-1	ɲː ə t j																		
212-1	s.w i ɲː																		
244-1	j a i a t																		
248-1	j ə s.w ə																		
293-1	s.w ə j ə i																		
373-1	ɲː ə j ə																		
408-1	j ə ɲː																		
414-1	j u ɲː j j j a																		
601-1	j ə j ə j																		
642-1	ɲː ə fː ə s																		
60-1	ɲː ə ɲː ə h ə																		
115-1	s.w a m																		
209-1	s.w ə ɲː ə t																		
242-1	j ə j ə j ə																		
415-1	j ɨ ɲː ə b																		
450-1	ɲː ə ə i																		
490-1	rː ə ɲː j a																		
638-1	ɲː ə ə ɲː ə																		
645-1	ɲː ə																		
160-1	j ə j ə rː																		
208-1	ɲː ə ə ɲː j ɲː ə																		
214-1	ɲː ə ɲː ə ə																		
378-1	j ə ə dʒː j ə j j																		
379-1	j ə j j ə ə j																		
409-1	ə t ə r																		
598-1	lː ɲː j																		
646-1	ʔ ə j rː j																		
210-1	j ə j j j j j																		
215-1	ɲː ə j j j a ə																		
285-1	j ə rː j j																		
332-1	ʔ a ə g ə ə																		
380-1	j a j a ɲː j																		
412-1	s.w a j a nː																		
64-1	j a j j j j																		
67-1	j ə ə																		
251-1	j ə ə ə j j																		
294-1	j j j ə ə ə																		
597-1	j ə g a j ə ɲː a																		
7-1	j ə ə g ə																		
158-1	tʃʼ ə m ɨ s.w																		
372-1	lː ə ə lː ə j																		
374-1	j ə j ə j ə																		
375-1	s ə b																		
411-1	ə ʔ j j j																		
541-1	rː ə rː ə nː																		
6-1	j a ə j ə j ə																		
113-1	j u ɲː i																		
330-1	ʔ ə ə ə																		
448-1	j ə d ə j ə bː ə j																		
449-1	ʃː a a j ə a																		
491-1	j ə j dʒː ə ə																		
596-1	j a g a																		
4-1	j a j a																		
8-1	j ə j ə j ə ə a																		
106-1	m ə ʔ a																		
290-1	tʃʼ a tʃʼ ə n ə																		
489-1	j j a ə j a j ə																		
602-1	ɲː ə n																		
2-1	ɲː ə s.w u ə																		
3-1	rː ɨ rː a a ə																		
213-1	ʔ a ɲː ə ə																		
486-1	n ə k ə k ə																		
647-1	j ə j a j ə																		
10-1	tʼ ə tʼ ə j																		
110-1	j ə ə ə j a																		
152-1	ɲː a n o																		
211-1	m ɨ ɲː ə t																		
328-1	j ə ʔ ə ʔ ə																		
333-1	ɲː ɨ ɲː ɨ ə																		
334-1	tʼ a n b ə s a																		
410-1	j a j ə ə a																		
540-1	ɲː a ɲː a																		
109-1	dʒː u n dʒː ə																		
153-1	ʔ ə ʔ ə ʔ ə a ə																		
250-1	a a t ə w ə ʔ a																		
289-1	ɲː ɨ b																		
326-1	t ə t o																		
594-1	g ə j ə ə																		
154-1	a g ə tʃʼ ə s ə																		
245-1	j ə a j a j a																		
247-1	ʔ ɨ nː tʃʼ u r a r i t																		
286-1	ʔ ə g ə r																		
643-1	g a ə ə ə																		
62-1	ʔ ə ʔ ə																		
288-1	ʔ																		
416-1	ʔ ə ɨ																		
5-1	g ə bː ʔ																		
61-2		d ə m																	
63-2		rː b m.a																	
107-2		rː ɨ dʒː sː																	
112-2		d b ə																	
331-2		rː e ɨ																	
377-2		b ə b sː																	
381-2		sː d																	
417-2		dʒː e dʒː																	
451-2		sː ə b dʒː																	
454-2		sː tʃʼ																	
484-2		sː ɨ sː t																	
535-2		rː dʒː ɨ																	
543-2		s ɨ ɨ t																	
593-2		sː sː ɨ																	
640-2		dʒː																	
1-2		d ə sː ə dʒː ə																	
65-2		sː e e																	
163-2		b ə dʒː e																	
212-2		rː dʒː n																	
244-2		dʒː ɨ ə dʒː																	
248-2		dʒː ɨ sː																	
293-2		sː ə dʒː ə ɨ																	
373-2		b ɨ dʒː																	
408-2		b ə r																	
414-2		d e rː rː rː																	
642-2		sː e																	
60-2		ə rː ə s ə																	
115-2		sː a m																	
209-2		sː rː ɨ t																	
242-2		dʒː dʒː ɨ t																	
415-2		dʒː rː b																	
