COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼː ɨ m																		
107-1	g m ə l a																		
112-1	d aː m ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ u l o																		
381-1	ʔ a d																		
417-1	r u lː																		
451-1	s ə b t																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ ɨ s t																		
535-1	ʔ a sː ɨ r																		
543-1	sː o sː t																		
593-1	ʔ a m u s																		
640-1	m a n																		
1-1	d ə b ə r ə																		
65-1	tʼː u b																		
212-1	ʔ n																		
244-1	ʔ a r b a t																		
248-1	m u l																		
293-1	f ə r ə sː																		
373-1	kʼ ɨ m a l																		
408-1	b a r a																		
414-1	d u b kʼ lː a																		
601-1	ʔ r o b																		
642-1	n ɨ f a s																		
60-1	n ə tʼː ə s ə																		
115-1	l a m																		
209-1	s m u t																		
242-1	ʔ a m ɨ s t																		
415-1	zː ɨ n a b																		
450-1	lː ə r																		
490-1	tʼː ə b ə																		
638-1	s ɨ r e																		
645-1	kʼ a l																		
160-1	d ə r ə kʼ																		
208-1	ʔ ə n kʼ u kʼ																		
214-1	ʔ a b																		
378-1	ʔ a nː g ə t																		
379-1	zː zː ə																		
409-1	ʔ a t ə r																		
598-1	k t																		
646-1	ʔ a k ə																		
210-1	zː ə zː o n																		
215-1	ʔ a a b ə t																		
285-1	m ɨ tʼ a d																		
332-1	ʔ g ɨ r																		
380-1	ʔ a tː																		
412-1	s a a n																		
64-1	d a m o																		
67-1	w ə r																		
251-1	f ə kʼ l																		
294-1	m ə kʼ																		
597-1	ʔ ə m ə ə zː a																		
7-1	ʔ a l g a																		
158-1	kʼ ə m i s																		
61-2		d ə m																	
63-2		x a tʼː ɨ m t																	
107-2		g ɨ m ə h e l																	
112-2		d aː β ə n a																	
331-2		n ɨ g u s																	
377-2		b ə kʼ l i																	
381-2		x a d																	
417-2		r u tʼː																	
451-2		s ə b																	
454-2		x a tʃ ɨ r																	
484-2		s ɨ tʼː ɨ s t																	
535-2		x a tʼː ɨ r																	
543-2		sː ɨ sː t																	
593-2		x a m u s																	
640-2		m a																	
1-2		d ə rː ə r ə																	
65-2		tʼː u t																	
163-2		s ə tʼː ə																	
212-2		ʔ ə h e n																	
244-2		x a r a d																	
248-2		m u																	
