COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	kʰ u							
5-1	l u							
4-1	t ɛ k							
6-1	h u ŋ							
15-1	tsʰ ɛi							
55-1	l ɛi							
56-1	u							
60-1	ɕ ɛi							
61-1	t u ŋ							
80-1	dʑ a k							
87-1	tsʰ ɛi							
86-1	pʰ ɛ a							
92-1	pʰ ɛ a							
102-1	ɕ ɛi							
106-1	pʰ a k							
108-1	d u							
107-1	pʰ l a							
112-1	pʰ u ŋ							
115-1	ɕ							
114-1	t u ŋ							
120-1	t u							
124-1	u							
125-1	d ɛ k							
132-1	ɕ ɛi							
131-1	j u ŋ							
136-1	m ɛi							
134-1	tɕʰ a k							
137-1	u							
138-1	d ɛ k							
140-1	pʰ u							
143-1	tɕʰ a k							
145-1	tɕʰ a n							
147-1	l u							
149-1	h a k							
153-1	ɕ							
152-1	kʰ u ŋ							
158-1	dʑ a k							
163-1	l ɛi							
164-1	l u							
167-1	pʰ u ŋ							
171-1	s u ŋ							
172-1	dʑ u k							
173-1	tʰ ɛ n							
183-1	l ɛi							
185-1	l a							
188-1	kʰ ɔ ŋ							
189-1	ts u ŋ							
193-1	l u							
196-1	m a n							
199-1	tsʰ ɛi							
200-1	kʰ u ŋ							
201-1	tsʰ ɛi							
202-1	kʰ a p							
203-1	t u ŋ							
204-1	p u							
206-1	h a ŋ							
117-1	p u							
146-1	tɕʰ a t							
219-1	pʰ h ŋ							
218-1	tɕʰ ɛi							
224-1	m u ŋ							
240-1	tɕʰ a k							
244-1	j a t							
255-1	h a n							
260-1	p ɛi							
263-1	l u							
269-1	kʰ j a k							
271-1	tʰ ɛ k							
209-1	tɕʰ a t							
277-1	m a n							
278-1	t u ŋ							
135-1	d u							
284-1	l u							
797-1	u							
290-1	l u ŋ							
289-1	dʑ a k							
296-1	ɲ ɛi							
310-1	ɕ a							
319-1	u							
325-1	l ɛi							
327-1	t ɛi							
331-1	p ɛi							
337-1	kʰ j a ŋ							
338-1	j u ŋ							
339-1	a n							
350-1	kʰ ɔ							
349-1	t u ŋ							
357-1	tsʰ u							
355-1	u							
363-1	h ɔ ŋ							
361-1	t u							
365-1	s a ŋ							
364-1	tɕʰ ɛ p							
375-1	l a k							
379-1	tʰ a t							
380-1	kʰ ɛi							
396-1	j u							
400-1	l a							
405-1	t u ŋ							
404-1	s u ŋ							
409-1	l j ɛ k							
410-1	pʰ a k							
415-1	p ɛi							
416-1	p ɛi							
101-1	h u ŋ							
37-1	kʰ u							
424-1	p ɛi							
434-1	tɕʰ u ŋ							
445-1	p							
446-1	ɕ ɛi							
451-1	t u							
457-1	h a ŋ							
456-1	pʰ ɛ a							
464-1	kʰ j u ŋ							
473-1	tsʰ ɛi							
474-1	u ŋ							
479-1	ʑ u ŋ							
489-1	j u							
490-1	m a n							
494-1	ɕ ɛi							
503-1	kʰ ɛi							
502-1	ʑ a ŋ							
235-1	l u ŋ							
519-1	l ɛi							
523-1	u k							
527-1	kʰ j u ŋ							
538-1	ɕ							
544-1	j u ŋ							
850-1	u							
554-1	tsʰ ɛi							
553-1	s u ŋ							
558-1	tɕʰ u ŋ							
561-1	ɕ u							
562-1	p ɛi							
564-1	j u							
567-1	l ɛi							
570-1	p u							
575-1	u							
582-1	l u							
585-1	a t							
589-1	t u ŋ							
593-1	d u ŋ							
594-1	h u ŋ							
595-1	t u n							
596-1	h a k							
598-1	ʑ a p							
599-1	d ɛ s							
602-1	ɕ u							
603-1	l a p							
606-1	ʑ a ŋ							
605-1	p u							
620-1	l ɛi							
637-1	pʰ a k							
639-1	tsʰ u							
645-1	p u							
646-1	j u ŋ							
168-1	kʰ j ɛ k							
658-1	tɕʰ a ŋ							
665-1	p ɛi							
668-1	tsʰ ɛi							
677-1	t u ŋ							
75-1	t u ŋ							
678-1	ɕ ɛi							
682-1	s u ŋ							
493-1	ɕ u							
693-1	ɕ u							
694-1	l a							
702-1	tɕʰ u ŋ							
704-1	l ɛi							
176-1	l ɛi							
709-1	ʑ a n							
710-1	t ɛ p							
714-1	m j a t							
718-1	kʰ a							
719-1	tɕʰ u ŋ							
22-1	l u							
723-1	tɕʰ u ŋ							
726-1	tɕʰ u ŋ							
729-1	p a							
730-1	j ɛi							
739-1	pʰ a a							
740-1	p ɛi							
741-1	kʰ a k							
744-1	u							
743-1	tɕʰ a ŋ							
746-1	t u ŋ							
748-1	d i p							
747-1	kʰ u							
749-1	kʰ u ŋ							
751-1	t ɛ n							
762-1	m u ŋ							
764-1	tɕʰ u ŋ							
