COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o x ɜ d o ŋ						
514-1	m i k						
464-1	s̪ n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ r̪ ɑ						
205-1	p r̪ ɜ q p ɑ						
1089-1	l ɜ q t̪ i l						
804-1	k ɜ ŋ m ɑ						
1263-1	b ɜ x s̪ p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪ i ŋ						
269-1	r̪ ɜ q						
1512-1	x tɕ i n̪						
555-1	g ɜ k p ɑ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	b ɜ x m ɑ						
1106-1	b u						
693-1	h ɜ t̪ o ɾ ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɜ q p ɑ						
1424-1	s̪ k u t̪ p ɑ						
904-1	l t̪ o t̪						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɑ						
1127-1	tɕ ɜ r̪ p ɑ						
1529-1	tɕ u						
1175-1	ɾ gʲ ɜ m tθ o						
383-1	p s̪ i l						
820-1	l̪ o k						
1636-1	x l u ŋ						
1331-1	u ɾ d̪ r̪ ɑ						
1097-1	l ɜ m						
1223-1	b ɜ ŋ ɑ						
592-1	m ɑ						
1290-1	t̪ u t̪ p ɑ						
669-1	x s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ x ʑ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m i n̪ d o q						
844-1	ɑ m						
879-1	tɕ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ɜ r̪ m ɑ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɑ						
1081-1	ts̪ o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɑ						
539-1	tθʰ i l						
610-1	ŋ ɑ						
