COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x e ⁵⁵								
452-1	t ɯ ³¹								
4342-1	t ɯ ³¹								
4344-1	tɕ ɯ ³¹								
5487-1	t ɯ ³¹								
1401-1	pʰ ɔ ⁴⁴								
6496-1	tɕ ɯ ³¹								
1064-1	j a ³⁵								
1065-1	tɕ ɯ ³¹								
6617-1	t ɔ ²¹								
4367-1	t a ²¹								
4378-1	ʂ ɔ ⁵⁵								
4379-1	j i ⁵⁵								
3984-1	ʂ ɛ ³³								
5086-1	tɕʰ ɤ ³³								
3333-1	ʂ e ⁴⁴								
2226-1	x ɔ ⁵⁵								
2373-1	kʰ ɔ ³³								
2363-1	ʂ ɔ ⁴⁴								
672-1	tɕ ɛ ⁵⁵								
673-1	k ɯ ³¹								
2690-1	p ɔ ²¹								
6337-1	p a ⁴⁴								
6319-1	ʈʂ e ⁴²								
2617-1	ʂ ɯ ³³								
2066-1	ʂ ɯ ³³								
2094-1	ʂ ɯ ³³								
2096-1	kʰ ɛ ⁴⁴								
798-1	p a ⁴²								
6668-1	ʂ ɔ ³³								
4028-1	t u ⁴⁴								
6555-1	k j a ⁴⁴								
2281-1	k ɔ ⁴⁴								
701-1	k j a ⁴⁴								
628-1	x j a ⁴⁴								
3096-1	tɕ ɯ ³³								
3021-1	ʈʂ ɔ ²¹								
2708-1	ʂ i ⁵⁵								
3462-1	k a ³⁵								
1932-1	ʂ ɿ ³³								
6469-1	ʂ ɿ ³¹								
4454-1	ɲ i ²¹								
4455-1	k ɛ ³⁵								
6926-1	ɲ ɤ ³³								
6927-1	ɲ i ²¹								
3916-1	m ɔ ³³								
6822-1	t ɲ i ²¹								
5417-1	tɕ o ³³								
1959-1	x ɔ ³¹								
1960-1	t ɤ ⁵⁵								
2899-1	x ɔ ²¹								
3651-1	tɕ ɯ ³³								
811-1	k ɔ ²¹								
1633-1	m ɛ ²¹								
1775-1	k ɤ ³¹								
5801-1	kʰ ɛ ⁴²								
4769-1	j ɔ ³¹								
3720-1	k a ³⁵								
6446-1	m e ³³								
