index	index_p	rindex	rindex_p	cogid	id_Kayah	segment_Kayah	segment_Kayah_L1	segment_Kayah_L2	segment_Kayah_L3	segment_Kayah_R1	segment_Kayah_R2	segment_Kayah_R3	SC_Kayah	SC_Kayah_L1	SC_Kayah_L2	SC_Kayah_L3	SC_Kayah_R1	SC_Kayah_R2	SC_Kayah_R3	PROSODY_Kayah	PROSODY_Kayah_L1	PROSODY_Kayah_L2	PROSODY_Kayah_L3	PROSODY_Kayah_R1	PROSODY_Kayah_R2	PROSODY_Kayah_R3	id_Kayan	segment_Kayan	segment_Kayan_L1	segment_Kayan_L2	segment_Kayan_L3	segment_Kayan_R1	segment_Kayan_R2	segment_Kayan_R3	SC_Kayan	SC_Kayan_L1	SC_Kayan_L2	SC_Kayan_L3	SC_Kayan_R1	SC_Kayan_R2	SC_Kayan_R3	PROSODY_Kayan	PROSODY_Kayan_L1	PROSODY_Kayan_L2	PROSODY_Kayan_L3	PROSODY_Kayan_R1	PROSODY_Kayan_R2	PROSODY_Kayan_R3	id_Kayaw	segment_Kayaw	segment_Kayaw_L1	segment_Kayaw_L2	segment_Kayaw_L3	segment_Kayaw_R1	segment_Kayaw_R2	segment_Kayaw_R3	SC_Kayaw	SC_Kayaw_L1	SC_Kayaw_L2	SC_Kayaw_L3	SC_Kayaw_R1	SC_Kayaw_R2	SC_Kayaw_R3	PROSODY_Kayaw	PROSODY_Kayaw_L1	PROSODY_Kayaw_L2	PROSODY_Kayaw_L3	PROSODY_Kayaw_R1	PROSODY_Kayaw_R2	PROSODY_Kayaw_R3	id_NorthernPao	segment_NorthernPao	segment_NorthernPao_L1	segment_NorthernPao_L2	segment_NorthernPao_L3	segment_NorthernPao_R1	segment_NorthernPao_R2	segment_NorthernPao_R3	SC_NorthernPao	SC_NorthernPao_L1	SC_NorthernPao_L2	SC_NorthernPao_L3	SC_NorthernPao_R1	SC_NorthernPao_R2	SC_NorthernPao_R3	PROSODY_NorthernPao	PROSODY_NorthernPao_L1	PROSODY_NorthernPao_L2	PROSODY_NorthernPao_L3	PROSODY_NorthernPao_R1	PROSODY_NorthernPao_R2	PROSODY_NorthernPao_R3	id_NorthernPwo	segment_NorthernPwo	segment_NorthernPwo_L1	segment_NorthernPwo_L2	segment_NorthernPwo_L3	segment_NorthernPwo_R1	segment_NorthernPwo_R2	segment_NorthernPwo_R3	SC_NorthernPwo	SC_NorthernPwo_L1	SC_NorthernPwo_L2	SC_NorthernPwo_L3	SC_NorthernPwo_R1	SC_NorthernPwo_R2	SC_NorthernPwo_R3	PROSODY_NorthernPwo	PROSODY_NorthernPwo_L1	PROSODY_NorthernPwo_L2	PROSODY_NorthernPwo_L3	PROSODY_NorthernPwo_R1	PROSODY_NorthernPwo_R2	PROSODY_NorthernPwo_R3	id_ProtoKaren	segment_ProtoKaren	segment_ProtoKaren_L1	segment_ProtoKaren_L2	segment_ProtoKaren_L3	segment_ProtoKaren_R1	segment_ProtoKaren_R2	segment_ProtoKaren_R3	SC_ProtoKaren	SC_ProtoKaren_L1	SC_ProtoKaren_L2	SC_ProtoKaren_L3	SC_ProtoKaren_R1	SC_ProtoKaren_R2	SC_ProtoKaren_R3	PROSODY_ProtoKaren	PROSODY_ProtoKaren_L1	PROSODY_ProtoKaren_L2	PROSODY_ProtoKaren_L3	PROSODY_ProtoKaren_R1	PROSODY_ProtoKaren_R2	PROSODY_ProtoKaren_R3	id_SouthernPao	segment_SouthernPao	segment_SouthernPao_L1	segment_SouthernPao_L2	segment_SouthernPao_L3	segment_SouthernPao_R1	segment_SouthernPao_R2	segment_SouthernPao_R3	SC_SouthernPao	SC_SouthernPao_L1	SC_SouthernPao_L2	SC_SouthernPao_L3	SC_SouthernPao_R1	SC_SouthernPao_R2	SC_SouthernPao_R3	PROSODY_SouthernPao	PROSODY_SouthernPao_L1	PROSODY_SouthernPao_L2	PROSODY_SouthernPao_L3	PROSODY_SouthernPao_R1	PROSODY_SouthernPao_R2	PROSODY_SouthernPao_R3	id_WesternBwe	segment_WesternBwe	segment_WesternBwe_L1	segment_WesternBwe_L2	segment_WesternBwe_L3	segment_WesternBwe_R1	segment_WesternBwe_R2	segment_WesternBwe_R3	SC_WesternBwe	SC_WesternBwe_L1	SC_WesternBwe_L2	SC_WesternBwe_L3	SC_WesternBwe_R1	SC_WesternBwe_R2	SC_WesternBwe_R3	PROSODY_WesternBwe	PROSODY_WesternBwe_L1	PROSODY_WesternBwe_L2	PROSODY_WesternBwe_L3	PROSODY_WesternBwe_R1	PROSODY_WesternBwe_R2	PROSODY_WesternBwe_R3
1	0.2500	4	1.0000	1	1	tʰ	∅	∅	∅	ɔ	-	³³	T	∅	∅	∅	U	_	_	1	∅	∅	∅	7	0	0	2	tʰ	∅	∅	∅	ə	-	⁵³	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	3	tʰ	∅	∅	∅	ə	-	⁵⁵	T	∅	∅	∅	E	_	_	1	∅	∅	∅	7	0	0	4	tʰ	∅	∅	∅	ə̤	ŋ	³¹	T	∅	∅	∅	E	N	_	1	∅	∅	∅	7	4	0	5	tʰ	∅	∅	∅	ɑ̃	-	⁵⁵	T	∅	∅	∅	A	_	_	1	∅	∅	∅	7	0	0	6	tʰ	∅	∅	∅	ə	ɴ	⁵⁵	T	∅	∅	∅	E	N	_	1	∅	∅	∅	7	4	0																																												
2	0.5000	3	0.7500	1	1	ɔ	tʰ	∅	∅	-	³³	∅	U	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	2	ə	tʰ	∅	∅	-	⁵³	∅	E	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	3	ə	tʰ	∅	∅	-	⁵⁵	∅	E	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	4	ə̤	tʰ	∅	∅	ŋ	³¹	∅	E	T	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅	5	ɑ̃	tʰ	∅	∅	-	⁵⁵	∅	A	T	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅	6	ə	tʰ	∅	∅	ɴ	⁵⁵	∅	E	T	∅	∅	N	_	∅	7	1	∅	∅	4	0	∅																																												
3	0.7500	2	0.5000	1	1	-	ɔ	tʰ	∅	³³	∅	∅	_	U	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅	2	-	ə	tʰ	∅	⁵³	∅	∅	_	E	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅	3	-	ə	tʰ	∅	⁵⁵	∅	∅	_	E	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅	4	ŋ	ə̤	tʰ	∅	³¹	∅	∅	N	E	T	∅	_	∅	∅	4	7	1	∅	0	∅	∅	5	-	ɑ̃	tʰ	∅	⁵⁵	∅	∅	_	A	T	∅	_	∅	∅	0	7	1	∅	0	∅	∅	6	ɴ	ə	tʰ	∅	⁵⁵	∅	∅	N	E	T	∅	_	∅	∅	4	7	1	∅	0	∅	∅																																												
4	1.0000	1	0.2500	1	1	³³	-	ɔ	tʰ	∅	∅	∅	_	_	U	T	∅	∅	∅	0	0	7	1	∅	∅	∅	2	⁵³	-	ə	tʰ	∅	∅	∅	_	_	E	T	∅	∅	∅	0	0	7	1	∅	∅	∅	3	⁵⁵	-	ə	tʰ	∅	∅	∅	_	_	E	T	∅	∅	∅	0	0	7	1	∅	∅	∅	4	³¹	ŋ	ə̤	tʰ	∅	∅	∅	_	N	E	T	∅	∅	∅	0	4	7	1	∅	∅	∅	5	⁵⁵	-	ɑ̃	tʰ	∅	∅	∅	_	_	A	T	∅	∅	∅	0	0	7	1	∅	∅	∅	6	⁵⁵	ɴ	ə	tʰ	∅	∅	∅	_	N	E	T	∅	∅	∅	0	4	7	1	∅	∅	∅																																												
1	0.2500	4	1.0000	6	7	kʰ	∅	∅	∅	l	a	⁵⁵	K	∅	∅	∅	L	A	_	1	∅	∅	∅	5	7	0																							8	kʰ	∅	∅	∅	l	e	³³	K	∅	∅	∅	L	E	_	1	∅	∅	∅	5	7	0																																													9	kʰ	∅	∅	∅	l	i	⁵⁵	K	∅	∅	∅	L	I	_	1	∅	∅	∅	5	7	0																							10	kʰ	∅	∅	∅	l	e	³³	K	∅	∅	∅	L	E	_	1	∅	∅	∅	5	7	0
2	0.5000	3	0.7500	6	7	l	kʰ	∅	∅	a	⁵⁵	∅	L	K	∅	∅	A	_	∅	5	1	∅	∅	7	0	∅																							8	l	kʰ	∅	∅	e	³³	∅	L	K	∅	∅	E	_	∅	5	1	∅	∅	7	0	∅																																													9	l	kʰ	∅	∅	i	⁵⁵	∅	L	K	∅	∅	I	_	∅	5	1	∅	∅	7	0	∅																							10	l	kʰ	∅	∅	e	³³	∅	L	K	∅	∅	E	_	∅	5	1	∅	∅	7	0	∅
3	0.7500	2	0.5000	6	7	a	l	kʰ	∅	⁵⁵	∅	∅	A	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅																							8	e	l	kʰ	∅	³³	∅	∅	E	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅																																													9	i	l	kʰ	∅	⁵⁵	∅	∅	I	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅																							10	e	l	kʰ	∅	³³	∅	∅	E	L	K	∅	_	∅	∅	7	5	1	∅	0	∅	∅
4	1.0000	1	0.2500	6	7	⁵⁵	a	l	kʰ	∅	∅	∅	_	A	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅																							8	³³	e	l	kʰ	∅	∅	∅	_	E	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅																																													9	⁵⁵	i	l	kʰ	∅	∅	∅	_	I	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅																							10	³³	e	l	kʰ	∅	∅	∅	_	E	L	K	∅	∅	∅	0	7	5	1	∅	∅	∅
1	0.3333	3	1.0000	7																																																																																									11	s	∅	∅	∅	u	³⁵	∅	S	∅	∅	∅	Y	_	∅	3	∅	∅	∅	7	0	∅	12	s	∅	∅	∅	u	⁵⁵	∅	S	∅	∅	∅	Y	_	∅	3	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	7																																																																																									11	u	s	∅	∅	³⁵	∅	∅	Y	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅	12	u	s	∅	∅	⁵⁵	∅	∅	Y	S	∅	∅	_	∅	∅	7	3	∅	∅	0	∅	∅																																												
