index	index_p	rindex	rindex_p	cogid	id_ClassicalNahuatl	segment_ClassicalNahuatl	segment_ClassicalNahuatl_L1	segment_ClassicalNahuatl_L2	segment_ClassicalNahuatl_L3	segment_ClassicalNahuatl_R1	segment_ClassicalNahuatl_R2	segment_ClassicalNahuatl_R3	SC_ClassicalNahuatl	SC_ClassicalNahuatl_L1	SC_ClassicalNahuatl_L2	SC_ClassicalNahuatl_L3	SC_ClassicalNahuatl_R1	SC_ClassicalNahuatl_R2	SC_ClassicalNahuatl_R3	PROSODY_ClassicalNahuatl	PROSODY_ClassicalNahuatl_L1	PROSODY_ClassicalNahuatl_L2	PROSODY_ClassicalNahuatl_L3	PROSODY_ClassicalNahuatl_R1	PROSODY_ClassicalNahuatl_R2	PROSODY_ClassicalNahuatl_R3	id_JalupaNahuat	segment_JalupaNahuat	segment_JalupaNahuat_L1	segment_JalupaNahuat_L2	segment_JalupaNahuat_L3	segment_JalupaNahuat_R1	segment_JalupaNahuat_R2	segment_JalupaNahuat_R3	SC_JalupaNahuat	SC_JalupaNahuat_L1	SC_JalupaNahuat_L2	SC_JalupaNahuat_L3	SC_JalupaNahuat_R1	SC_JalupaNahuat_R2	SC_JalupaNahuat_R3	PROSODY_JalupaNahuat	PROSODY_JalupaNahuat_L1	PROSODY_JalupaNahuat_L2	PROSODY_JalupaNahuat_L3	PROSODY_JalupaNahuat_R1	PROSODY_JalupaNahuat_R2	PROSODY_JalupaNahuat_R3	id_MecayapanNahuat	segment_MecayapanNahuat	segment_MecayapanNahuat_L1	segment_MecayapanNahuat_L2	segment_MecayapanNahuat_L3	segment_MecayapanNahuat_R1	segment_MecayapanNahuat_R2	segment_MecayapanNahuat_R3	SC_MecayapanNahuat	SC_MecayapanNahuat_L1	SC_MecayapanNahuat_L2	SC_MecayapanNahuat_L3	SC_MecayapanNahuat_R1	SC_MecayapanNahuat_R2	SC_MecayapanNahuat_R3	PROSODY_MecayapanNahuat	PROSODY_MecayapanNahuat_L1	PROSODY_MecayapanNahuat_L2	PROSODY_MecayapanNahuat_L3	PROSODY_MecayapanNahuat_R1	PROSODY_MecayapanNahuat_R2	PROSODY_MecayapanNahuat_R3	id_NorthPueblaNahuatl	segment_NorthPueblaNahuatl	segment_NorthPueblaNahuatl_L1	segment_NorthPueblaNahuatl_L2	segment_NorthPueblaNahuatl_L3	segment_NorthPueblaNahuatl_R1	segment_NorthPueblaNahuatl_R2	segment_NorthPueblaNahuatl_R3	SC_NorthPueblaNahuatl	SC_NorthPueblaNahuatl_L1	SC_NorthPueblaNahuatl_L2	SC_NorthPueblaNahuatl_L3	SC_NorthPueblaNahuatl_R1	SC_NorthPueblaNahuatl_R2	SC_NorthPueblaNahuatl_R3	PROSODY_NorthPueblaNahuatl	PROSODY_NorthPueblaNahuatl_L1	PROSODY_NorthPueblaNahuatl_L2	PROSODY_NorthPueblaNahuatl_L3	PROSODY_NorthPueblaNahuatl_R1	PROSODY_NorthPueblaNahuatl_R2	PROSODY_NorthPueblaNahuatl_R3	id_PajapanNahuat	segment_PajapanNahuat	segment_PajapanNahuat_L1	segment_PajapanNahuat_L2	segment_PajapanNahuat_L3	segment_PajapanNahuat_R1	segment_PajapanNahuat_R2	segment_PajapanNahuat_R3	SC_PajapanNahuat	SC_PajapanNahuat_L1	SC_PajapanNahuat_L2	SC_PajapanNahuat_L3	SC_PajapanNahuat_R1	SC_PajapanNahuat_R2	SC_PajapanNahuat_R3	PROSODY_PajapanNahuat	PROSODY_PajapanNahuat_L1	PROSODY_PajapanNahuat_L2	PROSODY_PajapanNahuat_L3	PROSODY_PajapanNahuat_R1	PROSODY_PajapanNahuat_R2	PROSODY_PajapanNahuat_R3	id_Pipil	segment_Pipil	segment_Pipil_L1	segment_Pipil_L2	segment_Pipil_L3	segment_Pipil_R1	segment_Pipil_R2	segment_Pipil_R3	SC_Pipil	SC_Pipil_L1	SC_Pipil_L2	SC_Pipil_L3	SC_Pipil_R1	SC_Pipil_R2	SC_Pipil_R3	PROSODY_Pipil	PROSODY_Pipil_L1	PROSODY_Pipil_L2	PROSODY_Pipil_L3	PROSODY_Pipil_R1	PROSODY_Pipil_R2	PROSODY_Pipil_R3	id_Pochutec	segment_Pochutec	segment_Pochutec_L1	segment_Pochutec_L2	segment_Pochutec_L3	segment_Pochutec_R1	segment_Pochutec_R2	segment_Pochutec_R3	SC_Pochutec	SC_Pochutec_L1	SC_Pochutec_L2	SC_Pochutec_L3	SC_Pochutec_R1	SC_Pochutec_R2	SC_Pochutec_R3	PROSODY_Pochutec	PROSODY_Pochutec_L1	PROSODY_Pochutec_L2	PROSODY_Pochutec_L3	PROSODY_Pochutec_R1	PROSODY_Pochutec_R2	PROSODY_Pochutec_R3	id_ProtoAztecan	segment_ProtoAztecan	segment_ProtoAztecan_L1	segment_ProtoAztecan_L2	segment_ProtoAztecan_L3	segment_ProtoAztecan_R1	segment_ProtoAztecan_R2	segment_ProtoAztecan_R3	SC_ProtoAztecan	SC_ProtoAztecan_L1	SC_ProtoAztecan_L2	SC_ProtoAztecan_L3	SC_ProtoAztecan_R1	SC_ProtoAztecan_R2	SC_ProtoAztecan_R3	PROSODY_ProtoAztecan	PROSODY_ProtoAztecan_L1	PROSODY_ProtoAztecan_L2	PROSODY_ProtoAztecan_L3	PROSODY_ProtoAztecan_R1	PROSODY_ProtoAztecan_R2	PROSODY_ProtoAztecan_R3	id_TetelcingoNahuatl	segment_TetelcingoNahuatl	segment_TetelcingoNahuatl_L1	segment_TetelcingoNahuatl_L2	segment_TetelcingoNahuatl_L3	segment_TetelcingoNahuatl_R1	segment_TetelcingoNahuatl_R2	segment_TetelcingoNahuatl_R3	SC_TetelcingoNahuatl	SC_TetelcingoNahuatl_L1	SC_TetelcingoNahuatl_L2	SC_TetelcingoNahuatl_L3	SC_TetelcingoNahuatl_R1	SC_TetelcingoNahuatl_R2	SC_TetelcingoNahuatl_R3	PROSODY_TetelcingoNahuatl	PROSODY_TetelcingoNahuatl_L1	PROSODY_TetelcingoNahuatl_L2	PROSODY_TetelcingoNahuatl_L3	PROSODY_TetelcingoNahuatl_R1	PROSODY_TetelcingoNahuatl_R2	PROSODY_TetelcingoNahuatl_R3
1	0.1111	9	1.0000	3	1	-	∅	∅	∅	eː	w	a	_	∅	∅	∅	E	W	A	0	∅	∅	∅	7	6	7																																													2	j	∅	∅	∅	e	w	a	J	∅	∅	∅	E	W	A	6	∅	∅	∅	7	6	7																							3	-	∅	∅	∅	eː	w	a	_	∅	∅	∅	E	W	A	0	∅	∅	∅	7	6	7																							4	-	∅	∅	∅	ɨ	w	aː	_	∅	∅	∅	I	W	A	0	∅	∅	∅	7	6	7	5	j	∅	∅	∅	e	w	a	J	∅	∅	∅	E	W	A	6	∅	∅	∅	7	6	7
2	0.2222	8	0.8889	3	1	eː	-	∅	∅	w	a	+	E	_	∅	∅	W	A	_	7	0	∅	∅	6	7	0																																													2	e	j	∅	∅	w	a	+	E	J	∅	∅	W	A	_	7	6	∅	∅	6	7	0																							3	eː	-	∅	∅	w	a	+	E	_	∅	∅	W	A	_	7	0	∅	∅	6	7	0																							4	ɨ	-	∅	∅	w	aː	+	I	_	∅	∅	W	A	_	7	0	∅	∅	6	7	0	5	e	j	∅	∅	w	a	+	E	J	∅	∅	W	A	_	7	6	∅	∅	6	7	0
3	0.3333	7	0.7778	3	1	w	eː	-	∅	a	+	-	W	E	_	∅	A	_	_	6	7	0	∅	7	0	0																																													2	w	e	j	∅	a	+	j	W	E	J	∅	A	_	J	6	7	6	∅	7	0	6																							3	w	eː	-	∅	a	+	j	W	E	_	∅	A	_	J	6	7	0	∅	7	0	6																							4	w	ɨ	-	∅	aː	+	j	W	I	_	∅	A	_	J	6	7	0	∅	7	0	6	5	w	e	j	∅	a	+	j	W	E	J	∅	A	_	J	6	7	6	∅	7	0	6
4	0.4444	6	0.6667	3	1	a	w	eː	-	+	-	-	A	W	E	_	_	_	_	7	6	7	0	0	0	0																																													2	a	w	e	j	+	j	o	A	W	E	J	_	J	U	7	6	7	6	0	6	7																							3	a	w	eː	-	+	j	u	A	W	E	_	_	J	Y	7	6	7	0	0	6	7																							4	aː	w	ɨ	-	+	j	oː	A	W	I	_	_	J	U	7	6	7	0	0	6	7	5	a	w	e	j	+	j	u	A	W	E	J	_	J	Y	7	6	7	6	0	6	7
5	0.5556	5	0.5556	3	1	+	a	w	eː	-	-	-	_	A	W	E	_	_	_	0	7	6	7	0	0	0																																													2	+	a	w	e	j	o	-	_	A	W	E	J	U	_	0	7	6	7	6	7	0																							3	+	a	w	eː	j	u	-	_	A	W	E	J	Y	_	0	7	6	7	6	7	0																							4	+	aː	w	ɨ	j	oː	+	_	A	W	I	J	U	_	0	7	6	7	6	7	0	5	+	a	w	e	j	u	+	_	A	W	E	J	Y	_	0	7	6	7	6	7	0
6	0.6667	4	0.4444	3	1	-	+	a	w	-	-	tɬ	_	_	A	W	_	_	T	0	0	7	6	0	0	1																																													2	j	+	a	w	o	-	-	J	_	A	W	U	_	_	6	0	7	6	7	0	0																							3	j	+	a	w	u	-	-	J	_	A	W	Y	_	_	6	0	7	6	7	0	0																							4	j	+	aː	w	oː	+	tɬ	J	_	A	W	U	_	T	6	0	7	6	7	0	1	5	j	+	a	w	u	+	tɬ	J	_	A	W	Y	_	T	6	0	7	6	7	0	1
7	0.7778	3	0.3333	3	1	-	-	+	a	-	tɬ	∅	_	_	_	A	_	T	∅	0	0	0	7	0	1	∅																																													2	o	j	+	a	-	-	∅	U	J	_	A	_	_	∅	7	6	0	7	0	0	∅																							3	u	j	+	a	-	-	∅	Y	J	_	A	_	_	∅	7	6	0	7	0	0	∅																							4	oː	j	+	aː	+	tɬ	∅	U	J	_	A	_	T	∅	7	6	0	7	0	1	∅	5	u	j	+	a	+	tɬ	∅	Y	J	_	A	_	T	∅	7	6	0	7	0	1	∅
8	0.8889	2	0.2222	3	1	-	-	-	+	tɬ	∅	∅	_	_	_	_	T	∅	∅	0	0	0	0	1	∅	∅																																													2	-	o	j	+	-	∅	∅	_	U	J	_	_	∅	∅	0	7	6	0	0	∅	∅																							3	-	u	j	+	-	∅	∅	_	Y	J	_	_	∅	∅	0	7	6	0	0	∅	∅																							4	+	oː	j	+	tɬ	∅	∅	_	U	J	_	T	∅	∅	0	7	6	0	1	∅	∅	5	+	u	j	+	tɬ	∅	∅	_	Y	J	_	T	∅	∅	0	7	6	0	1	∅	∅
9	1.0000	1	0.1111	3	1	tɬ	-	-	-	∅	∅	∅	T	_	_	_	∅	∅	∅	1	0	0	0	∅	∅	∅																																													2	-	-	o	j	∅	∅	∅	_	_	U	J	∅	∅	∅	0	0	7	6	∅	∅	∅																							3	-	-	u	j	∅	∅	∅	_	_	Y	J	∅	∅	∅	0	0	7	6	∅	∅	∅																							4	tɬ	+	oː	j	∅	∅	∅	T	_	U	J	∅	∅	∅	1	0	7	6	∅	∅	∅	5	tɬ	+	u	j	∅	∅	∅	T	_	Y	J	∅	∅	∅	1	0	7	6	∅	∅	∅
1	0.0909	11	1.0000	4																																													6	k	∅	∅	∅	w	a	+	K	∅	∅	∅	W	A	_	1	∅	∅	∅	6	7	0																							7	-	∅	∅	∅	b	a	+	_	∅	∅	∅	P	A	_	0	∅	∅	∅	1	7	0																																																																																								
2	0.1818	10	0.9091	4																																													6	w	k	∅	∅	a	+	k	W	K	∅	∅	A	_	K	6	1	∅	∅	7	0	1																							7	b	-	∅	∅	a	+	g	P	_	∅	∅	A	_	K	1	0	∅	∅	7	0	1																																																																																								
3	0.2727	9	0.8182	4																																													6	a	w	k	∅	+	k	a	A	W	K	∅	_	K	A	7	6	1	∅	0	1	7																							7	a	b	-	∅	+	g	a	A	P	_	∅	_	K	A	7	1	0	∅	0	1	7																																																																																								
4	0.3636	8	0.7273	4																																													6	+	a	w	k	k	a	h	_	A	W	K	K	A	H	0	7	6	1	1	7	3																							7	+	a	b	-	g	a	h	_	A	P	_	K	A	H	0	7	1	0	1	7	3																																																																																								
5	0.4545	7	0.6364	4																																													6	k	+	a	w	a	h	l	K	_	A	W	A	H	L	1	0	7	6	7	3	5																							7	g	+	a	b	a	h	l	K	_	A	P	A	H	L	1	0	7	1	7	3	5																																																																																								
