COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a á m a									
893-1	a a n a									
1285-1	n w a									
1303-1	g ɔ m a									
2197-1	z a l a									
2828-1	z i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	i ɛ									
1789-1	g a a ŋ g a									
3207-1	β u l a									
3519-1	t u m a									
3686-1	i m b a									
4249-1	k u m i									
4451-1	β i s i									
448-1	j ɔ n i n i									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ ɔ m b ɛ									
1216-1	g a β a									
1228-1	b w a									
1418-1	z i m a									
1475-1	g w a									
2026-1	t w i i									
2775-1	β u u m b a									
3397-1	β ɔ l a									
3826-1	s ɔ k a									
4003-1	i β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	n u g u									
116-1	f i k a									
181-1	k ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
1159-1	n a á									
1350-1	l j a a									
1374-1	n a a n a									
1396-1	z ɔ β u									
1430-1	i i s ɔ									
1666-1	t a n ɔ									
1767-1	tʰ ɔ g ɔ									
1906-1	i ŋ g i l a									
2177-1	g a h i									
2286-1	l a									
2317-1	β u β a									
2419-1	s i i k a									
2750-1	i z i									
3018-1	z i l a									
3275-1	g a a n a									
3441-1	s a a ŋ g a									
3464-1	β ɔ n a									
3639-1	t ɛ ɛ m ɛ l a									
3885-1	f u m ɔ									
3981-1	i m a									
4192-1	β i i m b a									
4260-1	ʃ w a									
4350-1	l ɛ ɛ l ɔ									
43-1	i m u									
93-1	k ɔ n ɔ									
200-1	β i									
374-1	l a w a									
459-1	l u m a									
508-1	β ɔ f ʊ									
528-1	β i l i									
575-1	t a a									
871-1	t a m a									
2689-2		n a m a								
893-2		a n a								
1303-2		g o m a								
2197-2		t a l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a								
3207-2		w u l a								
3519-2		t u m a								
3686-2		i m b a								
4249-2		k u m i								
4451-2		v i s i								
448-2		n u n i								
630-2		v e e l e								
814-2		g o o m b e								
1216-2		g a v a								
1228-2		b w a								
1418-2		s i m i								
1475-2		g w a								
2026-2		t w e e								
3826-2		s o o k a								
4003-2		i v a								
4373-2		l i m i								
4384-2		i n o								
84-2		g u l u								
116-2		w i k a								
419-2		l o g a								
587-2		o o ŋ g o								
660-2		l e l a								
848-2		g a l a								
1122-2		v i n a								
1159-2		e a								
1350-2		l j a								
1374-2		a n e								
1906-2		i ŋ g i l a								
2419-2		s e k a								
2750-2		e s i								
3441-2		s e e ŋ g a								
3464-2		v o n a								
3639-2		t e t e m a l a								
3981-2		e m a								
4192-2		v i i m b a								
4350-2		l e e l o								
278-2		v a								
3971-2		k a m a								
55-2		n a m a								
43-2		d i m u								
93-2		k o n o								
459-2		l u m a								
2689-3			ɲ a m a							
893-3			a a n a							
1285-3			n w a							
1303-3			k o m a							
2197-3			s a l a							
2828-3			s i n a							
3572-3			s o n i							
1095-3			l i m a							
1755-3			i							
1789-3			x a l a ŋ g a							
3207-3			β u l a							
3519-3			tʰ u m a							
3686-3			s i m b a							
4249-3			k u m i							
4451-3			β ìì s i							
448-3			j o n i							
630-3			β e e l e							
1216-3			k a β a							
1228-3			β w a							
1418-3			s i m a							
1475-3			k w a							
3397-3			β o l a							
4003-3			i β a							
4040-3			k e n i							
4373-3			l i m i							
4384-3			i i n o							
181-3			k o ŋ g o							
419-3			l o k a							
587-3			o o ŋ g o							
660-3			l e l a							
1083-3			l i l a							
1350-3			l j a							
1374-3			n a n a							
1396-3			s o f u							
1666-3			r a n u							
1767-3			k u x u							
1906-3			i i ŋ g i l a							
2177-3			ŋ g a							
2286-3			l a							
2317-3			f u β a							
2750-3			e s i							
3275-3			x a n a							
3464-3			β o n a							
3639-3			r e r e m a l a							
3981-3			i m a							
4192-3			β i i m b a							
4260-3			s w a							
4350-3			l e e l o							
278-3			β a							
745-3			tʰ a x o							
3971-3			x a m a							
93-3			x o n o							
200-3			β i							
374-3			a a l w a							
508-3			f o f u							
528-3			β i l i							
2689-4				n a m a						
893-4				a n a						
1285-4				n w a						
3572-4				s ɔ n i						
1755-4				n e						
1789-4				a ŋ g a						
3686-4				m b a						
4451-4				b i s i						
1216-4				g a b a						
4003-4				i b a						
419-4				l ɔ g a						
1122-4				b i n a						
1430-4				i s ɔ						
1666-4				t a n ɔ						
1767-4				k ɔ g ɔ						
55-4				n a m a						
94-4				b ɔ g ɔ						
2717-4				g a ŋ g a						
2689-5					n m a					
893-5					a n a					
1285-5					n w a					
1303-5					o m a					
2197-5					ʃ a l a					
2828-5					ʃ i n					
3572-5					s o n i					
1095-5					l i m a					
3207-5					β u l a					
3519-5					t u m					
3686-5					s i m b a					
4249-5					k u m i					
448-5					j o n i					
630-5					β e e l e					
814-5					o m β e					
1228-5					β w a					
1418-5					ʃ i m					
2026-5					t w e					
2775-5					β u u m β					
3397-5					β o l a					
3826-5					s o k					
4040-5					e n i					
4373-5					l i m i					
4384-5					i n o					
84-5					u l u l u					
116-5					ʃ i k					
587-5					o ŋ g o					
848-5					k á l a					
1159-5					n					
1350-5					l j a					
1396-5					s o f u					
1430-5					i s u					
1767-5					tʰ u k u					
2286-5					l a					
2317-5					β u β a					
2419-5					s e k a					
2750-5					e ʃ i					
3018-5					ʃ i l a					
3275-5					k a n a					
3441-5					s e ŋ g a					
3885-5					tʃ u m o					
4192-5					β i m b a					
4260-5					s w a					
4350-5					l e l o					
278-5					β a					
745-5					t á k o					
3971-5					k á m a					
55-5					n a m a					
94-5					β o k u					
2717-5					i ŋ g a					
4139-5					m i n					
200-5					β i					
374-5					tʃ a l w					
508-5					β o p u					
528-5					β i l i					
575-5					t a					
1303-6						ɔ m a				
1755-6						i n				
448-6						j ɔ n i				
1475-6						g w a				
3397-6						p ɔ l a				
2286-6						l a				
278-6						p				
2717-6						g a ŋ g a				
2689-7							a m a			
893-7							a n a			
1285-7							n w a			
1303-7							ɣ o m a			
2197-7							z a a			
2828-7							z a n a			
3572-7							s o n i			
1095-7							i m a			
1755-7							n e			
1789-7							k a ŋ g a			
3519-7							t u m a			
3686-7							i m b a			
4249-7							k u m i			
4451-7							v i s i			
814-7							o m b e			
1216-7							k a v a			
1475-7							k w a			
2026-7							t w e			
2775-7							v u m b a			
3826-7							z o k a			
4003-7							i v a			
4040-7							ɣ e n i			
84-7							z u o u			
116-7							ʃ i k a			
181-7							ɣ o ŋ g o			
419-7							o k a			
587-7							o ŋ g o			
660-7							e a			
848-7							k a a			
1122-7							v i n a			
1159-7							a			
1374-7							a n e			
1396-7							z o f u			
1430-7							i s u			
1906-7							i ŋ g a			
2177-7							ŋ g a			
2419-7							z e k a			
3018-7							z i a			
3275-7							a n a			
3441-7							z e ŋ g a			
3464-7							v o n a			
3639-7							t e t e m a			
3885-7							f u m o			
4192-7							v i m b a			
745-7							t á k o			
3971-7							k a m a			
55-7							ɲ a m a			
2717-7							k a ŋ g a			
4139-7							m i n a			
93-7							k o n o			
459-7							u m a			
575-7							t a			
2689-8								a m a		
1285-8								n w a		
1303-8								g o m a		
2197-8								s a r a		
2828-8								s i n a		
