COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a									
56-1	t a									
96-1	t a tʃ a									
99-1	a j a a									
114-1	t a									
115-1	j t a a k									
133-1	j t a t a									
144-1	t a a a k									
150-1	tʃ a									
234-1	j k									
236-1	tʃ a t									
241-1	t a t a									
249-1	i									
1-1	j a k a									
2-1	j a a									
65-1	i i									
74-1	t a ʔ									
106-1	t a a									
128-1	tʃ a									
147-1	t a									
231-1	t a t a w									
232-1	t a p i									
239-1	j a m a t a									
266-1	t									
51-1	a w a k									
97-1	tʃ a t a i a m									
109-1	a p a n a k									
121-1	t a t a j i ʔ									
149-1	t a k									
160-1	t a									
163-1	i p a n									
167-1	t p a t									
207-1	tʃ a									
259-1	t a m a k									
66-1	r a p a p i									
134-1	n a p a t									
139-1	t a a									
142-1	p a t a w a m									
145-1	t a t a t a k									
148-1	t m a w a a k									
162-1	j p a k									
166-1	i m a									
179-1	t a k ʔ									
201-1	p j a									
21-1	tʃ a t a ʔ									
24-1	tʃ a j i									
50-1	i k a									
57-1	t a t a i									
84-1	p a w a									
91-1	tʃ a k a									
131-1	tʃ a n a i									
151-1	tʃ a o									
154-1	p w a									
192-1	t a t									
197-1	t t m									
205-1	i p a w									
227-1	j i i i									
246-1	i w i ʔ									
251-1	w a n a ʔ									
271-1	t i									
285-1	a a w k									
75-1	a p a m i ʔ									
79-1	t a m									
104-1	t u m a m a									
153-1	tʃ a k									
157-1	t tʃ a m a m									
174-1	t u w a ʔ									
240-1	t i a									
270-1	t a w a t a k									
52-2		p								
56-2		k e								
96-2		a i p								
99-2		o k o a								
114-2		a o p								
115-2		a p								
133-2		a a p								
144-2		a p i p								
150-2		a								
234-2		k o								
236-2		a k o								
241-2		o								
249-2		p								
74-2		a								
93-2		a a p								
95-2		a								
106-2		e t								
119-2		a p								
128-2		o p								
147-2										
231-2		a a								
232-2		p								
239-2		a a o								
266-2		i p								
51-2										
55-2		k p								
97-2		k o								
121-2		k a a k u i p								
163-2		e e								
167-2		t t a								
259-2		t o a								
66-2		r a k o								
112-2		p p								
116-2		t a a o p								
125-2		k o e i p								
135-2		p i p								
139-2		o e e								
142-2		o a o e								
148-2		a o o i								
162-2		e p								
166-2										
179-2										
45-2		o o e e m e								
84-2		o								
131-2		u r i p p								
146-2		k e m e e								
154-2		h t								
192-2		t								
197-2		u k e p i								
235-2		t a								
237-2		e								
246-2		i j p								
250-2		e m e m e e r a k o								
267-2										
39-2		e o k o a								
42-2		k o o e								
44-2										
75-2		i w								
94-2		o e e								
122-2		o k o e i p								
52-3			n a a a							
56-3			k a a a							
96-3			j a m a r a							
99-3			a j a a a r a							
114-3			tʃ a k i m i							
115-3			a a a m i a i							
133-3			i tʃ i a r i a a							
144-3			j a j a j i r i							
150-3			j a j a							
234-3			a k a							
236-3			j a k a a							
241-3			j a j a a i							
249-3			i a a							
1-3			j a j a							
2-3			j a i a a							
65-3			a a a							
93-3			tʃ a m a m i i							
95-3			a a i k i							
106-3			k a m a k i a i							
119-3			i m a p i i							
128-3			k a k i m i							
147-3			k a m i i							
231-3			j a j a r a							
232-3			j a j i a a a							
239-3			j a j a k a a							
266-3			j a i a i a							
3-3			k a a i o							
4-3			j a m i							
55-3			i a i i a							
109-3			a j a k a a i							
121-3			j a j i j a j a r i a							
149-3			k a k							
160-3			k a a i							
207-3			k i							
112-3			n i a i k a p i m i							
125-3			m a k i m i r i							
134-3			j e p i tʃ i							
135-3			k i m i k a p a a							
139-3			j a a a k a i m a							
57-3			j a m a j a r a							
71-3			a k i							
131-3			j a j a k a a a k a a a r a							
146-3			a k a p i a a a a							
227-3			j a j a i i a r							
132-3			a m i tʃ e							
240-3			j a a a							
52-4				t a						
56-4				t a a						
96-4				a a						
99-4				a i a						
114-4				t a k a						
115-4				a a a						
133-4				a t a a a						
144-4				a a a						
150-4				k a w						
234-4				a k o						
236-4				p a k a						
