COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t i t e ʔ									
56-1	t i m i ʔ									
96-1	a n t									
99-1	a t o n									
114-1	t o k									
115-1	t o n									
133-1	t i p t a									
144-1	a w a w									
150-1	k o w									
234-1	o k o m									
236-1	p o k o n ʔ									
241-1	k a w i n									
249-1	i tʃ e									
1-1	w a z a									
2-1	i w o k m ʔ									
65-1	i w ʔ									
74-1	p a n a									
106-1	t o n i									
128-1	t o k									
147-1	t i m									
231-1	p a n a o ʔ									
232-1	i p i t o ʔ									
239-1	m o m a k a ʔ									
266-1	i t i ʔ ʔ									
51-1	i w e ʔ									
97-1	m i p o m									
109-1	i p n k									
121-1	k u p a j a k									
149-1	t o k									
160-1	k i r									
163-1	i p a n ʔ									
52-2		t e								
56-2		t o m e								
96-2		a a s a								
99-2		r i m e a								
114-2		t o k a s i								
115-2		t o r e s i								
133-2		t i p r a s i								
144-2		t a r a s i								
150-2		k a								
234-2		k o m								
236-2		t i k a m								
241-2		t a i w i								
249-2		i s i								
74-2		p a n a								
93-2		t u p a r a s i								
95-2		i k i s i								
106-2		t o k a s i s i								
119-2		i a t i s i								
128-2		t o k a s i								
147-2		t i m a s i								
231-2		t a a s i								
232-2		u p i j a								
239-2		t a s a k a								
266-2		i t i i								
51-2		i w e								
55-2		o a m								
97-2		a o n a i								
121-2		k a p i a k i s i								
163-2		u p e								
52-3			t a a							
56-3			u m a							
96-3			k a m a m e							
99-3			t i a a a							
114-3			t u k i i							
115-3			a a m i tʃ i							
133-3			tʃ i a m a tʃ e							
144-3			k a t a m a tʃ e							
150-3			k a a							
234-3			a k e m							
236-3			p a k e							
241-3			k a k a m i							
249-3			i e							
1-3			w a a							
2-3			a a a m							
65-3			a a a							
93-3			i m a m i tʃ e							
95-3			a m a k a							
106-3			t e m i m a tʃ i							
119-3			m a t i i							
128-3			k o k i m i							
147-3			t u m a e							
231-3			k a a m a							
232-3			a p i i a a							
239-3			a m a k e							
266-3			a a i m							
3-3			k a m i k t o							
4-3			w a m i							
55-3			i a a m							
109-3			a p a t a tʃ e							
