COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g a															
241-1	ʔ u ʔ															
2163-1	kʰ n															
2181-1	n a r															
2060-1	ʔ ɨ r															
410-1	ɛ															
1841-1	r kʰ															
2017-1	h ɛ															
1004-1	ʔ g															
614-1	b u h															
686-1	b h ɛ															
88-1	g a ʔ															
872-1	n ɨ ŋ															
1891-1	g															
68-1	s ɨ r															
631-1	b ə n															
594-1	g g															
1759-1	h a n															
805-1	g ɨ ɲ															
756-1	h ə ʔ															
1201-1	r u ʔ															
2042-1	ʔ a															
1968-1	n a ʔ															
2000-1	s ŋ															
17-1	a a ʔ															
4-1	ə r															
788-1	ɛ															
1219-1	h ɨ r															
141-1	ʔ s ŋ															
541-1	b r j a ŋ															
1687-1	h n															
123-1	s r															
1652-1	s ɨ n															
576-1	ŋ a															
1738-1	a k															
442-1	h u r															
368-1	j j a ŋ															
1778-1	p a ʔ															
957-1	n a p															
1704-1	ʔ ɨ ʔ															
304-1	j a r															
1796-1	s a ŋ															
720-1	ɛ h															
287-1	k ə p															
321-1	g ə h															
206-1	kʰ u ʔ															
1950-1	ʔ ə															
665-1	s n															
703-1	n u ʔ															
1290-1	r ɛ															
1391-1	g a ʔ															
269-1	g a ʔ															
855-1	s a n															
2078-1	s ɨ															
2213-1	r ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p r															
340-1	s o															
1111-1	s ɛ															
485-1	ŋ kʰ															
1356-1	r r h															
1093-1	n u ŋ															
1063-1	n ɛ r															
648-1	s ɛ n															
223-1	g ɔ n															
1248-1	s a															
1509-1	n u n															
504-1	s u h															
2130-1	s ɛ															
1-1	ʔ o															
386-1	p ʔ															
1411-1	ʔ															
1027-1	g a ʔ															
1459-1	g h ɛ															
1323-1	r ə															
1538-1	r j a h															
975-1	ɲ a h															
940-1	ŋ r h															
1476-1	ʔ a h															
1923-1	n a															
105-1	a ɔ ŋ															
1431-1	ʔ ɛ															
1814-1	r a ɲ															
1183-1	n ɔ n															
1430-1	j ɛ															
1721-1	ʔ ɔ ʔ															
1617-1	b o ʔ															
1564-1	b ɔ ʔ															
2111-1	h ə															
1563-1	s a															
1597-1	s ɔ ŋ															
1859-2		ŋ a														
175-2		k a														
241-2		ʔ au̯ ʔ														
2163-2		kʰ n														
2181-2		n ə m														
2060-2		ʔ ə m														
410-2		d ɔi̯														
1841-2		m au̯														
2017-2		h ɔi̯														
1004-2		ə l														
614-2		b o h														
686-2		b l ɔi̯														
88-2		k a ʔ														
872-2		n ə ŋ														
1891-2		d l														
68-2		au̯ ə m														
631-2		b ə n														
594-2		k l														
1759-2		h a ɣ														
805-2		k ə ɣ														
756-2		h ə ʔ														
1201-2		m au̯ ʔ														
2042-2		ʔ l														
1968-2		d ɔ ʔ														
2000-2		l ŋ														
17-2		ɔ a ʔ														
4-2		əː m														
788-2		d ə														
1219-2		h ə m														
141-2		ʔ l ŋ														
541-2		b ɣ o ɔ ŋ														
1687-2		h ə n														
123-2		l m														
1652-2		dʑ ə n														
576-2		ŋ a														
1738-2		d a k														
442-2		h o m														
368-2		d o ɔ ŋ														
1778-2		b a ʔ														
957-2		n ɔ b														
1704-2		ʔ a ʔ														
304-2		j a m														
1796-2		dʑ a ŋ														
720-2		d ə h														
287-2		k ə b														
321-2		l ə h														
206-2		d o ʔ														
1950-2		ʔ d														
665-2		au̯ n														
703-2		n o ʔ														
1290-2		m l														
1391-2		k a ʔ														
269-2		k a ʔ														
855-2		dʑ a n														
2078-2		au̯ ə														
2213-2		m ə														
1111-2		au̯ ə														
485-2		ŋ l														
1356-2		m tɕ h														
1093-2		d o ŋ														
1063-2		d au̯ m														
648-2		dʑ ə ɣ														
223-2		k a n														
1248-2		tɕ a														
1509-2		d ɔːi̯ ɣ														
504-2		dʑ o h														
2130-2		au̯ ɔi̯														
1-2		ʔ au̯														
386-2		o ʔ														
1411-2		ʔ au̯														
1027-2		k a ʔ														
2077-2		m ə h														
1459-2		k l l														
1323-2		ə ə														
975-2		ɣ a h														
940-2		ŋ ə h														
1476-2		ʔ ə h														
1923-2		n au̯														
105-2		ɔ a ŋ														
1431-2		ʔ ɔi̯														
37-2		l ŋ														
1152-2		b l														
1814-2		m ɔ ɣ														
1183-2		n a n														
1430-2		d ə														
1721-2		ʔ a ʔ														
1617-2		b o ʔ														
1564-2		b a ʔ														
2111-2		l h														
1563-2		au̯ ɔ														
1859-3			n ai̯													
175-3			h a													
241-3			ʔ ɔ ʔ													
2163-3			kʰ r													
2181-3			r a m													
2060-3			ʔ m													
410-3			d i													
1841-3			m k													
2017-3			h i													
1004-3			l h													
614-3			b i h													
686-3			b l i													
88-3			h a ʔ													
872-3			r l n													
1891-3			d h													
68-3			oː a m													
631-3			b a r													
594-3			g h													
1759-3			h a r													
805-3			g a r													
756-3			h h h													
1201-3			m ɔ ʔ													
2042-3			ʔ a													
1968-3			d a ʔ													
2000-3			h n													
17-3			a a ʔ													
4-3			ə m													
788-3			d ai̯													
1219-3			h a m													
141-3			ʔ h n													
541-3			b r j a n													
1687-3			h r													
123-3			h m													
1652-3			eː a r													
576-3			n a													
1738-3			d a h													
442-3			h ɔ m													
368-3			tɕ j a n													
1778-3			b a ʔ													
957-3			r a b													
1704-3			ʔ a ʔ													
304-3			j a m													
1796-3			eː a n													
720-3			d a h													
287-3			h ə b													
321-3			g ə h													
206-3			d i ʔ													
1950-3			ʔ d													
665-3			ɔ a													
703-3			r ɔ ʔ													
1290-3			m r													
1391-3			h a t													
269-3			g a t													
855-3			eː a r													
2078-3			h a													
2213-3			m ai̯													
1858-3			oː a													
1151-3			g j a r													
737-3			b ə d													
340-3			ʔ oː													
1111-3			oː ai̯													
485-3			n r													
1356-3			m ai̯ h													
1093-3			d oː n													
1063-3			d ɔ m													
648-3			eː l r													
223-3			g a r													
1248-3			tɕ a													
1509-3			d r													
504-3			eː ɔ h													
1-3			ʔ oː													
386-3			i ʔ													
1411-3			ʔ													
1027-3			g a ʔ													
2077-3			m a h													
1459-3			g k r													
1323-3			ə													
1538-3			r j a h													
975-3			r a h													
940-3			n a h													
1476-3			ʔ a h													
105-3			a a n													
1431-3			ʔ i													
37-3			i n													
1152-3			b a													
1814-3			m a r													
1890-3			oː a													
1430-3			d ɔ													
1721-3			h ɔː h													
1617-3			b oː ʔ													
1564-3			b ɔː ʔ													
1028-3			ʔ a													
1563-3			h a													
1859-4				ŋ ɔ												
175-4				k a												
