COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e									
56-1	o m e									
96-1	a t a tʃ									
99-1	a r i t o n									
114-1	t o k i tʃ i ʔ									
115-1	o t i i tʃ tʃ ʔ									
133-1	t i p a a a tʃ									
144-1	a a a w a tʃ i									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a z a									
2-1	w w m m									
65-1	i w									
74-1	p a n a									
106-1	t o n i i									
128-1	p o k tʃ i									
147-1	t i m i tʃ i									
231-1	p a n a w o									
232-1	p i p p j o									
239-1	n a m a k a n									
266-1	i t i m									
51-1	o w i ʔ									
97-1	m a p o m									
109-1	p p i t i tʃ i ʔ									
121-1	k a p i m a k tʃ ʔ									
149-1	t o k									
160-1	k i r i k									
163-1	o p e n									
167-1	p a ʔ									
207-1	m i									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m o n o tʃ i									
142-1	p p t a m a									
145-1	k a t a t i tʃ i									
148-1	t a a a w tʃ i									
162-1	i n i n									
166-1	i m i									
179-1	t a									
201-1	p i									
21-1	t a w									
24-1	p o k o n									
52-2		t t e								
56-2		o m e								
96-2		a t a								
99-2		a k i k u n								
114-2		t o k i s i								
115-2		o r i n i l								
133-2		t i p a a a i								
144-2		a r a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p i k o n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t o p a r i s i								
95-2		w i k i s								
106-2		t o k r n l								
119-2		j j t t i s i								
128-2		h o k i s i								
147-2		t i m o s l								
231-2		p a n a w o								
232-2		p i m o e								
239-2		n a m a k a n								
266-2		i t i m								
51-2		e w e								
55-2		o h a m								
97-2		m a h o m								
121-2		k g p i j a k r l i								
163-2		e p e n								
167-2		p a								
259-2		t o w a								
66-2		k a r a k a w								
112-2		t r a t j t s i l								
116-2		t o p a k a s i								
125-2		k a t i m a s i								
135-2		k i m i								
139-2		m o k o s o								
142-2		p e r m m s n l								
148-2		t r r a w i i n								
162-2		i n i n								
166-2		i m i								
179-2		t a								
52-3			v t v							
56-3			u m i							
