COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e									
56-1	o m e									
96-1	a t a tʃ									
99-1	a t i k o n									
114-1	t o k i									
115-1	w e i tʃ									
133-1	t i p a a a									
144-1	a t a w a i ʔ									
150-1	k a w ʔ									
234-1	k o m									
236-1	p i k o n ʔ									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a z a ʔ									
2-1	w o m m									
65-1	i w									
74-1	p a n a									
106-1	t o n i									
128-1	p o k									
147-1	t i m i i ʔ									
231-1	p a n a w o									
232-1	p i i i n o									
239-1	n a m a k a n									
266-1	i t i m									
51-1	u w e ʔ									
97-1	m a p o m									
109-1	u p i i i i									
121-1	k a p i j a k i ʔ									
149-1	t o k									
160-1	k i r i k									
163-1	o p e n									
52-2		t t e								
56-2		o m e								
96-2		a r a s i								
99-2		a r i k e n								
114-2		t o k i s i								
115-2		o j i s t								
133-2		t i p r a a s i								
144-2		a r a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p e k o n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t o p a r i s i								
95-2		w i k i s								
106-2		t o n e s i								
119-2		j j t t i s i								
128-2		h o k o s i								
147-2		t i m i s i								
231-2		p a n a w o								
232-2		p i p j j o								
239-2		n a m a k a n								
266-2		i t i m								
51-2		e w e								
55-2		i h a m								
97-2		m a h o m s								
121-2		k a p i j r k s i								
163-2		e p e n								
52-3			i t i							
56-3			u m e							
96-3			a t a e							
99-3			a k i h o							
114-3			t o k i a							
115-3			u i i e e							
133-3			tʃ e p a a a tʃ							
144-3			a t a w a a m							
150-3			k a w							
234-3			k u m							
236-3			p i k u n							
241-3			a w i n							
249-3			e e i							
1-3			w a i a							
2-3			w w m m							
65-3			i w i							
93-3			t o p a a i s							
95-3			w m k							
106-3			t i n i j e							
119-3			k a t e tʃ e							
128-3			i u k tʃ e							
147-3			t i m i tʃ e							
231-3			p a n a w u							
232-3			p p i e n o							
239-3			n a m a k a n							
266-3			v i e m							
3-3			t i a k k i							
4-3			w a t i							
55-3			i h a a							
109-3			u p i i i s i							
121-3			k a p a w a k a m							
