COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	tɕ i ²¹									
93-1	k ɯ ²¹									
216-1	s w a ⁴⁴									
236-1	t ũ ŋ ³³									
267-1	tɕ e n ⁴²									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	tɕ o ⁴⁴									
400-1	ʂ u ²¹									
452-1	k ə˞ ⁴⁴									
463-1	k a ⁴⁴									
512-1	t u ⁴²									
534-1	t ou ⁴⁴									
556-1	k u ³³									
568-1	x ɯ ⁴⁴									
588-1	s w a ⁴⁴									
599-1	pʰ ɯ ⁵⁵									
656-1	k ŋ ou ²¹									
678-1	k o ²¹									
689-1	m ə˞ ⁴²									
700-1	m e ⁴²									
775-1	p e n ⁴²									
786-1	k i ³⁵									
820-1	tɕ ũ ŋ ³¹									
839-1	t ɯ ²¹									
863-1	k u ³³									
896-1	k ə˞ ⁵⁵									
929-1	Ø ɯ ³¹									
1015-1	ʂ ũ ³⁵									
1035-1	tɕ o ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	s i ³³									
1195-1	s i ³³									
1241-1	m e ²¹									
1252-1	Ø õ ²¹									
1294-1	k a ³⁵									
1326-1	tɕ ŋ i ³³									
1348-1	tɕ i ³¹									
1401-1	s e n ⁴²									
1451-1	s i ³³									
1473-1	t w e n ³³									
1507-1	tɕʰ i ⁵⁵									
1532-1	k ɯ ³⁵									
1543-1	ʂ ɯ ³³									
1575-1	s e n ³⁵									
1618-1	p ɯ ²¹									
1640-1	k ou ⁴⁴									
1671-1	s i ⁴⁴									
1731-1	ʂ o ⁵⁵									
1762-1	s w a ³¹									
1773-1	t ɯ ⁴⁴									
1794-1	k o ŋ ³⁵									
1805-1	ʂ i ³¹									
1816-1	s o ŋ ³³									
1862-1	t i ³⁵									
1885-1	k ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p ɯ ³³									
1969-1	s e n ³⁵									
2018-1	t o ²¹									
2029-1	k a ³⁵									
2051-1	tɕ ũ ²¹									
2074-1	k ou ⁴⁴									
2085-1	m ə˞ ŋ ³³									
2130-1	p ə˞ ⁴⁴									
2245-1	tɕ o ⁴²									
2269-1	m e ³³									
2280-1	s u ³¹									
2291-1	s e n ⁴²									
2316-1	tɕ i ⁴⁴									
2364-1	tɕ i ³³									
2395-1	ʈʂʰ ə˞ ⁵⁵									
2406-1	tɕʰ j ə˞ ⁵⁵									
2417-1	k o ⁴²									
2428-1	k a ³⁵									
2450-1	tɕ ou ²¹									
2484-1	ʂ i ⁴⁴									
2495-1	k u ²¹									
2565-1	t i ³⁵									
2611-1	j ou ⁴⁴									
2632-1	w ã ⁴⁴									
2644-1	ŋ w a ⁴⁴									
2674-1	m ou ³³									
2698-1	ʂ o ³³									
2709-1	n i ²¹									
2720-1	tɕ ũ ŋ ⁴²									
2772-1	k ə˞ ⁴⁴									
2791-1	tɕ ə˞ ⁵⁵									
2837-1	t e ³⁵									
2859-1	s e n ³⁵									
2889-1	tɕ ɯ ³³									
2900-1	k u ³³									
2928-1	tsʰ ũ ŋ ⁵⁵									
2941-1	k ɯ ⁵⁵									
