COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	XiAn	Xiamen	Yangzhou	ZhongyuanYinyun
2-1	j e ⁵⁵																		
4-1	ʈʂʰ i ⁵⁵																		
5-1	ʈʂ w a ŋ ⁵¹																		
6-1	ʂ a n ⁵⁵																		
7-1	ʂ w a ŋ ⁵¹																		
8-1	ɕ j a ⁵¹																		
9-1	p u ⁵⁵																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j a ²¹⁴																		
33-1	ʈʂ u ²¹⁴																		
38-1	n j ə ⁵¹																		
40-1	x w ə n ³⁵																		
42-1	u ²¹⁴																		
43-1	ʈʂ ə n ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵¹																		
53-1	ʐ ə n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ⁵⁵																		
60-1	ʈʂ w a ŋ ⁵¹																		
64-1	l i n ⁵¹																		
68-1	tɕ j a ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ʈʂ u ⁵¹																		
93-1	n i ²¹⁴																		
98-1	l ai ³⁵																		
109-1	ɕ i n ⁵¹																		
115-1	t au ²¹⁴																		
118-1	ʈʂ j e ⁵¹																		
124-1	tɕ j a ²¹⁴																		
127-1	ʈʂ u ⁵¹																		
133-1	tʰ j au ⁵⁵																		
144-1	ʂ a ²¹⁴																		
161-1	ɕ j a ŋ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	ʂ ə ³⁵																		
171-1	tʰ u ⁵¹																		
173-1	n i ⁵¹																		
174-1	n w ei ⁵¹																		
175-1	ʈʂʰ w a n ³⁵																		
176-1	l j a ŋ ²¹⁴																		
177-1	p ai ⁵⁵																		
179-1	l j u ⁵⁵																		
181-1	p i n ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l j ə n ²¹⁴																		
198-1	t ə n ⁵¹																		
199-1	ɕ j a ŋ ⁵⁵																		
2-2		i ²⁴																	
4-2		ʈʂʰ i ²⁴																	
5-2		ʈʂ a ŋ ⁵⁵																	
6-2		ʂ a m ³³																	
7-2		ʈʂ a ŋ ⁵⁵																	
8-2		ɕ j a ⁵⁵																	
9-2		p u ²⁴																	
17-2		ʈʂ o ŋ ³³																	
31-2		tɕ j ɤu ⁴¹																	
32-2		j e ⁴¹																	
33-2		n y ⁴¹																	
38-2		n i ⁵⁵																	
40-2		y n ¹³																	
42-2		u ⁴¹																	
43-2		ʈʂ i n ⁴¹																	
46-2		w a ŋ ¹³																	
52-2		n j a ŋ ⁵⁵																	
53-2		n ə n ¹³																	
56-2		tɕ i n ³³																	
59-2		tʰ a ³³																	
60-2		ʈʂ a ŋ ⁵⁵																	
64-2		n i ⁵⁵																	
68-2		tɕ ieː ⁵⁵																	
85-2		w ei ⁵⁵																	
86-2		t i ³³																	
87-2		ʈʂ u ⁵⁵																	
93-2		ɲ i ⁴¹																	
98-2		n ai ¹³																	
109-2		ɕ i n ⁵⁵																	
115-2		t au ⁴¹																	
118-2		ʈʂ j e ²⁴																	
124-2		tɕ j a ⁴¹																	
127-2		ʈʂ o ⁵⁵																	
133-2		tʰ au ³³																	
144-2		ʂ a ⁴¹																	
161-2		ɕ j a ŋ ³³																	
166-2		k w a ŋ ³³																	
