COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	k a ⁵⁵								
495-1	n au ³⁵								
838-1	w l ə ʔ ⁵⁵								
438-1	m̥ ȵ a ʔ ⁵⁵								
334-1	k a ʔ ⁵⁵								
360-1	l i ³¹								
394-1	n w i ³¹								
221-1	i p ⁵⁵								
202-1	k au ³¹								
935-1	au ³¹								
93-1	ts a ³¹								
7-1	p ɔ ³¹								
664-1	k a ⁵⁵								
246-1	x w ɔ ʔ ⁵⁵								
547-1	w l ə ʔ ⁵⁵								
555-1	i n ⁵⁵								
464-1	m au ³¹								
119-1	w ts ə ŋ ⁵⁵								
835-1	w m̥ a p ⁵⁵								
79-1	kʰ w o ³¹								
693-1	n̥ au ⁵⁵								
477-1	n w a p ⁵⁵								
891-1	kʰ ə ɔ ³⁵								
528-1	w ʐ o ⁵⁵								
797-1	x ʐ u ʔ ⁵⁵								
493-1	n ə ʔ ⁵⁵								
217-1	m̥ a p ⁵⁵								
896-1	tsʰ u t ⁵⁵								
452-1	m̥ ȵ u ʔ ⁵⁵								
580-1	w k u t ⁵⁵								
833-1	n̥ a ⁵⁵								
390-1	m ȵ a ³¹								
696-1	l w ui ⁵⁵								
86-1	kʰ u ŋ ⁵⁵								
384-1	m a ³⁵								
61-1	kʰ a m ⁵⁵								
536-1	w s a ʔ ⁵⁵								
731-1	ʂ ɿ ŋ ³¹								
779-1	a ⁵⁵								
589-1	kʰ a ⁵⁵								
658-1	k a m ⁵⁵								
456-1	ȵ a ³¹								
183-1	k ʐ i ³¹								
785-1	k a ³¹								
714-1	au ŋ ⁵⁵								
331-1	k a ³¹								
930-1	m̥ a p ⁵⁵								
161-1	k w a ⁵⁵								
814-1	x w ui ŋ ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	w ʐ a ʔ ⁵⁵								
727-1	ʂ a ⁵⁵								
260-1	a p ⁵⁵								
144-1	k w a m ⁵⁵								
53-1	p u m ⁵⁵								
59-1	k a ʔ ⁵⁵								
506-1	p ə ʔ ⁵⁵								
29-1	p ə ʔ ⁵⁵								
316-1	kʰ w a ʔ ⁵⁵								
389-1	m ʐ w a ŋ ⁵⁵								
118-1	m a ŋ ³⁵								
312-1	l w o ³¹								
490-1	n w i ŋ ŋ ³⁵								
436-1	m̥ ȵ a ³¹								
927-1	n̥ a ⁵⁵								
383-1	m a ʔ ⁵⁵								
211-1	a m ⁵⁵								
873-1	n̥ ə ŋ ⁵⁵								
877-1	l a ³⁵								
344-1	n̥ a m ⁵⁵								
666-1	k a ³¹								
595-1	kʰ w a ³⁵								
660-1	a p ⁵⁵								
642-1	kʰ a ³⁵								
257-1	a m ⁵⁵								
167-1	a ³¹								
880-1	kʰ a p ⁵⁵								
484-1	n w a ⁵⁵								
574-1	w l u m ³¹								
718-1	w ʂ a ŋ ³¹								
811-1	x au ³¹								
458-1	kʰ u ŋ ³¹								
884-1	kʰ i ³⁵								
205-1	k u ʔ ⁵⁵								
499-1	n a ⁵⁵								
706-1	w ʂ a ⁵⁵								
920-1	u ŋ ³¹								
36-1	p a ⁵⁵								
12-1	p w i ⁵⁵								
350-1	l w a ³⁵								
4-1	p ɔ ⁵⁵								
342-1	ʐ u ʔ ⁵⁵								
280-1	i ³⁵								
612-1	kʰ w a ŋ ³¹								
459-1	m ʐ ə ŋ ⁵⁵								
569-1	s ui ŋ ³¹								
283-1	u ³⁵								
148-1	k a ʔ ³¹								
652-1	l i ⁵⁵								
220-1	a ³¹								
562-1	w l ə ŋ ³¹								
31-1	p a ʔ ⁵⁵								
386-1	m a t ⁵⁵								
804-1	l ʐ u ŋ ³¹								
369-1	k ə ʔ ⁵⁵								
125-1	kʰ w u ŋ ³¹								
314-1	l ʐ w a ŋ ⁵⁵								
823-1	m̥ a p ⁵⁵								
471-1	n a m ³¹								
40-1	p ʐ ə ŋ ³⁵								
393-1	m a ³⁵								
272-1	a ³⁵								
463-1	w m u ⁵⁵								
1-1	p ɔ ⁵⁵								
214-1	a m ³¹								
123-1	kʰ au ŋ ⁵⁵								
512-1	l l ɔ ⁵⁵								
518-1	p ʐ o ⁵⁵								
878-1	k a ³¹								
849-1	p ɔ t ⁵⁵								
524-1	p u ʔ ⁵⁵								
90-1	k a ŋ ³⁵								
541-1	m̥ a ŋ ³¹								
933-1	ȵ̥ w u ³¹								
467-1	k ɔ ⁵⁵								
49-1	l l ɔ ⁵⁵								
822-1	k ɔ ŋ ⁵⁵								
52-1	p ui ŋ ⁵⁵								
377-1	l ə ŋ ⁵⁵								
127-1	ʈʂ a p ⁵⁵								
67-1	kʰ a t ⁵⁵								
864-1	p ʐ a ³¹								
126-1	ʈʂ w a ʔ ⁵⁵								
656-1	k a m ³⁵								
635-1	k a ʔ ⁵⁵								
473-1	n̥ a m ⁵⁵								
98-1	ʂ w a ³¹								
445-1	m̥ ȵ u ⁵⁵								
379-1	l ɔ ŋ ⁵⁵								
323-1	l ʐ u p ⁵⁵								
485-1	l l ə ⁵⁵								
357-1	l i ⁵⁵								
432-1	m ə ʔ ⁵⁵								
80-1	kʰ au ³¹								
10-1	l ɔ ŋ ⁵⁵								
335-1	a ʔ ⁵⁵								
649-1	k ɔ ³¹								
115-1	ts a ŋ ³¹								
137-1	k ə ⁵⁵								
844-1	l ɔ ⁵⁵								
723-1	l ɔ ŋ ⁵⁵								
494-1	n ə ŋ ³¹								
