index	index_p	rindex	rindex_p	cogid	id_Duhumbi	segment_Duhumbi	segment_Duhumbi_L1	segment_Duhumbi_L2	segment_Duhumbi_L3	segment_Duhumbi_R1	segment_Duhumbi_R2	segment_Duhumbi_R3	SC_Duhumbi	SC_Duhumbi_L1	SC_Duhumbi_L2	SC_Duhumbi_L3	SC_Duhumbi_R1	SC_Duhumbi_R2	SC_Duhumbi_R3	PROSODY_Duhumbi	PROSODY_Duhumbi_L1	PROSODY_Duhumbi_L2	PROSODY_Duhumbi_L3	PROSODY_Duhumbi_R1	PROSODY_Duhumbi_R2	PROSODY_Duhumbi_R3	id_Jerigaon	segment_Jerigaon	segment_Jerigaon_L1	segment_Jerigaon_L2	segment_Jerigaon_L3	segment_Jerigaon_R1	segment_Jerigaon_R2	segment_Jerigaon_R3	SC_Jerigaon	SC_Jerigaon_L1	SC_Jerigaon_L2	SC_Jerigaon_L3	SC_Jerigaon_R1	SC_Jerigaon_R2	SC_Jerigaon_R3	PROSODY_Jerigaon	PROSODY_Jerigaon_L1	PROSODY_Jerigaon_L2	PROSODY_Jerigaon_L3	PROSODY_Jerigaon_R1	PROSODY_Jerigaon_R2	PROSODY_Jerigaon_R3	id_Khispi	segment_Khispi	segment_Khispi_L1	segment_Khispi_L2	segment_Khispi_L3	segment_Khispi_R1	segment_Khispi_R2	segment_Khispi_R3	SC_Khispi	SC_Khispi_L1	SC_Khispi_L2	SC_Khispi_L3	SC_Khispi_R1	SC_Khispi_R2	SC_Khispi_R3	PROSODY_Khispi	PROSODY_Khispi_L1	PROSODY_Khispi_L2	PROSODY_Khispi_L3	PROSODY_Khispi_R1	PROSODY_Khispi_R2	PROSODY_Khispi_R3	id_Khoina	segment_Khoina	segment_Khoina_L1	segment_Khoina_L2	segment_Khoina_L3	segment_Khoina_R1	segment_Khoina_R2	segment_Khoina_R3	SC_Khoina	SC_Khoina_L1	SC_Khoina_L2	SC_Khoina_L3	SC_Khoina_R1	SC_Khoina_R2	SC_Khoina_R3	PROSODY_Khoina	PROSODY_Khoina_L1	PROSODY_Khoina_L2	PROSODY_Khoina_L3	PROSODY_Khoina_R1	PROSODY_Khoina_R2	PROSODY_Khoina_R3	id_Khoitam	segment_Khoitam	segment_Khoitam_L1	segment_Khoitam_L2	segment_Khoitam_L3	segment_Khoitam_R1	segment_Khoitam_R2	segment_Khoitam_R3	SC_Khoitam	SC_Khoitam_L1	SC_Khoitam_L2	SC_Khoitam_L3	SC_Khoitam_R1	SC_Khoitam_R2	SC_Khoitam_R3	PROSODY_Khoitam	PROSODY_Khoitam_L1	PROSODY_Khoitam_L2	PROSODY_Khoitam_L3	PROSODY_Khoitam_R1	PROSODY_Khoitam_R2	PROSODY_Khoitam_R3	id_Rahung	segment_Rahung	segment_Rahung_L1	segment_Rahung_L2	segment_Rahung_L3	segment_Rahung_R1	segment_Rahung_R2	segment_Rahung_R3	SC_Rahung	SC_Rahung_L1	SC_Rahung_L2	SC_Rahung_L3	SC_Rahung_R1	SC_Rahung_R2	SC_Rahung_R3	PROSODY_Rahung	PROSODY_Rahung_L1	PROSODY_Rahung_L2	PROSODY_Rahung_L3	PROSODY_Rahung_R1	PROSODY_Rahung_R2	PROSODY_Rahung_R3	id_Rupa	segment_Rupa	segment_Rupa_L1	segment_Rupa_L2	segment_Rupa_L3	segment_Rupa_R1	segment_Rupa_R2	segment_Rupa_R3	SC_Rupa	SC_Rupa_L1	SC_Rupa_L2	SC_Rupa_L3	SC_Rupa_R1	SC_Rupa_R2	SC_Rupa_R3	PROSODY_Rupa	PROSODY_Rupa_L1	PROSODY_Rupa_L2	PROSODY_Rupa_L3	PROSODY_Rupa_R1	PROSODY_Rupa_R2	PROSODY_Rupa_R3	id_Shergaon	segment_Shergaon	segment_Shergaon_L1	segment_Shergaon_L2	segment_Shergaon_L3	segment_Shergaon_R1	segment_Shergaon_R2	segment_Shergaon_R3	SC_Shergaon	SC_Shergaon_L1	SC_Shergaon_L2	SC_Shergaon_L3	SC_Shergaon_R1	SC_Shergaon_R2	SC_Shergaon_R3	PROSODY_Shergaon	PROSODY_Shergaon_L1	PROSODY_Shergaon_L2	PROSODY_Shergaon_L3	PROSODY_Shergaon_R1	PROSODY_Shergaon_R2	PROSODY_Shergaon_R3
1	0.5000	2	1.0000	2	1	ɹ	∅	∅	∅	-	∅	∅	R	∅	∅	∅	_	∅	∅	5	∅	∅	∅	0	∅	∅																							2	l	∅	∅	∅	u	∅	∅	L	∅	∅	∅	Y	∅	∅	5	∅	∅	∅	7	∅	∅																																													3	r	∅	∅	∅	yː	∅	∅	R	∅	∅	∅	Y	∅	∅	5	∅	∅	∅	7	∅	∅																																												
2	1.0000	1	0.5000	2	1	-	ɹ	∅	∅	∅	∅	∅	_	R	∅	∅	∅	∅	∅	0	5	∅	∅	∅	∅	∅																							2	u	l	∅	∅	∅	∅	∅	Y	L	∅	∅	∅	∅	∅	7	5	∅	∅	∅	∅	∅																																													3	yː	r	∅	∅	∅	∅	∅	Y	R	∅	∅	∅	∅	∅	7	5	∅	∅	∅	∅	∅																																												
1	1.0000	1	1.0000	3	4	ɹ	∅	∅	∅	∅	∅	∅	R	∅	∅	∅	∅	∅	∅	5	∅	∅	∅	∅	∅	∅																							5	l	∅	∅	∅	∅	∅	∅	L	∅	∅	∅	∅	∅	∅	5	∅	∅	∅	∅	∅	∅																																																																																																														
1	0.5000	2	1.0000	11																																																																			6	ʂ	∅	∅	∅	ə	∅	∅	S	∅	∅	∅	E	∅	∅	3	∅	∅	∅	7	∅	∅																							7	s	∅	∅	∅	u	∅	∅	S	∅	∅	∅	Y	∅	∅	3	∅	∅	∅	7	∅	∅	8	s	∅	∅	∅	ə	∅	∅	S	∅	∅	∅	E	∅	∅	3	∅	∅	∅	7	∅	∅	9	s	∅	∅	∅	u	∅	∅	S	∅	∅	∅	Y	∅	∅	3	∅	∅	∅	7	∅	∅
2	1.0000	1	0.5000	11																																																																			6	ə	ʂ	∅	∅	∅	∅	∅	E	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅																							7	u	s	∅	∅	∅	∅	∅	Y	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅	8	ə	s	∅	∅	∅	∅	∅	E	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅	9	u	s	∅	∅	∅	∅	∅	Y	S	∅	∅	∅	∅	∅	7	3	∅	∅	∅	∅	∅
1	0.3333	3	1.0000	12																																																																			10	l	∅	∅	∅	u	ŋ	∅	L	∅	∅	∅	Y	N	∅	5	∅	∅	∅	7	4	∅																							11	l	∅	∅	∅	u	ŋ	∅	L	∅	∅	∅	Y	N	∅	5	∅	∅	∅	7	4	∅	12	l	∅	∅	∅	u	ŋ	∅	L	∅	∅	∅	Y	N	∅	5	∅	∅	∅	7	4	∅	13	l	∅	∅	∅	u	ŋ	∅	L	∅	∅	∅	Y	N	∅	5	∅	∅	∅	7	4	∅
2	0.6667	2	0.6667	12																																																																			10	u	l	∅	∅	ŋ	∅	∅	Y	L	∅	∅	N	∅	∅	7	5	∅	∅	4	∅	∅																							11	u	l	∅	∅	ŋ	∅	∅	Y	L	∅	∅	N	∅	∅	7	5	∅	∅	4	∅	∅	12	u	l	∅	∅	ŋ	∅	∅	Y	L	∅	∅	N	∅	∅	7	5	∅	∅	4	∅	∅	13	u	l	∅	∅	ŋ	∅	∅	Y	L	∅	∅	N	∅	∅	7	5	∅	∅	4	∅	∅
3	1.0000	1	0.3333	12																																																																			10	ŋ	u	l	∅	∅	∅	∅	N	Y	L	∅	∅	∅	∅	4	7	5	∅	∅	∅	∅																							11	ŋ	u	l	∅	∅	∅	∅	N	Y	L	∅	∅	∅	∅	4	7	5	∅	∅	∅	∅	12	ŋ	u	l	∅	∅	∅	∅	N	Y	L	∅	∅	∅	∅	4	7	5	∅	∅	∅	∅	13	ŋ	u	l	∅	∅	∅	∅	N	Y	L	∅	∅	∅	∅	4	7	5	∅	∅	∅	∅
1	0.5000	2	1.0000	14																																																																																									14	tɕʰ	∅	∅	∅	ə	∅	∅	C	∅	∅	∅	E	∅	∅	2	∅	∅	∅	7	∅	∅	15	tɕʰ	∅	∅	∅	ə	∅	∅	C	∅	∅	∅	E	∅	∅	2	∅	∅	∅	7	∅	∅																																												
2	1.0000	1	0.5000	14																																																																																									14	ə	tɕʰ	∅	∅	∅	∅	∅	E	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅	15	ə	tɕʰ	∅	∅	∅	∅	∅	E	C	∅	∅	∅	∅	∅	7	2	∅	∅	∅	∅	∅																																												
