COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ⁵						
4-1	l æu ³						
18-1	n j ei ³						
19-1	n j ei ³						
44-1	l u k ⁵⁴						
50-1	ʃ a ŋ ³						
62-1	s ai k ⁵⁴						
70-1	b a n ³¹						
75-1	n j ɔ ʔ ⁴³						
97-1	tʃʰ a ŋ ⁵						
112-1	d z ɔ ⁵						
122-1	n j u k ³⁵						
127-1	kʰ w i ⁵						
132-1	b w ɔ ʔ ³¹						
133-1	n au ⁵						
135-1	n au ⁵						
142-1	d z w i ³						
143-1	ŋ ɔ ʔ ³¹						
149-1	ʔ u ³						
152-1	ŋ ³						
157-1	pʰ ə ⁵						
183-1	ʔ u ⁵						
184-1	n u k ⁵³						
185-1	tsʰ ɔ m ³						
189-1	n j ɔ ʔ ⁴³						
192-1	n a n ³¹						
195-1	n ɔ ³¹						
200-1	d a n ³						
216-1	s a n ³						
218-1	l ɔ ʔ ³²						
225-1	s ai ³						
235-1	kʰ j ei ³¹						
244-1	s w i ³						
253-1	m j ɛ ³						
270-1	m j ei ³						
278-1	n j ɛ n ³						
279-1	w u ³⁴						
285-1	ʔ ɛ̰ n ³						
308-1	d j i ³						
322-1	m i ⁵						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³						
341-1	d z ɔ ⁵						
347-1	ʃ o ʔ ⁵³						
362-1	j i ⁵						
391-1	ʔ ɛ̰ n ⁴						
394-1	m ɔ ʔ ⁴³						
397-1	tʃʰ ei ⁵						
443-1	n j ɔ̰ p ⁵³						
460-1	s a t ⁵⁴						
463-1	b w i ³¹						
464-1	ʔ u ŋ ³						
473-1	s o m ³						
476-1	kʰ j u k ⁵⁴						
481-1	tʃʰ i ³¹						
494-1	g i ⁵						
496-1	ʃ a ŋ ³						
516-1	b w i ³¹						
1-2		m au ⁵²					
4-2		l a ⁵²					
18-2		m ḭ ²³					
19-2		n ḭ ²³					
44-2		l au ʔ ³¹					
50-2		ʃ au ŋ ³					
62-2		s a k ⁵					
70-2		p a n ⁴					
75-2		m j a ʔ					
97-2		tʃʰ a ŋ					
112-2		tʃ ṵ ɛ̰ m ³					
122-2		m j au k					
127-2		kʰ w i ³¹					
132-2		w ɔ ʔ ³					
133-2		n au ³¹					
135-2		n au ³¹					
142-2		ts ai w i					
143-2		ŋ o̰i ʔ ³					
149-2		ʔ u ³					
152-2		ŋ a ³					
157-2		b ṵ ⁵²					
183-2		ʔ u ⁵					
184-2		n au k ³					
185-2		tsʰ a m ⁵³					
189-2		m j a ʔ ⁴³					
192-2		n a ³					
195-2		n a ³					
200-2		k a n ³					
216-2		s a ŋ ³					
218-2		l a ʔ ³					
225-2		s a ŋ ⁵⁴					
235-2		kʰ i ⁴³					
244-2		s w i ³					
253-2		m i ⁵²					
270-2		m i ⁵²					
278-2		m u ŋ					
279-2		w u ³					
285-2		ʔ ḭ ²³					
308-2		p i ³					
322-2		m i ³					
325-2		kʰ au ⁵²					
337-2		m j a ŋ					
341-2		d z a ŋ ³					
347-2		ʃ au k ⁵⁴					
362-2		ɣ i ⁵²					
391-2		j a p ⁵²					
394-2		m a ʔ ³					
397-2		tʃʰ i ⁴³					
443-2		m j a p ³					
460-2		s a t ⁵²					
463-2		ɣ i ³					
464-2		ʔ au ŋ ³					
473-2		s a m ²³					
476-2		kʰ j au k					
481-2		tʃʰ a ŋ ³					
494-2		ɣ i ⁵²					
496-2		ʃ i ŋ ³					
516-2		w i ³¹					
1-3			m au ²				
4-3			l ɔ ³²				
18-3			m j e ŋ ⁴				
19-3			n j e ⁴				
44-3			l o ʔ ³				
50-3			ʃ e ⁵⁴				
62-3			s ə k ⁵³				
70-3			b j e ³				
75-3			m j ɔ̃ ʔ ⁴				
97-3			tʃʰ a ŋ ⁵				
112-3			tsʰ ɔ ⁴				
122-3			m j o k ³				
127-3			kʰ i ⁵				
132-3			pʰ ɔ̃ ʔ ³				
133-3			n õ ŋ ⁵				
135-3			n au ³¹				
142-3			dʒ o ŋ ⁵¹				
143-3			ŋ ɔ ³				
149-3			g ⁵³				
152-3			m ³				
157-3			b o ⁴				
183-3			ʔ u ⁵				
184-3			n o k ³²				
185-3			tsʰ æ m ⁴³				
189-3			m j ɔ̃ ʔ ⁴				
192-3			n a ŋ ³¹				
195-3			n o ²³				
200-3			g e ⁵				
216-3			s ə ŋ ⁴³				
218-3			l ɔ̰ ʔ ³				
225-3			s ə ŋ ⁴³				
235-3			j e ⁴³				
244-3			s oi ʔ ⁵³				
253-3			m j ḛ ⁴³				
270-3			m j ũ ⁴¹				
278-3			m j ə ŋ ⁴				
279-3			w ɔ ⁵¹				
285-3			w ə ŋ ²				
308-3			b j e ³				
322-3			m e ³				
325-3			kʰ au ³				
337-3			m j a ŋ ³				
341-3			d z ɔ ²				
347-3			ʃ o k ⁵³				
362-3			j i ³				
391-3			j o k ³²				
394-3			m ɔ ʔ ³				
397-3			tʃʰ e ⁴³				
443-3			m j o k ³²				
460-3			s ai ⁵²				
463-3			pʰ e ⁵¹				
464-3			ʔ o ŋ ³				
473-3			s æ m ⁴³				
476-3			kʰ j o k ³²				
481-3			tsʰ e ³²				
494-3			g ɔ ⁴				
496-3			ʃ o ŋ ⁵				
516-3			pʰ ə ⁵				
1-4				m o k ⁴³			
4-4				l ə ²			
18-4				n a̰ ḭ ʔ ⁵⁴			
19-4				n ḭ ʔ ⁵⁴			
44-4				l au ʔ ³			
50-4				ʃ ø ³¹			
62-4				s a k ⁵			
70-4				b j ɪ n ²¹			
75-4				m j o ʔ ³²			
97-4				tʃʰ a ³²			
112-4				d z o ³²			
122-4				m j æu ʔ ⁴³			
127-4				kʰ ai ʔ ³¹			
132-4				pʰ o ʔ ³²			
133-4				n au ŋ ²			
135-4				n o̰ k ⁴²			
142-4				d z a ³¹			
143-4				ŋ ɔ ʔ ³			
